node	port	intftypeval	datatypeval	distance	denisty	alinks	flinks	x	y	z	batt	delay	throughput	engcons	txpackets_val	txbytes_val	rxpackets_val	rxbytes_val	drpackets_val	rptti	engcons_var	rptti_mean	clhop	nxhop	rptti	port	intftypeval	datatypeval	distance	denisty	alinks	flinks	x	y	z	batt	delay	throughput	engcons	txpackets_val	txbytes_val	rxpackets_val	rxbytes_val	drpackets_val	rptti	engcons_var	rptti_mean	reward	done	info
1.0.1	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49640.0	3.1999588012695312	83.77406915259739	4.528191581181891	28.4	935.8	25.8	848.2	0.0	1500.0	2.0	1500.0	-0.8612428	0.32688236	-0.14808312	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49530.0	2.539968490600586	108.45581225772617	4.723826411760287	38.0	1257.0	34.4	1135.8	0.0	5000.0	7.0	2822.0	0.9765806143744071	False	
1.0.2	6662.0	0.0	3.0	2.0	2.0	2.0	0.0	407.0	233.0	0.0	49642.0	3.219938278198242	82.78562330551772	4.513188350630543	24.6	808.8	22.4	733.4	0.0	1500.0	0.0	1500.0	-2.4184873	0.1770528	-1.1506795	6662.0	0.0	3.0	2.0	2.0	2.0	0.0	407.0	233.0	0.0	49532.0	2.6000022888183594	106.2622093250606	4.713150085012915	33.4	1103.0	29.8	981.2	0.0	1966.0	5.0	2822.0	0.9755322018492497	False	
1.0.3	6663.0	0.0	3.0	3.0	1.0	1.0	0.0	328.0	263.0	0.0	49644.0	3.3199310302734375	80.19292721978758	4.524002258142057	22.8	746.6	20.0	657.4	0.0	1500.0	2.0	1500.0	-0.06734884	0.39578	-1.3050265	6663.0	0.0	3.0	3.0	1.0	1.0	0.0	328.0	263.0	0.0	49549.0	2.539968490600586	108.45581225772617	4.69638100310289	28.6	941.0	25.0	826.0	0.0	1500.0	12.0	2822.0	0.9765806143744071	False	
1.0.1	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49530.0	2.539968490600586	108.45581225772617	4.723826411760287	38.0	1257.0	34.4	1135.8	0.0	5000.0	2.3333333333357587	2822.0	0.88551843	0.26218897	1.0451208	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49419.0	2.639913558959961	98.75896108615481	4.8591988535374835	47.2	1564.0	42.8	1416.0	0.0	4762.0	7.666666666664241	3754.0	0.9732691238351833	False	
1.0.2	6662.0	0.0	3.0	2.0	2.0	2.0	0.0	407.0	233.0	0.0	49532.0	2.6000022888183594	106.2622093250606	4.713150085012915	33.4	1103.0	29.8	981.2	0.0	1966.0	0.33333333333575865	2822.0	-0.7419229	0.22870763	1.2146072	6662.0	0.0	3.0	2.0	2.0	2.0	0.0	407.0	233.0	0.0	49422.0	2.8999805450439453	90.30207350133469	4.848920282427651	42.0	1389.6	37.6	1241.6	0.0	5000.0	4.666666666664241	3754.0	0.9678857812162964	False	
1.0.3	6663.0	0.0	3.0	3.0	1.0	1.0	0.0	328.0	263.0	0.0	49535.0	2.539968490600586	108.45581225772617	4.7166953784026	30.0	987.0	26.4	872.0	0.0	1500.0	2.6666666666642413	2822.0	-0.020240486	0.27028358	-1.2796077	6663.0	0.0	3.0	3.0	1.0	1.0	0.0	328.0	263.0	0.0	49439.0	3.219938278198242	80.50229242169668	4.834328913515983	36.4	1200.2	32.4	1073.0	0.0	1500.0	12.333333333335759	3754.0	0.9600019057677118	False	
1.0.1	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49419.0	2.639913558959961	98.75896108615481	4.8591988535374835	47.2	1564.0	42.8	1416.0	0.0	4762.0	7.666666666664241	3754.0	-0.8335725	0.22923082	1.7703732	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49308.0	3.3598899841308594	91.75433295442792	4.950430442390498	57.4	1904.2	52.4	1735.0	0.0	5000.0	8.666666666664241	3559.3333333333335	0.963381675001663	False	
1.0.2	6662.0	0.0	3.0	2.0	2.0	2.0	0.0	407.0	233.0	0.0	49422.0	2.8999805450439453	90.30207350133469	4.848920282427651	42.0	1389.6	37.6	1241.6	0.0	5000.0	4.666666666664241	3754.0	-1.4013482	0.0013702214	-1.4054806	6662.0	0.0	3.0	2.0	2.0	2.0	0.0	407.0	233.0	0.0	49312.0	3.6798954010009766	79.02493592447635	4.953372023436677	57.4	1904.2	52.4	1735.0	0.0	1500.0	4.666666666664241	3559.3333333333335	0.9534337439448501	False	
1.0.3	6663.0	0.0	3.0	3.0	1.0	1.0	0.0	328.0	263.0	0.0	49439.0	3.219938278198242	80.50229242169668	4.834328913515983	36.4	1200.2	32.4	1073.0	0.0	1500.0	12.333333333335759	3754.0	-0.42461765	0.3241422	1.0247681	6663.0	0.0	3.0	3.0	1.0	1.0	0.0	328.0	263.0	0.0	49330.0	3.3998966217041016	91.2746439664908	4.931638555860105	44.6	1471.8	39.6	1313.0	0.0	4178.0	13.333333333335759	3559.3333333333335	0.9627509188318248	False	
1.0.1	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49308.0	3.3598899841308594	91.75433295442792	4.950430442390498	57.4	1904.2	52.4	1735.0	0.0	5000.0	8.666666666664241	3559.3333333333335	0.10113442	0.7104521	0.59205127	6661.0	0.0	3.0	1.0	2.0	2.0	0.0	470.0	227.0	0.0	49211.0	2.939891815185547	101.70053889416722	5.015976777494184	67.0	2230.0	61.4	2039.2	0.0	5000.0	4.666666666664241	3176.3333333333335	0.9710926623678475	False	
