Wall time,Step,Value
1699703801.296577,0,542046.1875
1699703821.3567882,1,539980.125
1699703841.3224146,2,636842.9375
1699703861.3036788,3,391380.78125
1699703881.0301335,4,596492.75
1699703900.7726507,5,822795.25
1699703920.4545078,6,460787.09375
1699703940.1611354,7,643844.9375
1699703959.9762514,8,515482.84375
1699703979.6832786,9,636117.5625
1699703999.4714189,10,517302.15625
1699704019.5093896,11,518626.125
1699704039.4670439,12,527845.4375
1699704059.392863,13,721789.875
1699704079.3797657,14,430484.75
1699704099.4865687,15,606242.5
1699704119.412826,16,566753.4375
1699704139.356431,17,472040.75
1699704159.5879838,18,726032.1875
1699704179.608275,19,508476.28125
1699704199.5428483,20,644052.9375
1699704219.5293076,21,549726.0
1699704239.5639157,22,545763.9375
1699704259.5769114,23,607860.3125
1699704279.4829886,24,606396.3125
1699704299.5857978,25,422427.875
1699704319.6299667,26,435632.3125
1699704339.6702805,27,590551.125
1699704359.661053,28,551434.9375
1699704379.648051,29,531556.25
1699704399.6847606,30,460274.09375
1699704419.7296762,31,741838.0
1699704439.7410495,32,525639.9375
1699704459.7606308,33,473752.5
1699704479.7014673,34,536261.0625
1699704499.7048762,35,823508.1875
1699704519.7800932,36,550247.9375
1699704539.8535507,37,787334.6875
1699704559.7394502,38,399246.21875
1699704579.7786622,39,699286.5
1699704599.8978229,40,686081.75
1699704619.8191044,41,475055.96875
1699704639.958778,42,515247.4375
1699704659.9417949,43,573865.5
1699704679.8778083,44,492383.5
1699704699.8734424,45,595566.3125
1699704719.9188142,46,543963.0625
1699704740.0313687,47,602351.125
1699704760.0210886,48,425583.34375
1699704780.044186,49,564816.0
1699704800.1090329,50,619940.625
1699704820.152618,51,470255.28125
1699704840.129256,52,687076.875
1699704860.2542999,53,817240.1875
1699704880.1033688,54,441592.75
1699704900.052826,55,535763.375
1699704920.185904,56,752054.375
1699704940.202751,57,400565.21875
1699704960.2206435,58,636540.9375
1699704980.2631774,59,553834.1875
1699705000.2855096,60,510145.71875
1699705020.2804518,61,489040.34375
1699705040.274775,62,457354.0625
1699705060.2413926,63,631414.8125
1699705080.2786906,64,764623.75
1699705100.2899046,65,933709.5
1699705120.2733598,66,618298.9375
1699705140.4691231,67,765872.9375
1699705160.4619753,68,511655.9375
1699705180.3087997,69,593058.3125
1699705200.3157406,70,539616.1875
1699705220.372953,71,514175.125
1699705240.428756,72,486296.75
1699705260.460552,73,510744.5625
1699705280.5587354,74,580681.4375
1699705300.694174,75,490234.84375
1699705320.5507653,76,508604.59375
1699705340.6362948,77,503393.0
1699705360.692397,78,671064.5
1699705380.56997,79,510208.8125
1699705400.6586094,80,467897.59375
1699705420.5972779,81,498607.4375
1699705440.6782393,82,477876.78125
1699705460.8404975,83,703495.0
1699705480.763861,84,590878.9375
1699705500.7994783,85,617955.4375
1699705520.7925837,86,673713.75
1699705540.860235,87,631159.4375
1699705560.930276,88,565754.8125
1699705580.9141657,89,725334.6875
1699705600.8864453,90,454877.8125
1699705621.060935,91,702747.625
1699705640.9089575,92,557254.3125
1699705661.0928686,93,512219.5625
1699705680.9758835,94,537023.875
1699705701.0063555,95,399820.5625
1699705721.0744338,96,737425.25
1699705741.08238,97,506666.59375
1699705761.0007486,98,707711.375
1699705781.0805898,99,641291.4375
1699705801.101116,100,529979.5625
1699705820.9907017,101,363314.09375
1699705841.151201,102,587808.4375
1699705861.2235653,103,536237.5
1699705881.185409,104,591791.25
1699705901.249302,105,566121.0
1699705921.395046,106,520182.65625
1699705941.2932923,107,580502.8125
1699705961.4700294,108,518288.6875
1699705981.3542738,109,489248.78125
1699706001.2787542,110,455537.9375
1699706021.3304405,111,728685.25
1699706041.3592708,112,489343.46875
1699706061.4737668,113,613637.4375
1699706081.410819,114,379179.46875
1699706101.4359658,115,512813.40625
1699706121.421119,116,531248.25
1699706141.4728527,117,642377.125
1699706161.4497066,118,545698.8125
1699706181.3550153,119,686471.25
1699706201.3550453,120,527267.375
1699706221.5362785,121,643128.9375
1699706241.43272,122,401223.59375
1699706261.465712,123,627831.625
1699706281.4907517,124,500691.21875
1699706301.5772722,125,566243.0625
1699706321.646921,126,673055.0625
1699706341.5295956,127,575314.8125
1699706361.6922414,128,657343.1875
1699706381.772051,129,556406.5
1699706401.5960546,130,648025.0625
1699706421.7485464,131,491941.34375
1699706441.7171566,132,506884.5625
1699706461.7534177,133,572607.75
1699706481.7995346,134,408863.875
1699706501.804722,135,625652.6875
1699706521.8528464,136,776230.625
1699706541.8343987,137,538353.75
1699706561.9134986,138,541406.6875
1699706581.9244668,139,639943.4375
1699706601.936389,140,553171.4375
1699706621.9401927,141,569350.8125
1699706642.0469272,142,786717.25
1699706661.9969478,143,577101.875
1699706681.9430501,144,481149.96875
1699706702.1578052,145,688224.1875
1699706721.9779031,146,702770.6875
1699706742.0510602,147,618691.25
1699706762.1333437,148,554816.25
1699706782.0922053,149,508854.46875
1699706802.2568467,150,525453.375
1699706822.1537068,151,547640.5625
1699706842.2210352,152,477108.5
1699706862.252442,153,584300.8125
1699706882.563307,154,596423.4375
1699706902.493971,155,610519.0
1699706922.4939718,156,755133.9375
1699706942.4007475,157,637116.75
1699706962.4110088,158,690878.5
1699706982.4623086,159,703225.4375
1699707002.4586494,160,467383.8125
1699707022.4878297,161,473681.78125
1699707042.6843727,162,588753.125
1699707062.5732584,163,589224.1875
