Wall time,Step,Value
1699699180.2491155,0,0.0
1699699199.9632978,1,0.0
1699699219.5888484,2,0.0
1699699239.1888516,3,0.0
1699699258.92512,4,0.0
1699699279.0029342,5,0.0
1699699299.2778716,6,0.0
1699699318.9983346,7,0.0
1699699338.815715,8,0.0
1699699358.756525,9,0.0
1699699378.7707787,10,0.0
1699699399.2330675,11,0.0
1699699419.0620997,12,0.0
1699699439.0152948,13,0.0
1699699458.897301,14,0.0
1699699478.9303966,15,0.0
1699699498.881144,16,0.0
1699699518.8617175,17,0.0
1699699538.9462621,18,0.0
1699699559.235533,19,0.0
1699699579.005692,20,0.0
1699699599.017519,21,0.0
1699699619.0338159,22,0.0
1699699639.2818522,23,0.0
1699699659.3216238,24,0.0
1699699679.1612554,25,0.0
1699699699.121066,26,0.0
1699699719.3542747,27,0.0
1699699739.1140566,28,0.0
1699699759.1513288,29,0.0
1699699779.135891,30,0.0
1699699799.259135,31,0.0
1699699819.4098227,32,0.0
1699699839.2682862,33,0.0
1699699859.5494518,34,0.0
1699699879.3467143,35,0.0
1699699899.4385939,36,0.0
1699699919.4615426,37,0.0
1699699939.7136157,38,0.0
1699699959.6677868,39,0.0
1699699979.740706,40,0.0
1699699999.9051714,41,0.0
1699700019.9341826,42,0.0
1699700039.8668373,43,0.0
1699700059.7822263,44,0.0
1699700079.7730677,45,0.0
1699700099.649503,46,0.0
1699700119.8379447,47,0.0
1699700139.915834,48,0.0
1699700159.8752375,49,0.0
1699700179.861834,50,0.0
1699700199.6925435,51,0.0
1699700219.922035,52,0.0
1699700239.7499564,53,0.0
1699700259.642877,54,0.0
1699700280.0297112,55,0.0
1699700299.7995975,56,0.0
1699700320.004461,57,0.0
1699700339.8237412,58,0.0
1699700359.9213321,59,0.0
1699700380.1194305,60,0.0
1699700400.082133,61,0.0
1699700420.2975214,62,0.0
1699700440.169899,63,0.0
1699700460.0453725,64,0.0
1699700480.1710334,65,0.0
1699700499.9732494,66,0.0
1699700520.0830357,67,0.0
1699700540.1288567,68,0.0
1699700560.083817,69,0.0
1699700580.2894845,70,0.0
1699700600.159093,71,0.0
1699700620.1536472,72,0.0
1699700640.3824046,73,0.0
1699700660.1025462,74,0.0
1699700680.420867,75,0.0
1699700700.1417456,76,0.0
1699700720.1566172,77,0.0
1699700740.2032366,78,0.0
1699700760.1105978,79,0.0
1699700780.5234926,80,0.0
1699700800.300036,81,0.0
1699700820.3306715,82,0.0
1699700840.4256847,83,0.0
1699700860.187706,84,0.0
1699700880.4992476,85,0.0
1699700900.4043324,86,0.0
1699700920.525467,87,0.0
1699700940.3764307,88,0.0
1699700960.619852,89,0.0
1699700980.7261014,90,0.0
1699701000.7260196,91,0.0
1699701020.4005973,92,0.0
1699701040.4817607,93,0.0
1699701060.4428213,94,0.0
1699701080.4746644,95,0.0
1699701100.5966356,96,0.0
1699701120.5884175,97,0.0
1699701140.6485527,98,0.0
1699701160.6435103,99,0.0
1699701180.918659,100,0.0
1699701200.628897,101,0.0
1699701220.563471,102,0.0
1699701240.7728348,103,0.0
1699701260.6207745,104,0.0
1699701280.6866693,105,0.0
1699701301.0305417,106,0.0
1699701320.716058,107,0.0
1699701340.6547167,108,0.0
1699701360.9457097,109,0.0
1699701380.7138906,110,0.0
1699701400.7759998,111,0.0
1699701420.9115918,112,0.0
1699701440.7738445,113,0.0
1699701460.9152603,114,0.0
1699701481.020297,115,0.0
1699701500.9577842,116,0.0
1699701520.8752549,117,0.0
1699701541.0480628,118,0.0
1699701560.9231958,119,0.0
1699701580.940015,120,0.0
1699701601.135915,121,0.0
1699701620.917131,122,0.0
1699701641.0291867,123,0.0
1699701661.2137709,124,0.0
1699701681.0183032,125,0.0
1699701701.0457792,126,0.0
1699701721.1772723,127,0.0
1699701741.132785,128,0.0
1699701761.167483,129,0.0
1699701781.3261185,130,0.0
1699701801.1593568,131,0.0
1699701821.205906,132,0.0
1699701841.4456317,133,0.0
1699701861.2768054,134,0.0
1699701881.2274978,135,0.0
1699701901.3601847,136,0.0
1699701921.2510486,137,0.0
1699701941.3668373,138,0.0
1699701961.5723279,139,0.0
1699701981.394494,140,0.0
1699702001.4249983,141,0.0
1699702021.4817266,142,0.0
1699702041.3934011,143,0.0
1699702061.4757013,144,0.0
1699702081.5821435,145,0.0
1699702101.537471,146,0.0
1699702121.4834263,147,0.0
1699702141.6546478,148,0.0
1699702161.532206,149,0.0
1699702181.925458,150,0.0
1699702201.6327798,151,0.0
1699702221.6397355,152,0.0
1699702241.650973,153,0.0
1699702261.7720559,154,0.0
1699702281.6389635,155,0.0
1699702301.6852431,156,0.0
1699702321.7742252,157,0.0
1699702341.7905233,158,0.0
1699702361.644832,159,0.0
1699702381.8458958,160,0.0
1699702401.747312,161,0.0
1699702421.8461182,162,0.0
1699702441.9091225,163,0.0
