Wall time,Step,Value
1699678994.1488404,0,0.0
1699679016.6833842,1,0.0
1699679039.7358818,2,0.0
1699679062.615728,3,0.0
1699679085.7128365,4,0.0
1699679108.460038,5,0.0
1699679131.6236699,6,0.0
1699679154.6877952,7,0.0
1699679177.1166902,8,0.0
1699679200.2157712,9,0.0
1699679223.215951,10,0.0
1699679246.3838286,11,0.0
1699679269.29261,12,0.0
1699679292.3797088,13,0.0
1699679315.4510224,14,0.0
1699679337.7081382,15,0.0
1699679361.0299215,16,0.0
1699679383.95221,17,0.0
1699679406.4906535,18,0.0
1699679429.5574121,19,0.0
1699679452.7240033,20,0.0
1699679475.7957358,21,0.0
1699679499.0121937,22,0.0
1699679521.5714595,23,0.0
1699679544.7905972,24,0.0
1699679567.1957605,25,0.0
1699679590.4553967,26,0.0
1699679613.494867,27,0.0
1699679636.5055997,28,0.0
1699679659.3964503,29,0.0
1699679681.8358557,30,0.0
1699679704.729128,31,0.0
1699679726.8509002,32,0.0
1699679749.749768,33,0.0
1699679772.1678042,34,0.0
1699679795.296061,35,0.0
1699679816.9518142,36,0.0
1699679839.8849506,37,0.0
1699679862.2021909,38,0.0
1699679885.3995087,39,0.0
1699679907.2998686,40,0.0
1699679930.4733968,41,0.0
1699679952.4939737,42,0.0
1699679975.6717513,43,0.0
1699679998.0837874,44,0.0
1699680021.3442304,45,0.0
1699680044.1653886,46,0.0
1699680066.956086,47,0.0
1699680090.0599039,48,0.0
1699680112.2448392,49,0.0
1699680135.4838727,50,0.0
1699680157.259778,51,0.0
1699680180.2609844,52,0.0
1699680202.6953146,53,0.0
1699680225.8566535,54,0.0
1699680247.8582282,55,0.0
1699680270.975822,56,0.0
1699680293.348768,57,0.0
1699680316.3665977,58,0.0
1699680339.714692,59,0.0
1699680362.4027157,60,0.0
1699680385.6390839,61,0.0
1699680408.213428,62,0.0
1699680431.2200356,63,0.0
1699680453.527096,64,0.0
1699680476.4922144,65,0.0
1699680499.5703166,66,0.0
1699680522.3381388,67,0.0
1699680545.3579397,68,0.0
1699680567.6828222,69,0.0
1699680590.7020137,70,0.0
1699680613.2045872,71,0.0
1699680636.4067857,72,0.0
1699680658.791723,73,0.0
1699680681.7956712,74,0.0
1699680704.6869924,75,0.0
1699680727.6732204,76,0.0
1699680750.838685,77,0.0
1699680772.9539824,78,0.0
1699680796.1377096,79,0.0
1699680817.8997433,80,0.0
1699680840.9091566,81,0.0
1699680863.1150284,82,0.0
1699680886.256023,83,0.0
1699680908.0396478,84,0.0
1699680930.931501,85,0.0
1699680953.132926,86,0.0
1699680976.3135202,87,0.0
1699680998.0401466,88,0.0
1699681021.0658722,89,0.0
1699681043.2549772,90,0.0
1699681066.380571,91,0.0
1699681088.2520683,92,0.0
1699681111.2301414,93,0.0
1699681133.3300169,94,0.0
1699681156.5056388,95,0.0
1699681178.3179245,96,0.0
1699681201.3057284,97,0.0
1699681223.4797978,98,0.0
1699681246.7411413,99,0.0
1699681268.428623,100,0.0
1699681291.533539,101,0.0
1699681314.413842,102,0.0
1699681337.5316458,103,0.0
1699681360.6907086,104,0.0
1699681383.3502731,105,0.0
1699681406.4993272,106,0.0
1699681428.588906,107,0.0
1699681451.4830174,108,0.0
1699681473.9319623,109,0.0
1699681497.1361246,110,0.0
1699681519.567542,111,0.0
1699681542.7406461,112,0.0
1699681565.539521,113,0.0
1699681588.6385996,114,0.0
1699681611.759232,115,0.0
1699681634.6208093,116,0.0
1699681657.6237924,117,0.0
1699681680.6433158,118,0.0
1699681703.6477437,119,0.0
1699681726.5563147,120,0.0
1699681749.03557,121,0.0
1699681771.8068995,122,0.0
1699681794.436659,123,0.0
1699681817.5430462,124,0.0
1699681839.9453092,125,0.0
1699681863.3131886,126,0.0
1699681886.0665152,127,0.0
1699681908.9161153,128,0.0
1699681931.931992,129,0.0
1699681954.0477505,130,0.0
1699681977.3757312,131,0.0
1699681999.1456487,132,0.0
1699682022.1828887,133,0.0
1699682044.999704,134,0.0
1699682068.105182,135,0.0
1699682091.1975346,136,0.0
1699682114.0838478,137,0.0
1699682137.4125266,138,0.0
1699682159.313969,139,0.0
1699682182.3201008,140,0.0
1699682204.407718,141,0.0
1699682227.380187,142,0.0
1699682249.591808,143,0.0
