Wall time,Step,Value
1699678994.1510913,0,6821.0
1699679016.6839488,1,7111.0
1699679039.7364101,2,7330.0
1699679062.6162748,3,7640.0
1699679085.7133803,4,7867.0
1699679108.4605825,5,8243.0
1699679131.6241927,6,8546.0
1699679154.6883442,7,8721.0
1699679177.1172936,8,8901.0
1699679200.216317,9,9073.0
1699679223.2164726,10,9409.0
1699679246.3844318,11,9759.0
1699679269.2932363,12,10037.0
1699679292.3803115,13,10383.0
1699679315.4517787,14,10608.0
1699679337.7088983,15,10882.0
1699679361.0308523,16,11132.0
1699679383.9527218,17,11337.0
1699679406.4913843,18,11625.0
1699679429.5580814,19,11896.0
1699679452.724521,20,12156.0
1699679475.7962575,21,12375.0
1699679499.0127225,22,12695.0
1699679521.5719898,23,13012.0
1699679544.7911248,24,13195.0
1699679567.1962934,25,13484.0
1699679590.456054,26,13834.0
1699679613.495379,27,14076.0
1699679636.5063317,28,14267.0
1699679659.3969822,29,14529.0
1699679681.836385,30,14737.0
1699679704.7297044,31,14935.0
1699679726.8514383,32,15145.0
1699679749.7504635,33,15396.0
1699679772.1683457,34,15640.0
1699679795.2965932,35,15918.0
1699679816.9523468,36,16216.0
1699679839.8855438,37,16463.0
1699679862.202744,38,16708.0
1699679885.4000452,39,16954.0
1699679907.3004394,40,17247.0
1699679930.473993,41,17482.0
1699679952.494497,42,17681.0
1699679975.6722777,43,17941.0
1699679998.0845156,44,18279.0
1699680021.3447845,45,18604.0
1699680044.1660552,46,18769.0
1699680066.9566896,47,19099.0
1699680090.0605352,48,19340.0
1699680112.2455697,49,19538.0
1699680135.4844265,50,19739.0
1699680157.2603054,51,19931.0
1699680180.2615135,52,20127.0
1699680202.6966383,53,20360.0
1699680225.8571944,54,20599.0
1699680247.8589187,55,20822.0
1699680270.9763703,56,21099.0
1699680293.34963,57,21317.0
1699680316.3671174,58,21554.0
1699680339.7153494,59,21834.0
1699680362.4032657,60,22116.0
1699680385.6396139,61,22352.0
1699680408.2141757,62,22531.0
1699680431.2205732,63,22807.0
1699680453.5276616,64,23037.0
1699680476.4928615,65,23251.0
1699680499.5708454,66,23482.0
1699680522.3395247,67,23748.0
1699680545.3584967,68,23977.0
1699680567.6834059,69,24167.0
1699680590.7025692,70,24355.0
1699680613.2051084,71,24589.0
1699680636.407804,72,24814.0
1699680658.792427,73,24998.0
1699680681.796201,74,25256.0
1699680704.6875103,75,25472.0
1699680727.6737607,76,25779.0
1699680750.839203,77,26053.0
1699680772.954505,78,26280.0
1699680796.138352,79,26529.0
1699680817.9002807,80,26794.0
1699680840.9097087,81,27109.0
1699680863.1155734,82,27376.0
1699680886.2565398,83,27589.0
1699680908.0401738,84,27802.0
1699680930.9320126,85,27987.0
1699680953.133765,86,28196.0
1699680976.3140683,87,28419.0
1699680998.04086,88,28594.0
1699681021.066403,89,28813.0
1699681043.2554905,90,29065.0
1699681066.3811207,91,29273.0
1699681088.252625,92,29405.0
1699681111.2306826,93,29569.0
1699681133.3305814,94,29751.0
1699681156.5062277,95,29938.0
1699681178.3184438,96,30197.0
1699681201.3062556,97,30474.0
1699681223.480384,98,30786.0
1699681246.7418165,99,31044.0
1699681268.4291825,100,31279.0
1699681291.5341976,101,31609.0
1699681314.4143682,102,31923.0
1699681337.532183,103,32168.0
1699681360.6912591,104,32433.0
1699681383.3507843,105,32743.0
1699681406.5000033,106,33016.0
1699681428.5894697,107,33173.0
1699681451.4837809,108,33404.0
1699681473.9324915,109,33632.0
1699681497.1368299,110,33873.0
1699681519.5683236,111,34163.0
1699681542.741198,112,34413.0
1699681565.5400589,113,34692.0
1699681588.6391335,114,35057.0
1699681611.7600055,115,35378.0
1699681634.6213212,116,35609.0
1699681657.624373,117,35825.0
1699681680.6438458,118,36030.0
1699681703.6483464,119,36187.0
1699681726.5568569,120,36433.0
1699681749.0360894,121,36710.0
1699681771.8074327,122,36927.0
1699681794.4373603,123,37158.0
1699681817.5435543,124,37364.0
1699681839.945812,125,37581.0
1699681863.313725,126,37799.0
1699681886.06712,127,38043.0
1699681908.916641,128,38250.0
1699681931.932524,129,38392.0
1699681954.0485463,130,38641.0
1699681977.3763576,131,38984.0
1699681999.1464093,132,39265.0
1699682022.1834168,133,39537.0
1699682045.000244,134,39832.0
1699682068.1057098,135,40124.0
1699682091.1980603,136,40421.0
1699682114.0843763,137,40765.0
1699682137.4130824,138,41110.0
1699682159.314538,139,41430.0
1699682182.32063,140,41699.0
1699682204.4093647,141,41919.0
1699682227.380717,142,42191.0
1699682249.5925002,143,42424.0
