Wall time,Step,Value
1699671013.116898,0,313.2533264160156
1699671041.8739061,1,340.11334228515625
1699671067.5328298,2,364.8733215332031
1699671093.1057127,3,388.9866638183594
1699671118.3794463,4,411.85333251953125
1699671146.2766578,5,438.00665283203125
1699671171.4196649,6,463.5400085449219
1699671196.7767072,7,488.8133239746094
1699671221.8277788,8,514.7933349609375
1699671247.0803313,9,539.9733276367188
1699671271.926543,10,566.5333251953125
1699671297.4360132,11,592.9733276367188
1699671322.2812088,12,616.9000244140625
1699671347.273846,13,642.3866577148438
1699671372.5846493,14,667.306640625
1699671397.3137739,15,692.3666381835938
1699671422.3806193,16,716.6666870117188
1699671447.388656,17,741.1599731445312
1699671472.5005472,18,766.2533569335938
1699671497.4009433,19,791.3400268554688
1699671522.4252708,20,816.0133056640625
1699671547.4289007,21,840.219970703125
1699671572.2772238,22,864.7466430664062
1699671597.597273,23,889.8599853515625
1699671622.5985098,24,913.3800048828125
1699671647.4589012,25,938.4600219726562
1699671672.7444727,26,966.32666015625
1699671697.8404512,27,992.086669921875
1699671722.7632709,28,1017.9199829101562
1699671748.2606893,29,1044.5733642578125
1699671776.381118,30,1072.1666259765625
1699671803.514593,31,1098.973388671875
1699671828.6088853,32,1124.933349609375
1699671853.5896094,33,1150.0999755859375
1699671882.271828,34,1178.1600341796875
1699671907.9291942,35,1204.7733154296875
1699671934.1724102,36,1230.67333984375
1699671962.7932575,37,1257.586669921875
1699671988.028535,38,1282.193359375
1699672012.6972291,39,1305.8333740234375
1699672037.5737026,40,1330.86669921875
1699672062.716622,41,1356.760009765625
1699672087.6244595,42,1380.6666259765625
1699672112.524093,43,1405.4266357421875
1699672137.793311,44,1432.1199951171875
1699672162.8723707,45,1458.7467041015625
1699672187.7370071,46,1482.7532958984375
1699672212.5906672,47,1508.126708984375
1699672237.7877948,48,1532.3466796875
1699672262.598036,49,1555.63330078125
1699672287.48719,50,1580.6600341796875
1699672312.2496397,51,1605.300048828125
1699672337.4469612,52,1630.1866455078125
1699672362.4178276,53,1655.0
1699672387.4217596,54,1679.0733642578125
1699672412.7029288,55,1703.43994140625
1699672438.562128,56,1729.2332763671875
1699672464.373621,57,1754.780029296875
1699672489.2762947,58,1779.4000244140625
1699672514.4470572,59,1804.3599853515625
1699672539.4692745,60,1829.63330078125
1699672564.4003408,61,1855.1800537109375
1699672589.6299376,62,1879.93994140625
1699672614.5683982,63,1904.626708984375
1699672639.521611,64,1928.1866455078125
1699672664.4536483,65,1952.6800537109375
1699672689.392565,66,1976.9666748046875
1699672714.255981,67,2001.43994140625
1699672739.640909,68,2026.473388671875
1699672764.7403426,69,2051.260009765625
1699672789.70539,70,2076.139892578125
1699672814.7417774,71,2100.413330078125
1699672839.4852612,72,2124.546630859375
1699672864.4924972,73,2148.82666015625
1699672889.690507,74,2173.606689453125
1699672914.5051289,75,2197.5
1699672939.4236593,76,2222.953369140625
1699672964.4287872,77,2248.086669921875
1699672989.980972,78,2272.493408203125
1699673015.3401344,79,2297.106689453125
1699673042.1554906,80,2322.7734375
1699673069.0872614,81,2348.493408203125
1699673094.892788,82,2373.0732421875
1699673122.0689254,83,2398.166748046875
1699673149.1045327,84,2423.659912109375
1699673174.789515,85,2447.7666015625
1699673200.2163243,86,2472.0732421875
1699673227.3931723,87,2498.453369140625
1699673254.061332,88,2523.300048828125
1699673279.7385836,89,2548.4267578125
1699673305.2043285,90,2573.94677734375
1699673332.3835106,91,2601.09326171875
1699673359.519508,92,2626.5
1699673385.2525547,93,2650.626708984375
1699673412.1889853,94,2678.219970703125
1699673439.9933374,95,2706.25341796875
1699673465.4196415,96,2731.493408203125
1699673493.7383115,97,2759.933349609375
1699673519.8606315,98,2786.75341796875
1699673545.63382,99,2811.3466796875
1699673572.0267503,100,2836.860107421875
1699673599.6937056,101,2864.913330078125
1699673625.6368902,102,2891.260009765625
1699673652.8953416,103,2918.166748046875
1699673679.941752,104,2944.606689453125
1699673705.664807,105,2969.6533203125
1699673730.98936,106,2993.39990234375
1699673757.5234768,107,3018.39990234375
1699673784.7577293,108,3045.860107421875
1699673810.5468538,109,3072.146728515625
1699673836.018132,110,3096.913330078125
1699673863.679456,111,3123.580078125
1699673889.8099072,112,3149.239990234375
1699673915.7129667,113,3175.02001953125
1699673943.634034,114,3202.7666015625
1699673970.0908828,115,3230.340087890625
1699673995.9487746,116,3255.973388671875
1699674022.016374,117,3280.7333984375
1699674049.8204367,118,3307.780029296875
1699674075.3018303,119,3331.820068359375
1699674100.7335064,120,3355.67333984375
1699674126.054333,121,3380.193359375
1699674152.8013344,122,3405.32666015625
1699674179.869283,123,3431.606689453125
1699674205.2575002,124,3457.686767578125
1699674230.984566,125,3483.206787109375
1699674256.3920996,126,3507.833251953125
