Wall time,Step,Value
1699667057.9020894,0,4991478.5
1699667086.8421726,1,4990586.0
1699667116.1636136,2,4989661.5
1699667142.0800347,3,4988809.5
1699667171.1110551,4,4987900.0
1699667197.0762851,5,4987077.0
1699667226.107765,6,4986173.0
1699667252.6797488,7,4985303.5
1699667281.976276,8,4984374.5
1699667309.7643127,9,4983511.5
1699667338.3272753,10,4982595.5
1699667367.3892055,11,4981687.5
1699667396.9061387,12,4980766.0
1699667424.0402548,13,4979893.0
1699667452.2640107,14,4978982.5
1699667479.977385,15,4978127.0
1699667507.3558357,16,4977265.0
1699667536.4405985,17,4976349.5
1699667562.3482294,18,4975500.5
1699667590.0704844,19,4974644.5
1699667617.4800131,20,4973768.5
1699667646.5803008,21,4972854.0
1699667673.0836914,22,4971992.0
1699667702.442041,23,4971061.5
1699667731.8283107,24,4970135.0
1699667759.8648446,25,4969258.5
1699667788.0153942,26,4968363.0
1699667817.3663208,27,4967435.5
1699667843.401617,28,4966602.0
1699667872.4975724,29,4965681.5
1699667899.6406522,30,4964829.0
1699667927.4410393,31,4963946.0
1699667953.4809127,32,4963113.0
1699667982.4599555,33,4962199.5
1699668009.0733461,34,4961349.5
1699668037.5239248,35,4960463.5
1699668063.4372673,36,4959632.0
1699668092.5881417,37,4958720.0
1699668121.77396,38,4957798.5
1699668148.3238573,39,4956960.0
1699668177.9368536,40,4956021.0
1699668204.5217745,41,4955183.5
1699668233.2043254,42,4954262.5
1699668260.6338162,43,4953419.5
1699668287.8281152,44,4952546.0
1699668313.7267554,45,4951715.0
1699668342.4000614,46,4950803.5
1699668368.2414684,47,4950002.5
1699668395.9010103,48,4949128.5
1699668423.656171,49,4948235.5
1699668452.9106038,50,4947315.5
1699668482.2030258,51,4946392.0
1699668508.413021,52,4945559.0
1699668537.5812604,53,4944627.5
1699668563.2837765,54,4943808.0
1699668592.1690474,55,4942902.5
1699668618.0918164,56,4942064.0
1699668644.0785909,57,4941233.0
1699668672.68221,58,4940337.5
1699668698.3576863,59,4939522.5
1699668724.2124345,60,4938691.5
1699668753.6544385,61,4937763.5
1699668782.9810438,62,4936836.0
1699668810.8038797,63,4935966.0
1699668838.6396525,64,4935081.0
1699668866.2996552,65,4934222.5
1699668898.4273963,66,4933200.5
1699668930.265517,67,4932215.0
1699668961.339973,68,4931255.0
1699668994.3120332,69,4930210.0
1699669024.8902853,70,4929257.0
1699669056.2464967,71,4928289.5
1699669085.3363218,72,4927360.5
1699669114.7267053,73,4926426.5
1699669144.0086205,74,4925505.5
1699669173.616956,75,4924571.0
1699669202.8396,76,4923661.0
1699669229.6136465,77,4922805.5
1699669259.2237058,78,4921869.5
1699669288.6198375,79,4920935.0
1699669314.7777233,80,4920097.5
1699669343.4731236,81,4919197.5
1699669369.7881653,82,4918356.5
1699669398.7998486,83,4917434.0
1699669424.8170211,84,4916603.0
1699669453.4008403,85,4915702.5
1699669478.9678729,86,4914888.0
1699669504.9281604,87,4914057.5
1699669534.215941,88,4913130.5
1699669563.462249,89,4912213.0
1699669590.025752,90,4911372.5
1699669619.3193746,91,4910440.5
1699669645.7803721,92,4909610.5
1699669674.604434,93,4908691.5
1699669703.6104932,94,4907771.5
1699669729.274069,95,4906950.0
1699669755.2817574,96,4906124.0
1699669784.0200248,97,4905222.5
1699669810.2157934,98,4904394.0
1699669839.19661,99,4903482.0
1699669865.2726328,100,4902634.0
1699669894.4772122,101,4901708.5
1699669923.8367116,102,4900785.5
1699669951.5218155,103,4899917.5
1699669980.764364,104,4898988.5
1699670009.512343,105,4898070.5
1699670035.705079,106,4897242.0
1699670064.3748026,107,4896338.0
1699670091.9199076,108,4895468.5
1699670119.6392992,109,4894567.5
1699670145.6522522,110,4893743.0
1699670174.421028,111,4892834.5
1699670201.678742,112,4891974.5
1699670229.5848327,113,4891089.5
1699670255.4288683,114,4890264.0
1699670284.4693646,115,4889352.0
1699670313.7498848,116,4888445.0
