Wall time,Step,Value
1699667057.9177754,0,8489.0
1699667086.8428862,1,9390.0
1699667116.1643274,2,10280.0
1699667142.0808187,3,11032.0
1699667171.1120095,4,11832.0
1699667197.0769887,5,12692.0
1699667226.1084943,6,13449.0
1699667252.6804929,7,14360.0
1699667281.9770365,8,15271.0
1699667309.7653058,9,16031.0
1699667338.327994,10,16938.0
1699667367.390035,11,17847.0
1699667396.9068668,12,18756.0
1699667424.0409355,13,19513.0
1699667452.2647226,14,20414.0
1699667479.9782193,15,21175.0
1699667507.3565514,16,22085.0
1699667536.4413548,17,22845.0
1699667562.3488994,18,23754.0
1699667590.0715978,19,24515.0
1699667617.4807181,20,25425.0
1699667646.581025,21,26186.0
1699667673.0843985,22,27095.0
1699667702.4427376,23,27923.0
1699667731.8290048,24,28838.0
1699667759.8656085,25,29679.0
1699667788.016085,26,30589.0
1699667817.367048,27,31500.0
1699667843.4023225,28,32260.0
1699667872.5030026,29,33091.0
1699667899.641461,30,33933.0
1699667927.442242,31,34842.0
1699667953.481738,32,35604.0
1699667982.4607131,33,36442.0
1699668009.0740635,34,37277.0
1699668037.524605,35,38186.0
1699668063.4379728,36,38946.0
1699668092.588866,37,39784.0
1699668121.774848,38,40694.0
1699668148.3259716,39,41528.0
1699668177.9388947,40,42439.0
1699668204.5227044,41,43201.0
1699668233.2051594,42,44113.0
1699668260.6348464,43,44874.0
1699668287.828801,44,45782.0
1699668313.7276525,45,46544.0
1699668342.400876,46,47378.0
1699668368.2421541,47,48208.0
1699668395.9017854,48,48976.0
1699668423.6573513,49,49882.0
1699668452.911298,50,50723.0
1699668482.2037315,51,51634.0
1699668508.4137273,52,52464.0
1699668537.581973,53,53376.0
1699668563.284469,54,54073.0
1699668592.1700344,55,54896.0
1699668618.0925155,56,55805.0
1699668644.0792935,57,56567.0
1699668672.6829112,58,57416.0
1699668698.3584092,59,58237.0
1699668724.213143,60,58999.0
1699668753.6551259,61,59848.0
1699668782.9820378,62,60759.0
1699668810.8047624,63,61584.0
1699668838.6449742,64,62493.0
1699668866.3007421,65,63256.0
1699668898.4284613,66,64317.0
1699668930.2663505,67,65232.0
1699668961.3409963,68,66144.0
1699668994.3127286,69,67208.0
1699669024.8910196,70,68120.0
1699669056.2472875,71,69032.0
1699669085.3370237,72,69944.0
1699669114.7273679,73,70856.0
1699669144.0095196,74,71705.0
1699669173.6176586,75,72617.0
1699669202.8410478,76,73527.0
1699669229.6143324,77,74349.0
1699669259.224416,78,75258.0
1699669288.6206381,79,76170.0
1699669314.7784576,80,76932.0
1699669343.4738,81,77782.0
1699669369.788945,82,78601.0
1699669398.8005621,83,79513.0
1699669424.81796,84,80275.0
1699669453.401538,85,81126.0
1699669478.968683,86,81944.0
1699669504.928876,87,82707.0
1699669534.2166495,88,83557.0
1699669563.4629579,89,84470.0
1699669590.0264335,90,85288.0
1699669619.3201947,91,86200.0
1699669645.7811096,92,86963.0
1699669674.6053145,93,87814.0
1699669703.6112409,94,88728.0
1699669729.2747574,95,89544.0
1699669755.2824647,96,90307.0
1699669784.0207534,97,91159.0
1699669810.2164917,98,91976.0
1699669839.197285,99,92888.0
1699669865.2733335,100,93651.0
1699669894.4779422,101,94504.0
1699669923.8374166,102,95417.0
1699669951.5227084,103,96235.0
1699669980.7650576,104,97144.0
1699670009.5132115,105,98056.0
1699670035.7058318,106,98819.0
1699670064.3765135,107,99672.0
1699670091.9206345,108,100491.0
1699670119.6402614,109,101400.0
1699670145.6530094,110,102163.0
1699670174.422224,111,103018.0
1699670201.6794152,112,103835.0
1699670229.585524,113,104744.0
1699670255.4295626,114,105450.0
1699670284.4703398,115,106362.0
1699670313.7513728,116,107273.0
