Wall time,Step,Value
1699659090.5151677,0,0.0
1699659129.83221,1,0.0
1699659167.9385002,2,0.0
1699659207.7692757,3,0.0
1699659257.3563538,4,0.0
1699659306.6658971,5,0.0
1699659346.424562,6,0.0
1699659383.5852666,7,0.0
1699659423.7325447,8,0.0
1699659462.88937,9,0.0
1699659502.3712528,10,0.0
1699659541.903744,11,0.0
1699659580.7990243,12,0.0
1699659616.8398352,13,0.0
1699659664.4107122,14,0.0
1699659702.4585989,15,0.0
1699659741.530852,16,0.0
1699659780.406907,17,0.0
1699659817.4885159,18,0.0
1699659856.5828593,19,0.0
1699659892.5778198,20,0.0
1699659932.261266,21,0.0
1699659969.5010068,22,0.0
1699660005.4848123,23,0.0
1699660042.4436553,24,0.0
1699660082.0543716,25,0.0
1699660118.6907182,26,0.0
1699660155.4831076,27,0.0
1699660193.0947003,28,0.0
1699660232.1250896,29,0.0
1699660267.945618,30,0.0
1699660306.7771628,31,0.0
1699660341.501847,32,0.0
1699660374.7353897,33,0.0
1699660412.9234793,34,0.0
1699660449.8521988,35,0.0
1699660486.3851771,36,0.0
1699660522.8695533,37,0.0
1699660561.1440716,38,0.0
1699660596.6587453,39,0.0
1699660632.7090552,40,0.0
1699660668.1914954,41,0.0
1699660706.2139857,42,0.0
1699660743.3175304,43,0.0
1699660779.266336,44,0.0
1699660815.371412,45,0.0
1699660853.2231486,46,0.0
1699660890.3781435,47,0.0
1699660925.4915724,48,0.0
1699660964.7462587,49,0.0
1699661014.4573054,50,0.0
1699661050.8797054,51,0.0
1699661095.6616814,52,0.0
1699661133.8157802,53,0.0
1699661171.3728254,54,0.0
1699661205.7007174,55,0.0
1699661243.8042996,56,0.0
1699661283.2097213,57,0.0
1699661318.741864,58,0.0
1699661353.9019248,59,0.0
1699661391.0538378,60,0.0
1699661429.0682557,61,0.0
1699661467.7340677,62,0.0
1699661500.3452942,63,0.0
1699661536.867518,64,0.0
1699661571.4237247,65,0.0
1699661605.289082,66,0.0
1699661643.8054414,67,0.0
1699661679.285608,68,0.0
1699661714.74671,69,0.0
1699661752.6737666,70,0.0
1699661793.858847,71,0.0
1699661828.2121036,72,0.0
1699661863.6554525,73,0.0
1699661898.8655367,74,0.0
1699661934.2274837,75,0.0
1699661969.4542665,76,0.0
1699662006.4103272,77,0.0
1699662040.5791254,78,0.0
1699662075.770352,79,0.0
1699662109.969233,80,0.0
1699662144.8355296,81,0.0
1699662181.0287652,82,0.0
1699662215.2698803,83,0.0
1699662250.0022984,84,0.0
1699662284.8776505,85,0.0
1699662320.8231559,86,0.0
1699662356.195702,87,0.0
