Wall time,Step,Value
1699659090.5097525,0,175.0
1699659129.827556,1,350.0
1699659167.9381535,2,525.0
1699659207.7689352,3,700.0
1699659257.3560104,4,875.0
1699659306.6655726,5,1050.0
1699659346.4242318,6,1225.0
1699659383.5846097,7,1400.0
1699659423.7321222,8,1575.0
1699659462.8890462,9,1750.0
1699659502.3709223,10,1925.0
1699659541.903387,11,2100.0
1699659580.7987123,12,2275.0
1699659616.8392932,13,2450.0
1699659664.408288,14,2625.0
1699659702.4582658,15,2800.0
1699659741.5304978,16,2975.0
1699659780.405251,17,3150.0
1699659817.4881926,18,3325.0
1699659856.5825248,19,3500.0
1699659892.5774121,20,3675.0
1699659932.2609222,21,3850.0
1699659969.4994562,22,4025.0
1699660005.4834282,23,4200.0
1699660042.4433303,24,4375.0
1699660082.0534766,25,4550.0
1699660118.690387,26,4725.0
1699660155.4826016,27,4900.0
1699660193.094269,28,5075.0
1699660232.1247685,29,5250.0
1699660267.945277,30,5425.0
1699660306.776835,31,5600.0
1699660341.5015182,32,5775.0
1699660374.734948,33,5950.0
1699660412.9229882,34,6125.0
1699660449.8516982,35,6300.0
1699660486.384712,36,6475.0
1699660522.8692322,37,6650.0
1699660561.1428943,38,6825.0
1699660596.658426,39,7000.0
1699660632.7087169,40,7175.0
1699660668.1910071,41,7350.0
1699660706.2134335,42,7525.0
1699660743.3170967,43,7700.0
1699660779.2660086,44,7875.0
1699660815.3704908,45,8050.0
1699660853.2227526,46,8225.0
1699660890.3776767,47,8400.0
1699660925.4910927,48,8575.0
1699660964.7458813,49,8750.0
1699661014.4569726,50,8925.0
1699661050.8791878,51,9100.0
1699661095.6612656,52,9275.0
1699661133.8154454,53,9450.0
1699661171.372043,54,9625.0
1699661205.7002676,55,9800.0
1699661243.803885,56,9975.0
1699661283.209384,57,10150.0
1699661318.74152,58,10325.0
1699661353.9015882,59,10500.0
1699661391.0533822,60,10675.0
1699661429.0679183,61,10850.0
1699661467.7337453,62,11025.0
1699661500.3448906,63,11200.0
1699661536.867157,64,11375.0
1699661571.4232707,65,11550.0
1699661605.288731,66,11725.0
1699661643.8051143,67,11900.0
1699661679.2852657,68,12075.0
1699661714.7463694,69,12250.0
1699661752.6649487,70,12425.0
1699661793.8585155,71,12600.0
1699661828.21177,72,12775.0
1699661863.655051,73,12950.0
1699661898.8652067,74,13125.0
1699661934.2271538,75,13300.0
1699661969.4538834,76,13475.0
1699662006.4099827,77,13650.0
1699662040.5786734,78,13825.0
1699662075.7699366,79,14000.0
1699662109.9689124,80,14175.0
1699662144.8351998,81,14350.0
1699662181.0283325,82,14525.0
1699662215.2695572,83,14700.0
1699662250.001979,84,14875.0
1699662284.8773167,85,15050.0
1699662320.8227437,86,15225.0
1699662356.195364,87,15400.0
