Wall time,Step,Value
1699650510.4827502,0,5091.7890625
1699650567.7909212,1,7836.92578125
1699650624.4601915,2,2273.697998046875
1699650683.4834585,3,6904.7275390625
1699650739.3768778,4,5191.16357421875
1699650796.7052402,5,11293.0166015625
1699650852.5763886,6,9728.9873046875
1699650909.3383534,7,5270.9541015625
1699650967.7887304,8,2968.18115234375
1699651023.3814745,9,1542.6156005859375
1699651077.5179033,10,7469.37939453125
1699651132.4738855,11,4254.2685546875
1699651188.014962,12,3996.45458984375
1699651242.8308067,13,5015.0283203125
1699651298.8883598,14,6074.5048828125
1699651353.6924925,15,7975.8896484375
1699651408.8588693,16,4071.54833984375
1699651463.895994,17,6133.966796875
1699651518.9909985,18,2548.78125
1699651573.5274832,19,1901.047119140625
1699651628.9816716,20,1542.7120361328125
1699651683.5295928,21,2198.957275390625
1699651739.1025248,22,3930.480224609375
1699651793.0596457,23,8294.3935546875
1699651847.820133,24,4259.08837890625
1699651902.6820042,25,5044.73046875
1699651957.940752,26,4115.83740234375
1699652012.1717205,27,7771.77099609375
1699652067.164703,28,7870.8046875
1699652124.184022,29,3044.157470703125
1699652178.3605623,30,4274.2421875
1699652235.2976432,31,1836.3721923828125
1699652290.7574487,32,2635.064697265625
1699652345.167588,33,2292.358642578125
1699652398.6673527,34,4375.0458984375
1699652452.7395825,35,9556.0390625
1699652505.5290864,36,3025.684814453125
1699652560.5489936,37,821.4508666992188
1699652618.1493816,38,8581.3798828125
1699652676.2139208,39,1518.8265380859375
1699652734.6650777,40,2294.703857421875
1699652790.8674529,41,3389.00244140625
1699652845.8405554,42,1586.7430419921875
1699652900.6527271,43,1712.0206298828125
1699652958.8326697,44,4221.31884765625
1699653016.4076056,45,2662.087158203125
1699653072.9706914,46,8091.54052734375
1699653131.9333923,47,3427.927734375
1699653190.7694817,48,4274.2421875
1699653247.3282878,49,2908.8935546875
1699653306.4541404,50,3049.1806640625
1699653363.7944868,51,7239.1806640625
1699653424.027626,52,10127.9306640625
1699653484.5925462,53,6720.896484375
1699653544.6654174,54,8304.9892578125
1699653602.5345955,55,3507.433349609375
1699653660.627423,56,8154.3486328125
1699653720.5544431,57,1095.912841796875
1699653779.8967998,58,2850.744140625
