Wall time,Step,Value
1699650510.2967215,0,328.5299987792969
1699650567.7893214,1,395.8800048828125
1699650624.4459393,2,467.9049987792969
1699650683.4819438,3,545.4199829101562
1699650739.3748815,4,623.9400024414062
1699650796.7030156,5,689.6599731445312
1699650852.5749228,6,766.72998046875
1699650909.3368833,7,843.3150024414062
1699650967.7872627,8,920.1900024414062
1699651023.3798432,9,998.0650024414062
1699651077.5164838,10,1065.3050537109375
1699651132.471997,11,1144.9449462890625
1699651188.0135071,12,1214.6099853515625
1699651242.8293853,13,1286.0
1699651298.8868191,14,1364.5
1699651353.691012,15,1436.8349609375
1699651408.857269,16,1508.89501953125
1699651463.8945265,17,1581.1800537109375
1699651518.989452,18,1658.22998046875
1699651573.5259957,19,1729.2750244140625
1699651628.979301,20,1804.510009765625
1699651683.5278015,21,1877.135009765625
1699651739.101141,22,1951.1300048828125
1699651793.0575454,23,2024.530029296875
1699651847.8023543,24,2100.375
1699651902.67858,25,2173.489990234375
1699651957.9135103,26,2252.7099609375
1699652012.1659377,27,2326.929931640625
1699652067.160161,28,2401.18505859375
1699652124.182061,29,2476.739990234375
1699652178.3318472,30,2551.18505859375
1699652235.2961743,31,2626.64990234375
1699652290.755252,32,2701.695068359375
1699652345.1657562,33,2776.6650390625
1699652398.6483228,34,2850.695068359375
1699652452.7333272,35,2925.0849609375
1699652505.5270033,36,2982.47509765625
1699652560.5469823,37,3068.760009765625
1699652618.1474252,38,3148.445068359375
1699652676.2120204,39,3229.969970703125
1699652734.6635382,40,3305.72998046875
1699652790.8657594,41,3381.534912109375
1699652845.8389857,42,3456.60498046875
1699652900.6512694,43,3530.47509765625
1699652958.8069916,44,3617.090087890625
1699653016.4059794,45,3692.77490234375
1699653072.9691129,46,3768.260009765625
1699653131.9317303,47,3844.199951171875
1699653190.7677453,48,3931.68505859375
1699653247.326431,49,4006.574951171875
1699653306.4527264,50,4082.22509765625
1699653363.7867177,51,4160.3701171875
1699653424.0256708,52,4244.294921875
1699653484.5838697,53,4323.06494140625
1699653544.6628642,54,4409.1748046875
1699653602.5327532,55,4487.22998046875
1699653660.6253707,56,4563.0048828125
1699653720.5523684,57,4647.7548828125
1699653779.892532,58,4725.634765625
