Wall time,Step,Value
1699637428.7904954,0,0.0
1699637491.6781743,1,250.0
1699637562.128328,2,500.0
1699637634.0576787,3,750.0
1699637700.1423242,4,1000.0
1699637772.801264,5,1250.0
1699637845.2019806,6,1500.0
1699637919.709879,7,1750.0
1699637992.087865,8,2000.0
1699638063.692989,9,2250.0
1699638139.5234375,10,2500.0
1699638214.8232386,11,2750.0
1699638284.8985884,12,3000.0
1699638362.5953245,13,3250.0
1699638432.584822,14,3500.0
1699638504.431906,15,3750.0
1699638580.19491,16,4000.0
1699638650.88116,17,4250.0
1699638725.92969,18,4500.0
1699638795.888327,19,4750.0
1699638869.150143,20,5000.0
1699638944.3782835,21,5250.0
1699639017.9618306,22,5500.0
1699639080.5057015,23,5750.0
1699639151.1247945,24,6000.0
1699639217.9607217,25,6250.0
1699639287.1857984,26,6500.0
1699639352.3127842,27,6750.0
1699639420.4013762,28,7000.0
1699639494.664572,29,7250.0
1699639565.905416,30,7500.0
1699639639.9858136,31,7750.0
1699639710.6963139,32,8000.0
1699639782.422649,33,8250.0
1699639851.6798759,34,8500.0
1699639917.8227801,35,8750.0
1699639985.0286639,36,9000.0
1699640051.5108855,37,9250.0
1699640117.3410575,38,9500.0
1699640184.8727865,39,9776.0
1699640250.3805814,40,10071.0
1699640317.3730202,41,10250.0
1699640383.7993202,42,10507.0
1699640452.9118867,43,10750.0
1699640522.3908236,44,11000.0
1699640591.7120683,45,11250.0
1699640665.1495028,46,11520.0
