Wall time,Step,Value
1699712210.8822663,0,4993409.5
1699712229.8562138,1,4992937.0
1699712248.8110416,2,4992480.5
1699712267.6986842,3,4992053.0
1699712286.3261814,4,4991615.0
1699712305.1076531,5,4991168.0
1699712324.0037007,6,4990731.0
1699712343.062106,7,4990276.5
1699712361.9474914,8,4989825.0
1699712380.5561123,9,4989384.5
1699712399.4437895,10,4988927.5
1699712418.6158123,11,4988473.5
1699712437.4927363,12,4988019.5
1699712456.1725788,13,4987571.0
1699712474.9439123,14,4987132.5
1699712493.7990808,15,4986693.0
1699712512.5804672,16,4986259.5
1699712531.3137946,17,4985804.0
1699712550.1083422,18,4985381.5
1699712569.078967,19,4984914.0
1699712588.1389039,20,4984464.0
1699712606.6317382,21,4984025.0
1699712625.351215,22,4983576.0
1699712644.247066,23,4983132.0
1699712663.222951,24,4982664.0
1699712681.786907,25,4982258.0
1699712700.527341,26,4981784.0
1699712719.4998772,27,4981312.0
1699712738.6123817,28,4980840.5
1699712757.511081,29,4980385.5
1699712776.0907612,30,4979961.5
1699712794.813234,31,4979502.5
1699712813.9231257,32,4979044.5
1699712832.8540306,33,4978597.5
1699712851.5902739,34,4978179.5
1699712870.27838,35,4977725.0
1699712889.269946,36,4977294.5
1699712907.9993403,37,4976868.0
1699712926.7292907,38,4976422.5
1699712945.4612083,39,4975996.5
1699712964.3848853,40,4975538.0
1699712983.3120658,41,4975079.5
1699713001.9401696,42,4974645.0
1699713020.7049205,43,4974209.0
1699713039.6192203,44,4973744.0
1699713058.6268249,45,4973300.0
1699713077.1633608,46,4972865.5
1699713095.9783213,47,4972410.5
1699713114.887417,48,4971954.5
1699713133.9327636,49,4971499.0
1699713152.843872,50,4971043.5
1699713171.5113175,51,4970612.5
1699713190.242108,52,4970197.5
1699713209.2112737,53,4969755.5
1699713228.0506768,54,4969325.5
1699713246.6792586,55,4968898.0
1699713265.4634752,56,4968473.0
1699713284.5394242,57,4968009.0
1699713303.3828824,58,4967564.0
1699713322.1373522,59,4967113.0
1699713340.8636096,60,4966673.5
1699713360.0169573,61,4966219.0
1699713379.207003,62,4965779.0
1699713398.200381,63,4965322.5
1699713416.9548361,64,4964868.5
1699713435.724434,65,4964436.5
1699713454.7055197,66,4963981.5
1699713473.4873402,67,4963527.5
1699713492.2406359,68,4963085.0
1699713511.0320346,69,4962657.0
1699713529.9588437,70,4962215.0
1699713549.014632,71,4961780.0
1699713567.6485612,72,4961354.5
1699713586.338159,73,4960917.5
1699713605.2350626,74,4960459.0
1699713624.2732832,75,4960016.5
1699713643.05666,76,4959566.0
1699713661.647292,77,4959122.0
1699713680.5693648,78,4958687.5
1699713699.6193538,79,4958236.0
1699713718.466591,80,4957809.0
1699713737.0310042,81,4957375.0
1699713755.8353465,82,4956945.5
1699713774.9045258,83,4956500.0
1699713793.7549772,84,4956066.5
1699713812.4952455,85,4955630.0
1699713831.1874754,86,4955196.5
1699713850.130297,87,4954743.0
1699713868.9380014,88,4954283.0
1699713887.6848762,89,4953831.0
1699713906.4588714,90,4953395.0
1699713925.2471333,91,4952959.5
1699713943.9796464,92,4952514.5
1699713962.714188,93,4952059.5
1699713981.3759942,94,4951617.5
1699714000.3749936,95,4951149.0
1699714019.3189414,96,4950696.0
1699714037.9287553,97,4950266.5
1699714056.6259997,98,4949850.0
1699714076.0115669,99,4949385.0
1699714095.1231515,100,4948932.5
1699714114.2632704,101,4948461.0
1699714133.203522,102,4948006.5
1699714152.16778,103,4947575.5
1699714171.1344743,104,4947132.0
1699714190.1976185,105,4946661.0
1699714209.1334555,106,4946189.5
1699714227.792733,107,4945746.0
1699714246.5473037,108,4945315.0
1699714265.607098,109,4944861.0
1699714284.6539629,110,4944428.5
1699714303.2834952,111,4943990.0
1699714322.219811,112,4943558.0
1699714341.0637212,113,4943106.5
1699714360.0991738,114,4942649.5
1699714379.03089,115,4942202.0
1699714397.9313238,116,4941758.0
1699714416.971079,117,4941304.5
1699714435.919702,118,4940884.5
1699714454.919861,119,4940430.0
1699714474.0519636,120,4939965.0
1699714492.6517026,121,4939529.5
1699714511.5927303,122,4939083.5
1699714530.6430569,123,4938625.5
1699714550.1235867,124,4938152.5
1699714568.9551277,125,4937680.0
1699714587.6838202,126,4937240.5
1699714606.6201115,127,4936770.5
1699714625.6839597,128,4936319.5
1699714644.5779908,129,4935872.0
1699714663.2567823,130,4935413.0
1699714681.7949996,131,4934987.5
1699714701.1594613,132,4934502.0
1699714720.3020403,133,4934048.0
1699714739.0953715,134,4933606.0
1699714757.8210535,135,4933187.0
1699714776.759153,136,4932752.0
1699714795.7923508,137,4932305.5
1699714814.8157322,138,4931850.5
1699714833.5477962,139,4931401.5
1699714852.1976726,140,4930972.0
1699714871.2550564,141,4930515.5
1699714890.519354,142,4930061.5
1699714909.2787702,143,4929598.5
1699714927.8943644,144,4929149.0
1699714946.875095,145,4928710.5
1699714965.963732,146,4928295.5
1699714984.844119,147,4927843.0
1699715003.747214,148,4927383.0
1699715022.4310129,149,4926943.5
1699715041.607059,150,4926470.5
1699715060.6206532,151,4926031.5
1699715079.4434388,152,4925567.5
1699715098.1490853,153,4925137.0
1699715116.9952197,154,4924681.5
1699715136.119003,155,4924219.0
1699715155.1431072,156,4923757.0
1699715173.9555314,157,4923301.0
1699715192.6715794,158,4922868.0
1699715211.8073702,159,4922411.5
1699715230.895971,160,4921970.0
1699715249.5998135,161,4921547.0
1699715268.2507844,162,4921112.5
1699715287.1950836,163,4920669.5
1699715306.355026,164,4920206.0
1699715325.4353082,165,4919744.0
1699715344.1066148,166,4919293.5
1699715362.832965,167,4918856.0
1699715381.927402,168,4918412.5
1699715400.956833,169,4917988.5
1699715419.5361485,170,4917569.5
1699715438.2391865,171,4917132.5
1699715457.2322912,172,4916689.0
1699715476.2850804,173,4916247.0
