Wall time,Step,Value
1708107309.2116582,0,4992805.0
1708107328.63062,1,4992270.5
1708107347.2072747,2,4991797.0
1708107368.1341872,3,4991204.5
1708107388.3600264,4,4990636.0
1708107408.201182,5,4990083.5
1708107427.4830542,6,4989565.5
1708107448.4377642,7,4988966.0
1708107469.2493973,8,4988370.0
1708107490.1020777,9,4987776.0
1708107511.1641533,10,4987183.5
1708107532.8668091,11,4986560.5
1708107553.6900954,12,4985969.0
1708107574.349507,13,4985389.5
1708107595.0099247,14,4984777.5
1708107615.7808852,15,4984189.5
1708107636.4968264,16,4983612.5
1708107658.1897366,17,4982977.5
1708107679.1865032,18,4982367.5
1708107700.106364,19,4981773.0
1708107720.7497025,20,4981193.0
1708107741.4646654,21,4980613.0
1708107762.638203,22,4979995.0
1708107782.9586117,23,4979433.0
1708107803.168997,24,4978866.5
1708107823.3990061,25,4978298.0
1708107844.1698456,26,4977704.0
1708107865.0464382,27,4977097.5
1708107886.1700928,28,4976490.5
1708107907.4721696,29,4975878.0
1708107928.641644,30,4975258.5
1708107949.5445704,31,4974652.0
1708107970.362027,32,4974058.5
1708107991.5477102,33,4973464.5
1708108013.2418387,34,4972848.5
1708108034.1225727,35,4972251.5
1708108054.89742,36,4971672.0
1708108075.7595546,37,4971056.0
1708108096.8199854,38,4970458.0
1708108118.5483332,39,4969816.5
1708108138.471321,40,4969257.0
1708108158.3617918,41,4968705.5
1708108179.1340554,42,4968116.5
1708108199.843833,43,4967516.0
1708108220.598023,44,4966920.0
1708108241.63368,45,4966326.0
1708108262.060663,46,4965768.5
1708108282.5737872,47,4965193.5
1708108302.749061,48,4964628.0
1708108323.7873778,49,4964033.0
1708108343.8308783,50,4963469.0
1708108363.9366765,51,4962907.5
1708108383.9416587,52,4962356.0
1708108404.0100713,53,4961798.5
1708108424.1507797,54,4961234.0
1708108444.9833224,55,4960636.5
1708108465.7658243,56,4960032.0
1708108486.7684667,57,4959432.5
1708108508.1753466,58,4958822.0
1708108529.0747454,59,4958221.0
1708108549.6376615,60,4957635.5
1708108570.2449758,61,4957052.5
1708108590.8457937,62,4956469.0
1708108611.4889064,63,4955891.0
1708108632.3360345,64,4955305.5
1708108653.8219936,65,4954688.5
1708108674.5431042,66,4954110.5
1708108695.2506762,67,4953518.5
1708108715.9898689,68,4952919.0
1708108736.8911805,69,4952329.0
1708108757.8273454,70,4951737.0
1708108778.9633644,71,4951116.0
1708108799.4468715,72,4950540.5
1708108820.0051491,73,4949956.5
1708108840.512826,74,4949369.5
1708108861.1976538,75,4948788.0
1708108881.981814,76,4948212.5
1708108903.265934,77,4947617.0
1708108924.068655,78,4947021.0
1708108945.057912,79,4946430.0
1708108965.5646129,80,4945855.5
1708108986.0987277,81,4945262.5
1708109006.9792306,82,4944668.5
1708109027.8723955,83,4944083.5
1708109049.3060977,84,4943454.0
1708109069.7846859,85,4942884.5
1708109090.3336585,86,4942301.0
1708109110.849925,87,4941720.5
1708109131.4650955,88,4941132.0
1708109152.209559,89,4940554.0
1708109173.3602405,90,4939969.0
1708109194.3993883,91,4939363.0
1708109215.0555918,92,4938787.5
1708109235.7610643,93,4938204.5
1708109256.378845,94,4937611.5
1708109277.270221,95,4937018.0
1708109298.1843784,96,4936437.0
1708109319.5825953,97,4935808.0
1708109340.150666,98,4935240.0
1708109360.8414035,99,4934649.5
1708109381.598995,100,4934068.5
1708109402.518035,101,4933491.5
1708109423.7667968,102,4932902.5
1708109444.8115,103,4932306.0
1708109465.5513458,104,4931723.0
1708109486.3958075,105,4931135.0
1708109507.1557689,106,4930530.5
1708109528.1336715,107,4929945.0
1708109549.6499715,108,4929318.0
1708109570.2007196,109,4928745.0
1708109590.9177308,110,4928161.0
1708109611.5307992,111,4927583.5
1708109632.2774663,112,4927008.5
1708109653.1905265,113,4926421.0
1708109674.7099655,114,4925804.5
1708109695.38212,115,4925234.0
1708109716.2615876,116,4924639.5
1708109737.0261936,117,4924042.0
1708109758.0807827,118,4923447.5
1708109779.1415417,119,4922865.5
1708109800.220173,120,4922249.0
1708109821.0153103,121,4921667.5
1708109841.8138826,122,4921076.0
1708109862.5582237,123,4920502.0
1708109883.511865,124,4919918.0
1708109905.0658917,125,4919303.5
1708109925.9143,126,4918723.5
1708109946.6314235,127,4918142.5
1708109967.4776545,128,4917535.5
1708109988.483985,129,4916947.5
1708110010.1147778,130,4916314.0
1708110030.7760751,131,4915741.0
1708110051.6131637,132,4915149.5
1708110072.578818,133,4914557.5
1708110093.4540272,134,4913980.5
1708110114.9442585,135,4913362.5
1708110135.7586293,136,4912793.5
1708110156.5021148,137,4912208.0
1708110177.0699499,138,4911632.5
1708110197.7407486,139,4911031.0
1708110218.7558935,140,4910444.5
1708110240.274584,141,4909814.5
1708110260.9900641,142,4909240.0
1708110281.749272,143,4908650.5
1708110302.3716524,144,4908072.0
1708110322.9780123,145,4907497.5
1708110343.7989218,146,4906914.5
1708110365.1541076,147,4906303.0
1708110385.7665498,148,4905737.0
1708110406.2935731,149,4905160.5
1708110426.799459,150,4904581.5
1708110447.1744745,151,4904015.0
1708110467.7277336,152,4903418.5
1708110488.517847,153,4902832.0
1708110509.6029887,154,4902241.0
1708110530.7846293,155,4901616.0
1708110551.3422935,156,4901045.0
1708110572.0560274,157,4900457.0
