Wall time,Step,Value
1708107309.210134,0,0.0
1708107328.630264,1,28791.732421875
1708107347.2069778,2,22847.162109375
1708107368.1338797,3,32129.333984375
1708107388.3597498,4,25434.79296875
1708107408.2002363,5,24588.40625
1708107427.4825735,6,26157.765625
1708107448.4375,7,29926.630859375
1708107469.2491062,8,29350.005859375
1708107490.1013708,9,24661.33203125
1708107511.162834,10,26790.6328125
1708107532.865477,11,25713.12109375
1708107553.6898274,12,27379.75390625
1708107574.3488688,13,27076.99609375
1708107595.009652,14,26911.607421875
1708107615.7806048,15,27582.33984375
1708107636.4965765,16,26704.921875
1708107658.1887784,17,26201.8671875
1708107679.1858294,18,27370.623046875
1708107700.1060433,19,25494.84375
1708107720.749435,20,27836.943359375
1708107741.4644105,21,26004.6796875
1708107762.6378248,22,27602.212890625
1708107782.958265,23,28272.630859375
1708107803.1687381,24,27205.9296875
1708107823.398033,25,27702.548828125
1708107844.1695678,26,27194.033203125
1708107865.046162,27,25663.013671875
1708107886.169821,28,27087.615234375
1708107907.4717426,29,26149.814453125
1708107928.6410668,30,26893.34765625
1708107949.5436022,31,26751.732421875
1708107970.3617609,32,27646.126953125
1708107991.5463247,33,25817.05859375
1708108013.2415702,34,26700.126953125
1708108034.1222627,35,26428.216796875
1708108054.8971457,36,26102.873046875
1708108075.7578166,37,26818.439453125
1708108096.8186147,38,26548.466796875
1708108118.547947,39,26777.953125
1708108138.4709423,40,25586.044921875
1708108158.3615322,41,26391.056640625
1708108179.1337848,42,23891.48828125
1708108199.843508,43,27565.701171875
1708108220.5977478,44,27196.458984375
1708108241.6334124,45,27685.70703125
1708108262.0593674,46,27142.93359375
1708108282.5733848,47,28078.884765625
1708108302.7486317,48,27358.205078125
1708108323.786148,49,26161.736328125
1708108343.8305483,50,28229.939453125
1708108363.9356635,51,27819.666015625
1708108383.9404566,52,25294.96484375
1708108404.0095053,53,26443.02734375
1708108424.1501145,54,27278.400390625
1708108444.9828753,55,27491.70703125
1708108465.7655523,56,26935.7265625
1708108486.7681913,57,26799.62109375
1708108508.1749976,58,28185.3203125
1708108529.0737925,59,26946.421875
1708108549.6369522,60,29119.6484375
1708108570.2440073,61,26929.515625
1708108590.84551,62,27603.060546875
1708108611.4886196,63,26450.322265625
1708108632.3347216,64,28858.666015625
1708108653.8217275,65,30123.662109375
1708108674.5428452,66,30087.68359375
1708108695.2499049,67,27794.123046875
1708108715.9895954,68,28049.732421875
1708108736.8908863,69,28470.859375
1708108757.827077,70,27903.62890625
1708108778.9630897,71,30659.88671875
1708108799.4465005,72,25616.6015625
1708108820.0048869,73,26812.162109375
1708108840.5122485,74,28831.009765625
1708108861.1972227,75,29892.87890625
1708108881.9815528,76,29264.658203125
1708108903.2654676,77,28496.76171875
1708108924.0681815,78,29017.798828125
1708108945.0576422,79,27906.26953125
1708108965.563673,80,27904.904296875
1708108986.0984602,81,28440.140625
1708109006.9789636,82,30901.78515625
1708109027.8721135,83,30747.33203125
1708109049.3050344,84,30283.228515625
1708109069.7841086,85,26457.111328125
1708109090.3333938,86,30011.052734375
1708109110.849649,87,28790.15625
1708109131.4648063,88,28950.05859375
1708109152.2092988,89,26304.203125
1708109173.359736,90,28152.53515625
1708109194.3989239,91,26579.97265625
1708109215.0552921,92,27140.048828125
1708109235.7607863,93,26846.693359375
1708109256.3775637,94,27045.60546875
1708109277.2699425,95,30406.564453125
1708109298.184065,96,25819.703125
1708109319.5822346,97,26251.943359375
1708109340.1499565,98,27047.603515625
1708109360.8405006,99,29094.43359375
1708109381.5985956,100,26296.724609375
1708109402.5177252,101,25872.837890625
1708109423.7663357,102,28577.80859375
1708109444.810223,103,28073.154296875
1708109465.5510585,104,29399.396484375
1708109486.3955643,105,29596.146484375
1708109507.1546855,106,28322.833984375
1708109528.1323433,107,27422.45703125
1708109549.6497,108,30380.296875
1708109570.200166,109,26417.494140625
1708109590.917458,110,26441.103515625
1708109611.530526,111,27312.66015625
1708109632.2761488,112,28692.103515625
1708109653.1902378,113,27445.67578125
1708109674.7096932,114,27418.58984375
1708109695.381723,115,29398.04296875
1708109716.2603345,116,28207.490234375
1708109737.0259018,117,27435.36328125
1708109758.0805118,118,27864.7265625
1708109779.141229,119,29907.626953125
1708109800.2193568,120,27832.5703125
1708109821.0150368,121,28350.796875
1708109841.813621,122,28775.74609375
1708109862.5578873,123,28414.904296875
1708109883.5105581,124,27698.5703125
1708109905.0656273,125,27144.568359375
1708109925.9140015,126,27798.5703125
1708109946.6304076,127,27308.5703125
1708109967.477077,128,27468.56640625
1708109988.4826915,129,27561.564453125
1708110010.114495,130,27967.837890625
1708110030.7755823,131,27306.56640625
1708110051.6117868,132,27599.568359375
1708110072.5784624,133,28156.08203125
1708110093.4537125,134,27040.892578125
1708110114.9439611,135,25185.25390625
1708110135.7578773,136,29806.482421875
1708110156.5018494,137,28659.703125
1708110177.0696542,138,24843.572265625
1708110197.7397666,139,28442.51953125
1708110218.75464,140,27228.798828125
1708110240.2743053,141,29419.0546875
1708110260.989781,142,29802.7265625
1708110281.7475877,143,28107.083984375
1708110302.371358,144,28637.02734375
1708110322.9777532,145,29071.99609375
1708110343.7984126,146,28799.78125
1708110365.1538317,147,28311.81640625
1708110385.7662854,148,28202.72265625
1708110406.293236,149,29707.41796875
1708110426.799126,150,29330.1640625
1708110447.1741652,151,26783.1796875
1708110467.727351,152,28338.94140625
1708110488.5175068,153,27108.5703125
1708110509.6026642,154,27308.5703125
1708110530.7843425,155,29242.607421875
1708110551.3420506,156,31371.01953125
1708110572.054478,157,28814.216796875
