Wall time,Step,Value
1708107309.7739205,1,18964132397056.0
1708107309.783731,4,990870228697088.0
1708107309.785534,5,3901055444189184.0
1708107309.8137395,11,1790226523488256.0
1708107309.831683,12,1739758241841152.0
1708107329.3340933,15,195470655750144.0
1708107329.3363366,16,261336814583808.0
1708107329.3553083,19,23412806254592.0
1708107329.3586926,20,2076710404096.0
1708107329.3623111,21,46539363844096.0
1708107329.377487,23,128567891460096.0
1708107329.4124415,24,99058211356672.0
1708107348.0638204,27,25680903405568.0
1708107348.0663962,28,34791795720192.0
1708107348.0709407,30,14474176102400.0
1708107348.079083,34,16170308599808.0
1708107368.92928,37,59429988.0
1708107368.9333448,38,1842883198976.0
1708107368.935511,39,5128292139008.0
1708107368.9376638,40,6668660768768.0
1708107368.9396353,41,5077411561472.0
1708107368.9687352,48,1275012710400.0
1708107389.0791562,49,115010536.0
1708107389.0836153,50,563172343808.0
1708107389.089901,52,1834384883712.0
1708107389.0920734,53,1235842367488.0
1708107389.096175,55,1937190656.0
1708107389.098002,56,383797428224.0
1708107389.1016223,58,1009829609472.0
1708107408.99343,61,78254328.0
1708107409.016887,62,193921236992.0
1708107409.0215166,63,509242015744.0
1708107409.0239038,64,565800665088.0
1708107409.028353,66,56377159680.0
1708107409.0302203,67,17928499200.0
1708107409.0321395,68,192722731008.0
1708107409.034009,69,332224200704.0
1708107409.0382504,71,95772893184.0
1708107409.0556526,72,600443200.0
1708107428.2457712,78,8444654080.0
1708107428.2502003,80,69618376704.0
1708107428.252108,81,96441810944.0
1708107428.2589304,83,12548107264.0
1708107428.276649,84,2569868288.0
1708107449.174891,86,12187329536.0
1708107449.1782436,87,30244323328.0
1708107449.1862104,90,1174004480.0
1708107449.1880293,91,4846486528.0
1708107449.2121358,96,2266744576.0
1708107470.0349164,100,4961040896.0
1708107470.03743,101,2088163200.0
1708107470.0433927,104,2800446976.0
1708107470.0489032,107,64009460.0
1708107470.0663307,108,431368576.0
1708107491.0864375,110,188918992.0
1708107491.0892854,111,703278464.0
1708107491.0977895,115,125202408.0
1708107491.1013434,117,428713088.0
1708107512.6305418,122,29735234.0
1708107512.8171067,126,211855.8125
1708107512.8227172,127,43074588.0
1708107512.8329792,129,53530232.0
1708107512.8749301,131,3302534.75
1708107512.897409,132,33638460.0
1708107533.6725237,133,8652684.0
1708107533.6771693,135,4241217.0
1708107533.6811514,137,6885527.0
1708107533.6832051,138,602141.5625
1708107533.720591,144,608312.0
1708107554.3551645,145,8177884.0
1708107554.3627508,147,213021.796875
1708107554.377153,148,4140840.75
1708107554.3940387,151,314417.125
1708107575.1785436,158,494058.21875
1708107575.1822531,160,8196938.0
1708107575.1841176,161,6748558.0
1708107575.188197,163,303678.25
1708107575.1918066,165,6842851.5
1708107575.195488,167,283799.4375
1708107596.0845551,171,623233.9375
1708107596.086503,172,7829190.0
1708107596.0885572,173,10868706.0
1708107596.0945425,176,2541288.75
1708107596.0965457,177,3346323.25
1708107596.0985827,178,3300247.0
1708107596.100541,179,2094106.25
1708107616.6173913,181,7227991.0
1708107616.6459856,182,613753.4375
1708107616.7014785,185,2725513.5
1708107616.7045717,186,1055580.5
1708107616.7064126,187,2174927.25
1708107616.7117531,190,206135.515625
1708107616.7135282,191,1500717.375
1708107616.7305608,192,2193893.5
1708107637.7393541,193,6944344.0
1708107637.8988314,196,1404594.875
1708107638.0587487,199,1395983.375
1708107638.062135,200,170964.53125
1708107638.0671265,201,1252343.0
1708107638.095378,203,2152737.75
1708107638.1151597,204,854154.3125
1708107658.9484334,205,6757698.5
1708107658.9543643,206,241963.1875
1708107658.9663944,208,10955776.0
1708107658.9704137,210,472071.75
1708107658.9745512,212,6934121.0
1708107658.978345,214,93194.7578125
1708107659.001767,216,9336054.0
1708107679.9906332,217,6514553.0
1708107679.997999,219,1120648.5
1708107679.9999614,220,403285.4375
1708107680.0021036,221,3366937.0
1708107680.0041344,222,4803191.5
1708107680.0060294,223,1868785.5
1708107680.010022,225,1075503.625
1708107680.0121243,226,1665444.125
1708107701.154522,230,513407.15625
1708107701.1600182,233,9733572.0
1708107701.1654243,236,5495549.5
1708107701.1690989,238,1138173.625
1708107701.171058,239,274721.1875
1708107701.1882436,240,3938593.75
1708107721.8581214,242,1156878.25
1708107721.8840787,243,2127179.5
1708107721.9179008,245,4173891.0
1708107721.9198205,246,200433.5
1708107721.9216597,247,1241920.125
1708107721.9237485,248,3187949.0
1708107742.7999644,253,6070903.0
1708107742.8774943,254,2904065.25
1708107742.9261498,255,355790.0625
1708107743.0674992,258,1560802.25
1708107743.1026707,259,316305.0625
1708107743.130437,260,1287693.5
1708107743.138924,261,3544806.25
1708107743.14916,263,96301.4765625
1708107763.4368293,271,4571423.5
1708107763.4389029,272,3080227.25
1708107763.4449825,275,2863529.0
1708107763.4635544,276,263076.21875
1708107783.705319,277,6104626.5
