Wall time,Step,Value
1708098974.7879555,0,0.02666666731238365
1708098998.6214113,1,0.03333333507180214
1708099020.6524134,2,0.03333333507180214
1708099046.0025737,3,0.03999999910593033
1708099070.6629317,4,0.046666666865348816
1708099094.9842703,5,0.046666666865348816
1708099116.046673,6,0.0533333346247673
1708099141.3133826,7,0.0533333346247673
1708099166.12841,8,0.05999999865889549
1708099189.9066687,9,0.15333333611488342
1708099211.8939807,10,0.15333333611488342
1708099233.3745916,11,0.15333333611488342
1708099255.4953198,12,0.15333333611488342
1708099276.213622,13,0.15333333611488342
1708099297.7626834,14,0.15333333611488342
1708099319.9347746,15,0.1599999964237213
1708099341.1396372,16,0.1599999964237213
1708099362.5610268,17,0.1599999964237213
1708099384.7860613,18,0.1599999964237213
1708099406.1010203,19,0.1599999964237213
1708099427.610493,20,0.1599999964237213
1708099452.6334841,21,0.1599999964237213
1708099477.4666674,22,0.1599999964237213
1708099502.2807295,23,0.1599999964237213
1708099526.1437852,24,0.1599999964237213
1708099547.866761,25,0.1599999964237213
1708099570.212936,26,0.1599999964237213
1708099591.590322,27,0.1599999964237213
1708099613.6194348,28,0.1599999964237213
1708099638.948793,29,0.1599999964237213
1708099664.3264916,30,0.1599999964237213
1708099689.4752586,31,0.1599999964237213
1708099714.1131241,32,0.1599999964237213
1708099739.4961329,33,0.1599999964237213
1708099763.9373164,34,0.1599999964237213
1708099788.9363494,35,0.1666666716337204
1708099813.7338288,36,0.1666666716337204
1708099836.8428428,37,0.1666666716337204
1708099860.937891,38,0.1666666716337204
1708099884.8019826,39,0.1666666716337204
1708099908.8871772,40,0.1666666716337204
1708099933.8992965,41,0.1666666716337204
1708099958.9869287,42,0.1666666716337204
1708099983.7297947,43,0.1666666716337204
1708100007.3667772,44,0.1733333319425583
1708100030.6716352,45,0.1733333319425583
1708100053.1687834,46,0.1733333319425583
1708100076.5554128,47,0.1733333319425583
1708100100.0849898,48,0.1733333319425583
1708100124.2102044,49,0.1733333319425583
1708100149.1797428,50,0.1733333319425583
1708100173.9061387,51,0.1733333319425583
1708100199.042816,52,0.1733333319425583
1708100224.256443,53,0.1733333319425583
1708100248.9080262,54,0.1733333319425583
1708100273.4735477,55,0.1733333319425583
1708100297.4584944,56,0.1733333319425583
1708100321.6976202,57,0.1733333319425583
1708100345.2096097,58,0.1733333319425583
1708100369.0700004,59,0.1733333319425583
1708100393.9632337,60,0.1733333319425583
1708100418.432646,61,0.1733333319425583
1708100443.1910279,62,0.1733333319425583
1708100467.5863519,63,0.1733333319425583
1708100492.231016,64,0.1733333319425583
1708100516.7141504,65,0.1733333319425583
1708100540.5244226,66,0.1733333319425583
1708100564.4108975,67,0.1733333319425583
1708100588.705087,68,0.1733333319425583
1708100612.910715,69,0.1733333319425583
1708100637.2046454,70,0.1733333319425583
1708100660.8805494,71,0.1733333319425583
1708100684.4419982,72,0.1733333319425583
1708100709.0820649,73,0.1733333319425583
1708100733.3306026,74,0.1733333319425583
1708100757.5764618,75,0.1733333319425583
1708100781.489234,76,0.1733333319425583
1708100804.8267813,77,0.1733333319425583
1708100829.0075226,78,0.1733333319425583
1708100852.8506486,79,0.1733333319425583
1708100876.6936483,80,0.1733333319425583
1708100900.381901,81,0.1733333319425583
1708100924.220236,82,0.1733333319425583
1708100948.4594278,83,0.1733333319425583
1708100972.68825,84,0.1733333319425583
1708100996.3218806,85,0.1733333319425583
1708101019.8184938,86,0.1733333319425583
1708101044.7492285,87,0.1733333319425583
1708101069.4403076,88,0.1733333319425583
1708101093.611969,89,0.1733333319425583
1708101117.7029865,90,0.1733333319425583
1708101141.292953,91,0.1733333319425583
1708101165.0085235,92,0.1733333319425583
1708101190.161046,93,0.1733333319425583
1708101215.3265812,94,0.1733333319425583
1708101239.859537,95,0.1733333319425583
1708101264.7827535,96,0.1733333319425583
1708101289.015932,97,0.1733333319425583
1708101313.6677415,98,0.1733333319425583
1708101338.2283406,99,0.1733333319425583
1708101362.6323905,100,0.1733333319425583
1708101387.3720815,101,0.1733333319425583
1708101411.4842706,102,0.1733333319425583
1708101435.6222222,103,0.1733333319425583
1708101460.453384,104,0.1733333319425583
1708101485.18901,105,0.1733333319425583
1708101509.81539,106,0.1733333319425583
1708101534.6985197,107,0.1733333319425583
1708101559.2197242,108,0.1733333319425583
1708101583.8513167,109,0.1733333319425583
1708101608.3918998,110,0.1733333319425583
1708101632.7993736,111,0.1733333319425583
1708101656.681462,112,0.1733333319425583
1708101680.6083336,113,0.1733333319425583
1708101704.931781,114,0.1733333319425583
1708101728.8466635,115,0.1733333319425583
1708101752.5067348,116,0.1733333319425583
1708101773.0822334,117,0.1733333319425583
1708101793.9536333,118,0.1733333319425583
1708101815.783538,119,0.1733333319425583
1708101837.5230172,120,0.1733333319425583
1708101857.7276711,121,0.1733333319425583
1708101878.2257605,122,0.1733333319425583
1708101898.722321,123,0.1733333319425583
1708101919.8381503,124,0.1733333319425583
1708101940.7318525,125,0.1733333319425583
1708101961.822552,126,0.1733333319425583
1708101982.2596004,127,0.1733333319425583
1708102002.786627,128,0.1733333319425583
1708102022.988331,129,0.1733333319425583
1708102043.1941497,130,0.1733333319425583
1708102063.4721248,131,0.1733333319425583
1708102085.0210004,132,0.1733333319425583
1708102109.0182297,133,0.1733333319425583
1708102133.0660043,134,0.1733333319425583
1708102156.55265,135,0.1733333319425583
1708102180.5955834,136,0.1733333319425583
1708102205.3056746,137,0.1733333319425583
1708102230.0371287,138,0.1733333319425583
