Wall time,Step,Value
1708098974.7915857,0,399.2266540527344
1708098998.6215224,1,433.49334716796875
1708099020.6524942,2,465.3999938964844
1708099046.0026562,3,503.3333435058594
1708099070.6630182,4,538.4199829101562
1708099094.9843807,5,571.780029296875
1708099116.0467572,6,602.306640625
1708099141.3134675,7,638.9266967773438
1708099166.12849,8,675.1533203125
1708099189.906748,9,708.5599975585938
1708099211.8940635,10,739.3466796875
1708099233.3746762,11,767.5533447265625
1708099255.4957645,12,798.9000244140625
1708099276.213799,13,827.5333251953125
1708099297.7627652,14,855.586669921875
1708099319.9348562,15,886.586669921875
1708099341.1397586,16,916.1266479492188
1708099362.561113,17,945.02001953125
1708099384.7861438,18,974.3599853515625
1708099406.1011024,19,1005.7999877929688
1708099427.610575,20,1034.32666015625
1708099452.6335642,21,1070.5799560546875
1708099477.4667904,22,1106.8533935546875
1708099502.2808173,23,1142.9932861328125
1708099526.1438658,24,1177.7667236328125
1708099547.8668432,25,1207.066650390625
1708099570.2130167,26,1238.17333984375
1708099591.590418,27,1268.06005859375
1708099613.6195648,28,1297.5933837890625
1708099638.9489238,29,1334.106689453125
1708099664.326642,30,1370.699951171875
1708099689.4767675,31,1407.6400146484375
1708099714.1132457,32,1444.1666259765625
1708099739.496268,33,1481.3466796875
1708099763.937427,34,1517.973388671875
1708099788.9364474,35,1554.526611328125
1708099813.733977,36,1590.893310546875
1708099836.8429291,37,1624.5999755859375
1708099860.93809,38,1660.5133056640625
1708099884.8021035,39,1693.4266357421875
1708099908.8872626,40,1729.373291015625
1708099933.899416,41,1766.17333984375
1708099958.9870596,42,1803.5
1708099983.7298782,43,1840.2667236328125
1708100007.3668678,44,1875.3199462890625
1708100030.6717193,45,1908.78662109375
1708100053.1688693,46,1941.0333251953125
1708100076.5555317,47,1975.7332763671875
1708100100.085119,48,2008.6666259765625
1708100124.2103064,49,2044.63330078125
1708100149.1798747,50,2081.580078125
1708100173.906236,51,2117.7734375
1708100199.0428994,52,2155.106689453125
1708100224.2565522,53,2192.13330078125
1708100248.9081392,54,2228.78662109375
1708100273.4736388,55,2265.4267578125
1708100297.458633,56,2301.56005859375
1708100321.697785,57,2338.139892578125
1708100345.2097301,58,2371.306640625
1708100369.0700867,59,2407.126708984375
1708100393.9633472,60,2443.820068359375
1708100418.4327304,61,2480.17333984375
1708100443.1911159,62,2517.193359375
1708100467.5864382,63,2553.606689453125
1708100492.2311056,64,2590.013427734375
1708100516.7146297,65,2625.006591796875
1708100540.5245466,66,2658.973388671875
1708100564.410986,67,2694.606689453125
1708100588.7051964,68,2730.486572265625
1708100612.9107993,69,2766.179931640625
1708100637.2047334,70,2801.9267578125
1708100660.8806493,71,2834.97998046875
1708100684.4420867,72,2869.206787109375
1708100709.082151,73,2904.933349609375
1708100733.330689,74,2940.966552734375
1708100757.5766313,75,2977.02001953125
1708100781.4893153,76,3011.219970703125
1708100804.826869,77,3044.40673828125
1708100829.0076516,78,3080.280029296875
1708100852.850735,79,3115.5
1708100876.6941419,80,3149.5732421875
1708100900.381987,81,3184.06005859375
1708100924.2203298,82,3218.973388671875
1708100948.4595547,83,3255.47998046875
1708100972.688337,84,3291.60009765625
1708100996.3219893,85,3324.800048828125
1708101019.8185968,86,3358.71337890625
1708101044.7493117,87,3394.833251953125
1708101069.4403908,88,3430.74658203125
1708101093.6120546,89,3466.5400390625
1708101117.7030742,90,3502.44677734375
1708101141.2930365,91,3535.186767578125
1708101165.0086124,92,3570.106689453125
1708101190.1611562,93,3606.43994140625
1708101215.32671,94,3642.7265625
1708101239.859625,95,3678.5732421875
1708101264.7828412,96,3715.239990234375
1708101289.0160184,97,3751.05322265625
1708101313.667849,98,3787.206787109375
1708101338.2284572,99,3823.086669921875
1708101362.6325088,100,3858.833251953125
1708101387.3721623,101,3893.993408203125
1708101411.484378,102,3928.533447265625
1708101435.6223335,103,3963.94677734375
1708101460.4534729,104,4000.413330078125
1708101485.1891024,105,4036.186767578125
1708101509.8154736,106,4072.679931640625
1708101534.6986022,107,4108.89990234375
1708101559.2198122,108,4145.046875
1708101583.8514094,109,4181.33984375
1708101608.3920414,110,4217.32666015625
1708101632.7994745,111,4253.10009765625
1708101656.681573,112,4287.32666015625
1708101680.6084213,113,4321.8466796875
1708101704.931862,114,4357.36669921875
1708101728.84675,115,4392.56005859375
1708101752.5068173,116,4426.17333984375
1708101773.0825083,117,4454.8466796875
1708101793.9537404,118,4483.2734375
1708101815.783622,119,4512.1533203125
1708101837.5231748,120,4542.3798828125
1708101857.728103,121,4569.66650390625
1708101878.2261379,122,4597.453125
1708101898.7227335,123,4625.85986328125
1708101919.8382347,124,4654.36669921875
1708101940.7319407,125,4682.0068359375
1708101961.8226383,126,4710.14013671875
1708101982.2596922,127,4738.0732421875
1708102002.786846,128,4767.31982421875
1708102022.9888098,129,4795.0400390625
1708102043.1942365,130,4823.06689453125
1708102063.4722078,131,4850.9931640625
1708102085.0210867,132,4880.33984375
1708102109.018361,133,4915.79345703125
1708102133.0660932,134,4950.55322265625
1708102156.5527644,135,4984.1201171875
1708102180.5956666,136,5019.759765625
1708102205.3057585,137,5056.05322265625
1708102230.0372114,138,5092.4267578125
