Wall time,Step,Value
1708119411.4029756,0,29.0
1708119428.1503983,1,73.0
1708119444.893926,2,115.0
1708119461.7070985,3,160.0
1708119478.4382288,4,202.0
1708119495.0847986,5,239.0
1708119511.650982,6,275.0
1708119528.16485,7,307.0
1708119544.6096284,8,337.0
1708119561.0834658,9,369.0
1708119577.6095593,10,405.0
1708119594.2698934,11,442.0
1708119610.8344827,12,476.0
1708119627.59093,13,517.0
1708119644.1437862,14,552.0
1708119660.8316183,15,591.0
1708119677.5094206,16,629.0
1708119694.0112433,17,663.0
1708119710.583884,18,698.0
1708119727.400895,19,742.0
1708119743.9733841,20,779.0
1708119760.7530904,21,821.0
1708119777.3886409,22,860.0
1708119793.9516337,23,895.0
1708119810.5448809,24,931.0
1708119827.209544,25,971.0
1708119843.942278,26,1013.0
1708119860.7027488,27,1055.0
1708119877.4284396,28,1095.0
1708119893.9902992,29,1133.0
1708119910.6725047,30,1173.0
1708119927.445486,31,1217.0
1708119944.1469262,32,1259.0
1708119960.9785342,33,1303.0
1708119977.714016,34,1344.0
1708119994.382647,35,1384.0
1708120011.263825,36,1427.0
1708120028.0173535,37,1469.0
1708120044.7146852,38,1509.0
1708120061.4326794,39,1548.0
1708120078.2183282,40,1591.0
1708120094.9117234,41,1630.0
1708120111.7508233,42,1675.0
1708120128.5822062,43,1720.0
1708120145.2939682,44,1759.0
1708120162.0718348,45,1802.0
1708120178.8484845,46,1846.0
1708120195.597708,47,1888.0
1708120212.365168,48,1931.0
1708120229.1026173,49,1973.0
1708120245.9878914,50,2017.0
1708120262.595561,51,2054.0
1708120279.4087117,52,2098.0
1708120296.044413,53,2135.0
1708120312.7897215,54,2179.0
1708120329.5981975,55,2223.0
1708120346.5086677,56,2265.0
1708120363.2799623,57,2308.0
1708120379.9507232,58,2345.0
1708120396.748929,59,2389.0
1708120413.352612,60,2426.0
1708120430.2104328,61,2470.0
1708120447.065376,62,2514.0
1708120463.8609216,63,2557.0
1708120480.6678483,64,2599.0
1708120497.4594002,65,2641.0
1708120514.279967,66,2686.0
1708120531.0630538,67,2731.0
1708120547.807647,68,2773.0
1708120564.5364518,69,2815.0
1708120581.3221688,70,2859.0
1708120598.1096153,71,2904.0
1708120614.8440084,72,2946.0
1708120631.5706115,73,2988.0
1708120648.2998383,74,3029.0
1708120664.9990509,75,3071.0
1708120681.8656166,76,3115.0
1708120698.7229526,77,3159.0
1708120715.3578634,78,3198.0
1708120732.2150576,79,3242.0
1708120748.9730546,80,3286.0
1708120765.736215,81,3328.0
1708120782.4872217,82,3370.0
1708120799.2276852,83,3414.0
1708120816.052018,84,3458.0
1708120832.640809,85,3495.0
1708120849.4181716,86,3540.0
1708120866.2417233,87,3584.0
1708120883.06159,88,3627.0
1708120899.811997,89,3669.0
1708120916.6843276,90,3713.0
1708120933.3917265,91,3754.0
1708120950.1000602,92,3795.0
1708120966.9256513,93,3839.0
1708120983.6937714,94,3883.0
1708121000.4250114,95,3924.0
1708121017.1830306,96,3962.0
1708121033.9216454,97,4005.0
1708121050.7650132,98,4048.0
1708121067.5872927,99,4092.0
1708121084.3996348,100,4136.0
1708121101.1499293,101,4178.0
1708121117.8714767,102,4220.0
1708121134.6506758,103,4264.0
1708121151.4211714,104,4307.0
1708121168.191526,105,4347.0
1708121185.0056973,106,4391.0
1708121201.7849598,107,4435.0
1708121218.5639246,108,4479.0
1708121235.3264868,109,4522.0
1708121252.1197805,110,4567.0
1708121268.835481,111,4609.0
1708121285.60419,112,4654.0
1708121302.4625354,113,4697.0
1708121319.2544646,114,4740.0
1708121336.114075,115,4785.0
1708121352.8283885,116,4826.0
1708121369.6305377,117,4869.0
1708121386.390896,118,4913.0
1708121403.1280358,119,4956.0
1708121419.923051,120,5001.0
1708121436.703049,121,5044.0
1708121453.5762293,122,5089.0
1708121470.3288374,123,5133.0
1708121487.186261,124,5176.0
1708121503.981903,125,5220.0
1708121520.759917,126,5264.0
1708121537.622245,127,5306.0
1708121554.4620082,128,5351.0
1708121571.2505562,129,5393.0
1708121588.093982,130,5436.0
1708121604.832918,131,5479.0
1708121621.6534898,132,5522.0
1708121638.3393507,133,5563.0
1708121655.1546042,134,5607.0
1708121672.1442847,135,5652.0
1708121688.93032,136,5695.0
1708121705.720402,137,5738.0
1708121722.5266383,138,5782.0
1708121739.3180008,139,5826.0
1708121756.0895376,140,5870.0
1708121772.8337889,141,5912.0
1708121789.7064586,142,5957.0
1708121806.486893,143,6001.0
1708121823.3843129,144,6046.0
1708121840.1880713,145,6091.0
1708121856.9988022,146,6135.0
1708121873.8676796,147,6179.0
1708121890.6571567,148,6222.0
1708121907.45749,149,6266.0
1708121924.237686,150,6310.0
1708121941.0609362,151,6355.0
1708121957.8129804,152,6396.0
1708121974.5591402,153,6440.0
1708121991.3133972,154,6483.0
1708122008.2475944,155,6527.0
1708122025.009525,156,6569.0
1708122041.8081658,157,6611.0
1708122058.6348944,158,6654.0
1708122075.3792655,159,6697.0
