Wall time,Step,Value
1708115203.2567537,0,2800.0
1708115221.5498924,1,2987.0
1708115238.701857,2,3129.0
1708115256.6697762,3,3316.0
1708115274.6261885,4,3505.0
1708115292.6756375,5,3647.0
1708115310.069942,6,3788.0
1708115328.3637075,7,3975.0
1708115346.7866185,8,4163.0
1708115364.9556725,9,4348.0
1708115383.1882696,10,4487.0
1708115401.5298827,11,4670.0
1708115419.7459872,12,4809.0
1708115437.8545947,13,4992.0
1708115455.9754348,14,5176.0
1708115474.0847204,15,5315.0
1708115492.2378988,16,5498.0
1708115510.387428,17,5637.0
1708115528.6165457,18,5821.0
1708115546.745859,19,6004.0
1708115564.7946615,20,6188.0
1708115582.716181,21,6327.0
1708115600.8257213,22,6510.0
1708115618.7875288,23,6649.0
1708115636.9572492,24,6832.0
1708115655.0480967,25,7016.0
1708115673.0798442,26,7155.0
1708115691.1264396,27,7338.0
1708115709.1840374,28,7477.0
1708115727.3997657,29,7660.0
1708115745.4673226,30,7844.0
1708115763.6903656,31,7983.0
1708115782.1453059,32,8166.0
1708115800.2646601,33,8305.0
1708115818.4358206,34,8488.0
1708115836.676834,35,8672.0
1708115854.8902924,36,8811.0
1708115873.1238596,37,8995.0
1708115891.3017166,38,9178.0
1708115909.4010768,39,9317.0
1708115927.3138902,40,9500.0
1708115945.423284,41,9684.0
1708115963.5313647,42,9826.0
1708115981.767357,43,10013.0
1708115999.9600933,44,10155.0
1708116018.1335893,45,10342.0
1708116036.3693519,46,10530.0
1708116054.4975977,47,10672.0
1708116072.7714026,48,10859.0
1708116090.9755864,49,11001.0
1708116109.1023428,50,11188.0
1708116127.4521916,51,11376.0
1708116145.5672305,52,11564.0
1708116163.695042,53,11706.0
1708116181.867941,54,11893.0
1708116200.0701349,55,12035.0
1708116218.1791472,56,12222.0
1708116236.3959436,57,12410.0
1708116254.4479728,58,12552.0
1708116272.7021682,59,12739.0
1708116290.7256117,60,12881.0
1708116308.7670174,61,13068.0
1708116326.8736722,62,13256.0
1708116344.9362063,63,13398.0
1708116363.247467,64,13585.0
1708116381.3273518,65,13727.0
1708116399.3612382,66,13914.0
1708116417.5699968,67,14102.0
1708116435.5603604,68,14244.0
1708116453.6022315,69,14431.0
1708116471.59861,70,14619.0
1708116489.5820124,71,14760.0
1708116507.958955,72,14948.0
1708116526.1392663,73,15136.0
1708116544.3613176,74,15278.0
1708116562.6338158,75,15465.0
1708116580.8499403,76,15607.0
1708116598.9732754,77,15794.0
1708116617.2072136,78,15982.0
1708116635.4665055,79,16124.0
1708116653.6995735,80,16311.0
1708116672.0771673,81,16499.0
1708116690.2411482,82,16641.0
1708116708.5476656,83,16828.0
1708116726.7478647,84,17016.0
1708116744.7888925,85,17158.0
1708116763.074591,86,17345.0
1708116781.0394893,87,17487.0
1708116798.967887,88,17674.0
1708116817.1765652,89,17862.0
1708116835.2473712,90,18004.0
1708116853.5567384,91,18191.0
1708116871.7665775,92,18333.0
1708116889.9394686,93,18520.0
1708116908.3734708,94,18708.0
1708116926.5614953,95,18896.0
1708116944.738053,96,19038.0
1708116963.2137477,97,19225.0
1708116981.4397018,98,19367.0
1708116999.5747733,99,19554.0
1708117017.9338503,100,19742.0
1708117036.075864,101,19884.0
1708117054.226669,102,20071.0
1708117072.3546038,103,20259.0
1708117090.3695402,104,20401.0
1708117108.5955477,105,20588.0
1708117126.737733,106,20776.0
1708117144.8134842,107,20918.0
1708117163.0393925,108,21105.0
1708117181.2316911,109,21247.0
1708117199.3969865,110,21434.0
1708117217.6098137,111,21622.0
1708117235.7436428,112,21764.0
1708117254.0743773,113,21951.0
1708117272.3269742,114,22093.0
1708117290.4955912,115,22281.0
1708117308.7754982,116,22468.0
1708117326.884514,117,22656.0
1708117345.0460167,118,22798.0
1708117363.2285452,119,22985.0
1708117381.4085977,120,23127.0
1708117399.5178745,121,23314.0
1708117417.7649057,122,23502.0
1708117435.8518546,123,23644.0
1708117454.246799,124,23831.0
1708117472.4301062,125,23973.0
1708117490.5681472,126,24160.0
1708117508.9656186,127,24348.0
1708117527.2138095,128,24536.0
1708117545.331193,129,24678.0
1708117563.5721774,130,24865.0
1708117581.6880515,131,25007.0
1708117599.8637881,132,25194.0
1708117617.9996018,133,25382.0
1708117636.0583992,134,25524.0
1708117654.39183,135,25711.0
1708117672.638379,136,25853.0
1708117690.7421165,137,26040.0
1708117709.1353848,138,26228.0
1708117727.2092755,139,26416.0
1708117745.3537483,140,26558.0
1708117763.580967,141,26745.0
1708117781.7579458,142,26887.0
1708117800.1660335,143,27074.0
1708117818.271252,144,27262.0
1708117836.45525,145,27404.0
1708117854.774697,146,27591.0
1708117873.0304914,147,27779.0
1708117891.1655774,148,27921.0
1708117909.427626,149,28108.0
1708117927.537661,150,28296.0
1708117945.4612596,151,28438.0
1708117963.2269955,152,28625.0
1708117980.984303,153,28766.0
1708117998.6658611,154,28954.0
1708118016.527106,155,29096.0
1708118034.4953923,156,29283.0
1708118052.4754002,157,29425.0
1708118070.1106265,158,29612.0
1708118087.2236583,159,29754.0
1708118105.2753215,160,29941.0
1708118123.3885663,161,30129.0
1708118141.4296088,162,30271.0
1708118159.6395583,163,30458.0
1708118177.7413464,164,30646.0
1708118195.7788463,165,30788.0
1708118213.8161569,166,30975.0
1708118231.8550618,167,31117.0
1708118249.991167,168,31304.0
1708118268.0714445,169,31492.0
1708118286.0971057,170,31634.0
1708118304.242154,171,31821.0
1708118322.2579877,172,31963.0
1708118340.2590184,173,32150.0
1708118358.3263164,174,32338.0
1708118376.2390814,175,32480.0
1708118394.5412304,176,32667.0
1708118412.517763,177,32809.0
1708118430.3079982,178,32996.0
1708118448.1016622,179,33184.0
1708118465.839933,180,33326.0
1708118483.5080652,181,33467.0
