Wall time,Step,Value
1708111332.157411,0,0.0
1708111350.8857098,1,0.0
1708111369.0660481,2,0.0
1708111386.7464871,3,0.0
1708111406.146491,4,0.0
1708111425.6101394,5,0.0
1708111444.482785,6,0.0
1708111464.163302,7,0.0
1708111483.6502638,8,0.0
1708111503.110085,9,0.0
1708111522.4185703,10,0.0
1708111541.6911976,11,0.0
1708111561.1114607,12,0.0
1708111580.6659157,13,0.0
1708111600.0845525,14,0.0
1708111619.1475143,15,0.0
1708111638.0086613,16,0.0
1708111657.360209,17,0.0
1708111676.6021855,18,0.0
1708111696.1805995,19,0.0
1708111715.94096,20,0.0
1708111735.7540543,21,0.0
1708111754.82847,22,0.0
1708111773.9916992,23,0.0
1708111793.2695303,24,0.0
1708111812.2083163,25,0.0
1708111831.374573,26,0.0
1708111850.8427358,27,0.0
1708111869.6942475,28,0.0
1708111888.1854734,29,0.0
1708111907.2763202,30,0.0
1708111925.7142868,31,0.0
1708111944.9297175,32,0.0
1708111963.5018387,33,0.0
1708111982.6796603,34,0.0
1708112001.7074888,35,0.0
1708112021.1242185,36,0.0
1708112040.640818,37,0.0
1708112059.7437344,38,0.0
1708112078.7716634,39,0.0
1708112097.7457628,40,0.0
1708112116.8031178,41,0.0
1708112136.3320796,42,0.0
1708112155.9894876,43,0.0
1708112175.3768191,44,0.0
1708112194.941799,45,0.0
1708112214.307352,46,0.0
1708112233.6781025,47,0.0
1708112253.082254,48,0.0
1708112272.4444141,49,0.0
1708112291.1223743,50,0.0
1708112309.962305,51,0.0
1708112327.9589105,52,0.0
1708112346.534909,53,0.0
1708112365.7652636,54,0.0
1708112385.1108088,55,0.0
1708112403.8542626,56,0.0
1708112422.4118798,57,0.0
1708112441.0833702,58,0.0
1708112459.7848089,59,0.0
1708112478.6760032,60,0.0
1708112497.5079544,61,0.0
1708112517.0122175,62,0.0
1708112536.6980107,63,0.0
1708112556.4445338,64,0.0
1708112575.9047596,65,0.0
1708112595.616925,66,0.0
1708112615.296557,67,0.0
1708112634.7073157,68,0.0
1708112654.084331,69,0.0
1708112673.69354,70,0.0
1708112693.1582358,71,0.0
1708112712.7052948,72,0.0
1708112732.4625611,73,0.0
1708112752.1705346,74,0.0
1708112772.1675527,75,0.0
1708112792.0918746,76,0.0
1708112812.0021455,77,0.0
1708112831.8009074,78,0.0
1708112851.3697953,79,0.0
1708112870.9555533,80,0.0
1708112890.4020636,81,0.0
1708112909.7142057,82,0.0
1708112929.0351155,83,0.0
1708112948.3146622,84,0.0
1708112967.5991457,85,0.0
1708112987.2464478,86,0.0
1708113006.920395,87,0.0
1708113026.3608122,88,0.0
1708113045.8165672,89,0.0
1708113065.1585698,90,0.0
1708113084.4178908,91,0.0
1708113103.7704263,92,0.0
1708113122.9847908,93,0.0
1708113142.4039307,94,0.0
1708113162.1001754,95,0.0
1708113181.3576264,96,0.0
1708113200.860936,97,0.0
1708113220.2713196,98,0.0
1708113239.6821346,99,0.0
1708113259.1233177,100,0.0
1708113278.5223012,101,0.0
1708113298.003989,102,0.0
1708113317.7402666,103,0.0
1708113337.6224241,104,0.0
1708113357.0540593,105,0.0
1708113376.1312814,106,0.0
1708113395.1785781,107,0.0
1708113414.1534493,108,0.0
1708113433.1145515,109,0.0
1708113452.7785702,110,0.0
1708113472.4669397,111,0.0
1708113491.9426198,112,0.0
1708113511.4140298,113,0.0
1708113530.8382223,114,0.0
1708113550.238236,115,0.0
1708113569.5910652,116,0.0
1708113588.9026837,117,0.0
1708113608.2173676,118,0.0
1708113627.9667664,119,0.0
1708113647.748673,120,0.0
1708113667.1827977,121,0.0
1708113686.6421673,122,0.0
1708113705.9940078,123,0.0
1708113725.3707197,124,0.0
1708113744.8039434,125,0.0
1708113764.0467052,126,0.0
1708113783.3255324,127,0.0
1708113803.1816883,128,0.0
1708113822.8664718,129,0.0
1708113842.1882744,130,0.0
1708113861.6194062,131,0.0
1708113881.0577116,132,0.0
1708113900.4551084,133,0.0
1708113919.8651912,134,0.0
1708113939.146545,135,0.0
1708113958.640487,136,0.0
1708113978.4344592,137,0.0
1708113998.359162,138,0.0
1708114018.2201164,139,0.0
1708114038.0650287,140,0.0
1708114057.4339561,141,0.0
1708114076.9306347,142,0.0
1708114096.445286,143,0.0
1708114115.7670724,144,0.0
1708114135.1583595,145,0.0
1708114154.4148767,146,0.0
1708114173.92602,147,0.0
1708114193.526231,148,0.0
1708114213.174828,149,0.0
1708114232.3901656,150,0.0
1708114251.889454,151,0.0
1708114271.1473026,152,0.0
1708114290.4842942,153,0.0
1708114309.8514075,154,0.0
1708114329.1775131,155,0.0
1708114348.7766714,156,0.0
1708114368.3663514,157,0.0
1708114387.6691685,158,0.0
1708114407.0500793,159,0.0
1708114426.1701393,160,0.0
1708114445.3562741,161,0.0
1708114464.5002668,162,0.0
1708114483.9759066,163,0.0
1708114503.638173,164,0.0
1708114522.9323623,165,0.0
1708114542.348458,166,0.0
1708114561.7105408,167,0.0
1708114581.0124776,168,0.0
1708114600.3160496,169,0.0
