Wall time,Step,Value
1712321515.3273997,0,324.24578857421875
1712321570.0722613,1,352.0168762207031
1712321625.2839305,2,379.71600341796875
1712321680.7232525,3,407.6475524902344
1712321735.8673048,4,435.18756103515625
1712321791.0035484,5,462.8204345703125
1712321846.0792933,6,490.6351013183594
1712321901.1196141,7,518.5706787109375
1712321956.331779,8,545.8915405273438
1712322011.4578316,9,573.5924682617188
1712322066.6140828,10,601.3511352539062
1712322121.74737,11,629.1746826171875
1712322176.820684,12,656.4688720703125
1712322232.0043662,13,684.2706909179688
1712322287.3592854,14,711.9320068359375
1712322342.6929808,15,739.7160034179688
1712322397.7239683,16,767.3839721679688
1712322453.115052,17,794.9600219726562
1712322509.7479842,18,823.1453247070312
1712322565.9085064,19,851.2724609375
1712322621.0657337,20,879.1995849609375
1712322676.2888956,21,906.5217895507812
1712322731.4861493,22,934.3151245117188
1712322786.885292,23,962.1244506835938
1712322841.9748046,24,989.725341796875
1712322897.339248,25,1017.5999755859375
1712322952.5939102,26,1045.390625
1712323007.887999,27,1072.7852783203125
1712323063.254547,28,1100.904052734375
1712323118.4667702,29,1128.705322265625
1712323173.872574,30,1156.423095703125
1712323229.6984184,31,1184.2470703125
1712323286.2248769,32,1212.5244140625
1712323341.5402515,33,1240.185302734375
1712323396.7210612,34,1268.0159912109375
1712323451.928421,35,1295.3572998046875
1712323507.0917838,36,1322.869384765625
1712323562.351187,37,1350.5933837890625
1712323617.628944,38,1378.40087890625
1712323672.7656345,39,1405.9102783203125
1712323727.9320118,40,1433.564453125
1712323783.0544574,41,1460.898681640625
1712323838.4032576,42,1488.6773681640625
1712323893.570542,43,1516.33154296875
1712323948.9172122,44,1544.2578125
1712324004.283758,45,1572.00537109375
1712324059.4687562,46,1599.423583984375
1712324115.6745868,47,1627.5799560546875
1712324172.224429,48,1655.5609130859375
1712324227.5337985,49,1683.3204345703125
1712324282.8331032,50,1711.5203857421875
1712324338.0551531,51,1739.12353515625
1712324393.4153342,52,1766.5826416015625
1712324448.8580809,53,1794.398193359375
1712324504.1307194,54,1822.279052734375
1712324559.2043674,55,1849.9893798828125
1712324614.5680456,56,1877.7244873046875
1712324669.664423,57,1905.40087890625
1712324724.9551966,58,1932.7684326171875
