Wall time,Step,Value
1712321485.1307786,21,16509.466796875
1712321486.1582398,22,16574.07421875
1712321487.175548,23,16635.880859375
1712321488.182595,24,16654.48046875
1712321489.1896393,25,16668.353515625
1712321490.1930416,26,16689.7734375
1712321491.1965659,27,16702.080078125
1712321492.1997209,28,16719.392578125
1712321493.2054815,29,16732.005859375
1712321494.2107432,30,16754.939453125
1712321495.2261343,31,16769.25390625
1712321496.2302053,32,16781.560546875
1712321497.2335713,33,16793.826171875
1712321498.2397969,34,16806.552734375
1712321499.244683,35,16821.873046875
1712321539.943237,75,17524.373046875
1712321540.9472692,76,17583.70703125
1712321541.953986,77,17624.732421875
1712321542.958485,78,17631.353515625
1712321543.964528,79,17657.4609375
1712321544.967955,80,17673.59375
1712321545.9716144,81,17690.759765625
1712321546.9741144,82,17700.47265625
1712321547.9781747,83,17720.79296875
1712321548.9830422,84,17733.70703125
1712321549.9863923,85,17758.373046875
1712321550.9899166,86,17767.19921875
1712321551.9931276,87,17783.380859375
1712321552.9962535,88,17794.48046875
1712321554.0012739,89,17815.80078125
1712321595.140161,131,18522.193359375
1712321596.1462502,132,18571.052734375
1712321597.1494477,133,18612.90625
1712321598.1535842,134,18634.619140625
1712321599.15816,135,18649.732421875
1712321600.1614845,136,18674.380859375
1712321601.1648405,137,18684.173828125
1712321602.1682744,138,18696.640625
1712321603.173544,139,18704.619140625
1712321604.1773877,140,18725.533203125
1712321605.180719,141,18742.52734375
1712321606.184348,142,18756.02734375
1712321607.1877592,143,18767.83984375
1712321608.1935744,144,18786.69921875
1712321609.1981924,145,18799.626953125
1712321650.5747304,186,19500.3125
1712321651.5821612,187,19568.900390625
1712321652.5854793,188,19600.93359375
1712321653.5894165,189,19615.994140625
1712321654.5941393,190,19632.693359375
1712321655.600046,191,19654.447265625
1712321656.6046333,192,19668.419921875
1712321657.6086733,193,19682.787109375
1712321658.6144056,194,19695.359375
1712321659.6188593,195,19712.66015625
1712321660.6234622,196,19726.83984375
1712321661.6259823,197,19742.7265625
1712321662.6292617,198,19750.673828125
1712321663.6348546,199,19766.654296875
1712321664.640934,200,19790.994140625
1712321705.7258906,241,20477.193359375
1712321706.7316468,242,20551.494140625
1712321707.7352622,243,20582.646484375
1712321708.7413726,244,20595.3671875
1712321709.7461689,245,20615.3203125
1712321710.750328,246,20628.61328125
1712321711.7541993,247,20642.240234375
1712321712.7584596,248,20649.220703125
1712321713.7625608,249,20666.40625
1712321714.7659225,250,20684.70703125
1712321715.7707932,251,20703.98046875
1712321716.7743042,252,20715.939453125
1712321717.7783074,253,20731.57421875
1712321718.7818055,254,20746.486328125
1712321719.7864888,255,20765.154296875
1712321760.8469036,296,21455.279296875
1712321761.8520236,297,21525.8203125
1712321762.8554,298,21563.79296875
1712321763.858528,299,21585.673828125
1712321764.8620956,300,21606.732421875
1712321765.8751132,301,21624.107421875
1712321766.8779783,302,21630.6796875
1712321767.8814726,303,21641.140625
1712321768.8851788,304,21654.505859375
1712321769.8893435,305,21674.80078125
1712321770.8929408,306,21687.75390625
1712321771.8980236,307,21702.966796875
1712321772.9028158,308,21711.720703125
1712321773.9073086,309,21728.92578125
1712321774.910119,310,21745.09375
1712321815.9260507,351,22446.88671875
1712321816.930675,352,22517.552734375
1712321817.9349859,353,22543.013671875
