Wall time,Step,Value
1710108465.2613182,0,2817.533203125
1710108581.7282238,1,562.9884643554688
1710108697.379881,2,521.2615966796875
1710108813.1790416,3,511.6624755859375
1710108930.762425,4,517.1735229492188
1710109047.4667015,5,508.9075927734375
1710109165.2634196,6,525.3934326171875
1710109282.0034401,7,554.236572265625
1710109399.275916,8,521.1426391601562
1710109514.260175,9,578.3174438476562
1710109630.252844,10,610.48583984375
1710109747.4200892,11,511.5674133300781
1710109864.8532345,12,514.9921875
1710109982.2522047,13,548.2215576171875
1710110098.2764974,14,500.8364562988281
1710110214.921217,15,534.0287475585938
1710110330.5431192,16,542.2322998046875
1710110446.8071632,17,578.8817749023438
1710110564.0109994,18,532.6281127929688
1710110679.398693,19,503.7538146972656
1710110792.8039336,20,602.1630249023438
1710110875.5426698,21,569.0647583007812
1710110957.2899766,22,539.8082885742188
1710111038.914961,23,549.2988891601562
1710111119.0559597,24,544.1250610351562
1710111199.4672008,25,538.6542358398438
1710111279.2469027,26,536.9310302734375
1710111359.1814806,27,558.862548828125
1710111439.7475905,28,579.4430541992188
1710111519.290644,29,542.9046630859375
1710111602.872444,30,553.1157836914062
1710111684.206925,31,544.3787231445312
