Wall time,Step,Value
1710108465.2260835,0,4989572.5
1710108581.7137263,1,4987218.5
1710108697.3700044,2,4984931.5
1710108813.170609,3,4982667.0
1710108930.7522075,4,4980358.0
1710109047.4570851,5,4978060.5
1710109165.255904,6,4975728.5
1710109281.998833,7,4973453.0
1710109399.265432,8,4971094.0
1710109514.2547374,9,4968826.0
1710109630.2465901,10,4966517.0
1710109747.4127066,11,4964265.5
1710109864.8461623,12,4961954.5
1710109982.247762,13,4959628.0
1710110098.2613037,14,4957330.5
1710110214.9153948,15,4955041.5
1710110330.5361702,16,4952738.5
1710110446.798939,17,4950403.5
1710110564.0024362,18,4948111.0
1710110679.3832514,19,4945822.0
1710110792.7896,20,4943420.0
1710110875.5390933,21,4941728.5
1710110957.287906,22,4940052.0
1710111038.9096339,23,4938392.5
1710111119.0499918,24,4936761.0
1710111199.4645011,25,4935119.5
1710111279.2429402,26,4933486.5
1710111359.179186,27,4931837.0
1710111439.7447317,28,4930184.0
1710111519.2882311,29,4928545.0
1710111602.870442,30,4926845.0
1710111684.2027955,31,4925172.0
