Wall time,Step,Value
1712350926.7279649,0,702250.4375
1712350973.5203922,1,1024683.25
1712351020.56076,2,796834.6875
1712351067.5768304,3,1070103.25
1712351114.5911045,4,925226.1875
1712351161.5687902,5,1129064.375
1712351208.6149192,6,1189087.0
1712351255.439101,7,1042539.0
1712351302.4410667,8,1000427.4375
1712351349.4837039,9,904947.75
1712351396.4227054,10,1138259.125
1712351443.3686182,11,924385.0625
1712351490.2821355,12,805213.75
1712351537.2419357,13,1490013.625
1712351584.1911442,14,869094.3125
1712351631.2334943,15,1124969.5
1712351678.2193677,16,1211404.75
1712351725.21898,17,977045.5625
1712351772.1666725,18,1005373.6875
1712351819.2102118,19,1279108.0
1712351866.1413028,20,941588.75
1712351913.1383832,21,1121647.875
1712351960.1183178,22,1246314.625
1712352007.1531107,23,1153724.25
1712352054.0969253,24,1141279.75
1712352101.1653583,25,743228.5
1712352148.1216114,26,982442.5625
1712352195.0284574,27,1025065.4375
1712352241.9855394,28,894091.875
1712352288.9404838,29,1081731.75
1712352335.8910797,30,1188781.5
1712352382.8744977,31,1324504.125
1712352429.786865,32,949592.375
1712352476.686515,33,800014.0
1712352523.6395223,34,1046488.625
1712352570.534283,35,782075.0
1712352617.486097,36,1251519.625
1712352664.5150373,37,1305157.625
1712352711.460483,38,1022893.5
1712352758.4686732,39,853374.125
1712352805.4807372,40,686781.6875
1712352852.4925485,41,1257212.25
1712352899.4327705,42,995612.1875
1712352946.359688,43,989866.4375
1712352993.3244636,44,1147717.375
1712353040.2447078,45,1059464.25
1712353087.2499242,46,1271612.0
1712353134.3033056,47,1095006.5
1712353181.2967088,48,869490.625
1712353228.2862926,49,1016012.9375
1712353275.2583945,50,1091139.625
1712353322.208748,51,953783.625
1712353369.1373034,52,1097516.375
1712353416.1527224,53,951268.5
1712353463.1705077,54,985336.75
1712353510.0676038,55,1094850.625
1712353557.0358212,56,1191897.625
1712353603.946663,57,1157668.625
1712353650.9603758,58,767481.75
1712353697.9164815,59,1053445.5
1712353744.7927158,60,762085.5
1712353791.7700624,61,899948.375
1712353838.7766988,62,884936.3125
1712353885.800979,63,1359907.5
1712353932.746658,64,1137528.0
1712353979.7096941,65,1059956.75
1712354026.6472626,66,860056.375
1712354073.6937776,67,1251316.125
1712354120.6128657,68,947314.1875
1712354167.6200638,69,1030284.3125
