Wall time,Step,Value
1710097685.0604713,33,11433.5244140625
1710097686.0994139,34,11442.8427734375
1710097687.112562,35,11452.86328125
1710097688.1212416,36,11458.4755859375
1710097689.1294699,37,11467.951171875
1710097690.1409552,38,11471.6005859375
1710097691.1510954,39,11486.185546875
1710097692.1596017,40,11744.6455078125
1710097693.1688557,41,12416.451171875
1710097694.175807,42,12576.5244140625
1710097695.1898522,43,12594.322265625
1710097696.1985343,44,12618.322265625
1710097697.20775,45,12641.375
1710097698.2143683,46,12655.2900390625
1710097699.222419,47,12661.818359375
1710097804.8723822,153,16874.50390625
1710097805.8776283,154,16886.603515625
1710097806.882597,155,16897.919921875
1710097807.896783,156,16905.0234375
1710097808.9059863,157,16921.744140625
1710097809.914392,158,16976.908203125
1710097810.9221752,159,17057.912109375
1710097811.9300766,160,17111.572265625
1710097812.9360085,161,17175.8671875
1710097813.9452171,162,17244.69140625
1710097814.953789,163,17291.900390625
1710097815.9601598,164,17337.15625
1710097816.9717593,165,17393.396484375
1710097817.979347,166,17420.97265625
1710097818.9852512,167,17444.548828125
1710097939.304997,287,20124.720703125
1710097940.310357,288,20136.779296875
1710097941.3181431,289,20152.015625
1710097942.3272278,290,20166.3359375
1710097943.3348923,291,20183.884765625
1710097944.339604,292,20195.392578125
1710097945.3460908,293,20262.13671875
1710097946.351775,294,20365.892578125
1710097947.360038,295,20542.572265625
1710097948.3668249,296,20579.884765625
1710097949.3770473,297,20617.552734375
1710097950.383727,298,20652.46484375
1710097951.3938212,299,20672.931640625
1710097952.3995886,300,20700.052734375
1710097953.405004,301,20718.15625
1710098074.607057,423,22897.076171875
1710098075.6137974,424,22911.46484375
1710098076.6201456,425,22927.919921875
1710098077.6266723,426,22950.103515625
1710098078.6330814,427,23019.32421875
1710098079.6395617,428,23081.34765625
1710098080.6487458,429,23115.548828125
1710098081.6537995,430,23140.583984375
1710098082.6585226,431,23158.15625
1710098083.6675854,432,23177.703125
1710098084.6736817,433,23224.263671875
1710098085.6798413,434,23251.5390625
1710098086.688035,435,23293.8125
1710098087.6928623,436,23341.0078125
1710098088.699471,437,23368.376953125
1710098209.9635549,558,25606.5390625
1710098210.9713948,559,25613.62890625
1710098211.9812422,560,25625.947265625
1710098212.989547,561,25639.98828125
1710098213.9963064,562,25671.3671875
1710098215.0015688,563,25746.732421875
1710098216.00943,564,25796.224609375
1710098217.014122,565,25826.587890625
1710098218.0199575,566,25847.16015625
1710098219.0255415,567,25873.296875
1710098220.0353985,568,25897.3671875
1710098221.040311,569,25920.49609375
1710098222.0466902,570,25952.0234375
1710098223.0567229,571,26008.85546875
1710098224.065269,572,26033.376953125
1710098344.3745852,692,28335.095703125
1710098345.381552,693,28342.8359375
1710098346.3904333,694,28354.560546875
1710098347.3970945,695,28365.595703125
1710098348.4042425,696,28376.384765625
1710098349.4123683,697,28386.931640625
1710098350.4204345,698,28419.1953125
1710098351.429181,699,28509.8046875
1710098352.4399092,700,28553.47265625
1710098353.4479873,701,28613.50390625
1710098354.4576876,702,28663.623046875
1710098355.4658167,703,28695.03515625
1710098356.4733708,704,28731.0
1710098357.4791417,705,28770.240234375
1710098358.4844425,706,28814.515625
1710098478.6297429,827,31120.576171875
1710098479.6356235,828,31129.8359375
1710098480.6411881,829,31137.51171875
1710098481.649745,830,31148.544921875
1710098482.6571865,831,31163.451171875
1710098483.6669328,832,31173.580078125
1710098484.6720264,833,31186.220703125
1710098485.681073,834,31207.01953125
1710098486.6865556,835,31437.076171875
1710098487.691894,836,31627.01171875
1710098488.6977057,837,31720.279296875
1710098489.7063255,838,31740.8203125
1710098490.7149763,839,31768.419921875
1710098491.720972,840,31791.64453125
1710098492.7294996,841,31821.111328125
1710098614.950786,963,33936.24609375
1710098615.9567733,964,33949.59765625
1710098616.9618487,965,33963.828125
1710098617.9683733,966,33975.87890625
1710098618.975716,967,33988.9609375
1710098619.9811254,968,34009.9921875
1710098620.9877028,969,34084.30859375
1710098621.9982395,970,34206.62109375
1710098623.0061543,971,34299.38671875
1710098624.010815,972,34382.44921875
1710098625.018516,973,34428.4765625
1710098626.0238657,974,34459.73828125
1710098627.029411,975,34484.59375
1710098628.0382211,976,34510.12109375
1710098629.041888,977,34532.32421875
1710098752.1186023,1100,36762.9609375
1710098753.1257565,1101,36776.46484375
1710098754.1312816,1102,36784.29296875
1710098755.139143,1103,36815.15234375
1710098756.1437435,1104,36862.37890625
1710098757.1503391,1105,36906.6953125
1710098758.1607542,1106,36957.53515625
1710098759.1687875,1107,36975.8671875
1710098760.176994,1108,36996.84765625
1710098761.186317,1109,37025.84375
1710098762.1922598,1110,37077.69921875
1710098763.2063375,1111,37108.95703125
1710098764.2138112,1112,37145.0703125
1710098765.21902,1113,37177.64453125
1710098766.2261221,1114,37201.9140625
1710098886.7598736,1235,39533.21484375
1710098887.7690516,1236,39546.06640625
1710098888.776735,1237,39558.609375
1710098889.7838008,1238,39573.96484375
1710098890.79098,1239,39608.1796875
1710098891.7981057,1240,39666.9375
1710098892.804442,1241,39711.72265625
1710098893.8144436,1242,39730.42578125
1710098894.820096,1243,39753.3828125
1710098895.8248594,1244,39779.57421875
1710098896.829076,1245,39815.7109375
1710098897.836655,1246,39843.33203125
1710098898.8431683,1247,39876.3671875
1710098899.848262,1248,39926.3125
1710098900.8571115,1249,39965.47265625
1710099022.127465,1370,42368.38671875
1710099023.1357613,1371,42381.328125
1710099024.1464422,1372,42414.8515625
1710099025.1532433,1373,42460.27734375
1710099026.1622164,1374,42502.09765625
1710099027.1698287,1375,42524.7265625
1710099028.177453,1376,42550.2265625
1710099029.1835687,1377,42569.015625
1710099030.1891055,1378,42588.640625
1710099031.1960876,1379,42616.296875
1710099032.20463,1380,42674.984375
1710099033.2093413,1381,42713.72265625
1710099034.2162087,1382,42748.32421875
1710099035.2202086,1383,42781.15625
1710099036.2300336,1384,42801.0703125
1710099155.6481872,1504,45129.9921875
1710099156.65404,1505,45140.953125
1710099157.6647232,1506,45157.21875
1710099158.6696696,1507,45170.04296875
1710099159.6756234,1508,45190.55859375
1710099160.691648,1509,45233.8203125
1710099161.7018714,1510,45280.3046875
1710099162.709777,1511,45330.7265625
1710099163.7210317,1512,45364.9609375
1710099164.729731,1513,45385.74609375
1710099165.7353008,1514,45405.7421875
1710099166.7427762,1515,45425.26171875
1710099167.7510817,1516,45449.6328125
1710099168.7574031,1517,45492.19921875
1710099169.766289,1518,45522.08984375
1710099292.613271,1641,47929.32421875
1710099293.626128,1642,47949.95703125
1710099294.6344888,1643,47974.94921875
1710099295.642629,1644,48012.86328125
1710099296.6513114,1645,48045.984375
1710099297.6604118,1646,48061.125
1710099298.665843,1647,48076.81640625
1710099299.6761599,1648,48101.671875
1710099300.681825,1649,48116.4375
1710099301.6892195,1650,48144.26953125
1710099302.695387,1651,48161.77734375
1710099303.702937,1652,48197.62109375
1710099304.7144988,1653,48228.40234375
1710099305.7218306,1654,48278.0625
1710099306.7273228,1655,48447.8828125
1710099427.2136693,1775,50719.90625
1710099428.2185988,1776,50735.55078125
1710099429.2252774,1777,50763.0625
1710099430.233485,1778,50826.01171875
1710099431.2393348,1779,50867.0
1710099432.2439637,1780,50893.55078125
1710099433.2525525,1781,50918.22265625
1710099434.2615588,1782,50934.1015625
1710099435.2714741,1783,50957.55859375
1710099436.278749,1784,50977.48828125
1710099437.2860112,1785,51009.7421875
1710099438.2942963,1786,51051.62890625
1710099439.3117554,1787,51083.39453125
1710099440.3201091,1788,51125.80859375
1710099441.3270326,1789,51314.67578125
1710099562.7661057,1911,53612.40234375
1710099563.774699,1912,53620.22265625
1710099564.781559,1913,53626.8203125
1710099565.7900615,1914,53638.15234375
1710099566.7948465,1915,53647.1640625
1710099567.8051233,1916,53664.4609375
1710099568.8122332,1917,53681.24609375
1710099569.8194351,1918,53703.02734375
1710099570.8278434,1919,53724.859375
1710099571.8375611,1920,53751.03125
1710099572.8452482,1921,53773.69140625
1710099573.8513918,1922,53931.9765625
1710099574.8589392,1923,54040.58984375
1710099575.8662279,1924,54146.68359375
1710099576.8713017,1925,54256.79296875
1710099697.8366888,2046,56343.54296875
