Wall time,Step,Value
1712278953.7567344,0,6645.13330078125
1712279098.1110654,1,7098.7998046875
1712279246.5069728,2,7157.93310546875
1712279394.1313355,3,7216.66650390625
1712279541.6940892,4,7276.06689453125
1712279689.8156676,5,7334.466796875
1712279838.793483,6,7394.2666015625
1712279985.6668231,7,7452.33349609375
1712280131.973312,8,7511.0
1712280278.8979876,9,7571.466796875
1712280428.2708542,10,7630.39990234375
1712280576.8682756,11,7688.13330078125
1712280723.7663426,12,7748.66650390625
1712280871.4056153,13,7806.0
1712281019.797492,14,7867.466796875
1712281167.910269,15,7925.60009765625
1712281317.4337041,16,7985.93310546875
1712281465.4460728,17,8043.60009765625
1712281615.831242,18,8104.0
1712281763.5803485,19,8161.466796875
1712281910.524905,20,8221.533203125
1712282058.4092917,21,8281.7333984375
