Wall time,Step,Value
1712278953.7370012,0,21.80854606628418
1712279098.107298,1,34.227088928222656
1712279246.5017803,2,33.890419006347656
1712279394.1277637,3,30.979679107666016
1712279541.6884034,4,33.442440032958984
1712279689.81232,5,31.917236328125
1712279838.7901118,6,33.38065719604492
1712279985.6658847,7,30.174806594848633
1712280131.9700494,8,30.96875762939453
1712280278.896727,9,35.01151657104492
1712280428.2673812,10,34.27824401855469
1712280576.8645778,11,29.313159942626953
1712280723.7625258,12,34.74147415161133
1712280871.399514,13,29.423843383789062
1712281019.7936885,14,35.6754150390625
1712281167.9093375,15,31.04783058166504
1712281317.4327378,16,32.149478912353516
1712281465.4428692,17,31.27598762512207
1712281615.8250043,18,30.68875503540039
1712281763.5769753,19,28.042682647705078
1712281910.5186348,20,29.432891845703125
1712282058.4010332,21,32.34375
