Wall time,Step,Value
1712347149.758795,0,50.0
1712347197.6049228,1,100.0
1712347245.437557,2,150.0
1712347293.366872,3,200.0
1712347341.3490906,4,250.0
1712347389.3587658,5,300.0
1712347437.3019445,6,350.0
1712347485.3243008,7,400.0
1712347533.521845,8,450.0
1712347581.3891594,9,500.0
1712347629.53775,10,550.0
1712347677.6098576,11,600.0
1712347725.5453677,12,650.0
1712347773.6222963,13,700.0
1712347821.6058848,14,750.0
1712347869.6191602,15,800.0
1712347917.65878,16,850.0
1712347965.6527548,17,900.0
1712348013.8030603,18,950.0
1712348061.8640864,19,1000.0
1712348109.833641,20,1050.0
1712348157.7470262,21,1100.0
1712348205.6780493,22,1150.0
1712348253.913912,23,1200.0
1712348301.7561414,24,1250.0
1712348349.6004105,25,1300.0
1712348397.3879473,26,1350.0
1712348445.2851765,27,1400.0
1712348493.3260107,28,1450.0
1712348541.340913,29,1500.0
1712348589.4419594,30,1550.0
1712348637.3427362,31,1600.0
1712348685.3586473,32,1650.0
1712348733.4250412,33,1700.0
1712348781.2971911,34,1750.0
1712348829.310227,35,1800.0
1712348877.1563075,36,1850.0
1712348925.1210587,37,1900.0
1712348973.0633047,38,1950.0
1712349021.0452204,39,2000.0
1712349069.0378494,40,2050.0
1712349116.9420416,41,2100.0
1712349165.0101967,42,2150.0
1712349212.9504411,43,2200.0
1712349260.9995472,44,2250.0
1712349309.049746,45,2300.0
1712349356.9825714,46,2350.0
1712349404.9882908,47,2400.0
1712349452.8388355,48,2450.0
1712349500.6897824,49,2500.0
1712349548.5283132,50,2550.0
1712349596.5327666,51,2600.0
1712349644.5121624,52,2650.0
1712349692.4414778,53,2700.0
1712349740.520428,54,2750.0
1712349788.477795,55,2800.0
1712349836.57366,56,2850.0
1712349884.4743185,57,2900.0
1712349932.4742584,58,2950.0
1712349980.4572723,59,3000.0
1712350028.3172793,60,3050.0
1712350076.2024314,61,3100.0
1712350124.1183062,62,3150.0
1712350172.1666002,63,3200.0
1712350220.1603413,64,3250.0
1712350268.1074967,65,3300.0
1712350316.180853,66,3350.0
1712350364.1727178,67,3400.0
