Wall time,Step,Value
1712343382.8287623,17,4993597.5
1712343383.839986,18,4993560.0
1712343384.8499322,19,4993540.0
1712343385.858314,20,4993511.5
1712343386.8651094,21,4993500.5
1712343387.873609,22,4993485.5
1712343388.8817997,23,4993474.0
1712343389.8903458,24,4993457.5
1712343390.8959534,25,4993447.0
1712343391.902898,26,4993434.0
1712343392.90969,27,4993419.5
1712343393.9197705,28,4993400.0
1712343394.9297576,29,4993387.5
1712343395.9378412,30,4993371.0
1712343396.9460716,31,4993363.5
1712343432.0109036,66,4992883.0
1712343433.0190728,67,4992843.0
1712343434.029003,68,4992794.5
1712343435.034513,69,4992780.5
1712343436.0400076,70,4992762.5
1712343437.0463433,71,4992754.5
1712343438.0554526,72,4992742.0
1712343439.0630674,73,4992731.0
1712343440.0693676,74,4992714.0
1712343441.0770438,75,4992703.5
1712343442.086549,76,4992690.5
1712343443.0966403,77,4992676.0
1712343444.0999286,78,4992655.5
1712343445.107711,79,4992646.5
1712343446.1164374,80,4992634.0
1712343481.5003145,116,4992123.5
1712343482.5033045,117,4992099.0
1712343483.506621,118,4992062.0
1712343484.5219598,119,4992042.5
1712343485.5276248,120,4992026.0
1712343486.5391858,121,4992015.5
1712343487.5442986,122,4992000.5
1712343488.5486703,123,4991988.5
1712343489.5515149,124,4991968.5
1712343490.5544655,125,4991957.5
1712343491.556399,126,4991946.0
1712343492.562468,127,4991934.5
1712343493.566454,128,4991919.0
1712343494.571042,129,4991905.0
1712343495.5739336,130,4991887.5
1712343530.9792094,165,4991388.0
1712343531.9847007,166,4991354.5
1712343532.989683,167,4991332.0
1712343533.9970038,168,4991303.5
1712343535.0070128,169,4991291.0
1712343536.0150726,170,4991276.0
1712343537.0197184,171,4991266.5
1712343538.0300553,172,4991250.0
1712343539.0408742,173,4991237.0
1712343540.0523214,174,4991218.0
1712343541.0605874,175,4991208.5
1712343542.067984,176,4991196.0
1712343543.0768778,177,4991184.0
1712343544.086391,178,4991166.0
1712343545.093758,179,4991153.5
1712343580.2803996,215,4990668.0
1712343581.285875,216,4990630.5
1712343582.2903438,217,4990584.5
1712343583.2924428,218,4990569.5
1712343584.2998757,219,4990550.0
1712343585.305443,220,4990539.0
1712343586.3120618,221,4990523.5
1712343587.3183248,222,4990513.0
1712343588.3273113,223,4990498.5
1712343589.3344836,224,4990486.5
1712343590.3506656,225,4990467.5
1712343591.3601453,226,4990454.5
1712343592.3655603,227,4990442.0
1712343593.3707335,228,4990428.0
1712343594.3748796,229,4990406.5
1712343629.301499,264,4989920.0
1712343630.3044326,265,4989886.5
1712343631.3118,266,4989861.0
1712343632.3174887,267,4989831.0
1712343633.3233027,268,4989820.0
1712343634.3324432,269,4989803.5
1712343635.3386264,270,4989791.5
1712343636.34469,271,4989774.5
1712343637.3490453,272,4989761.0
1712343638.3521514,273,4989746.0
1712343639.3598404,274,4989735.0
1712343640.365691,275,4989719.0
1712343641.3695636,276,4989707.5
1712343642.3732479,277,4989691.0
1712343643.3810112,278,4989679.0
1712343678.4610772,313,4989194.5
1712343679.4738314,314,4989161.5
1712343680.4789145,315,4989109.5
1712343681.4817297,316,4989094.5
1712343682.4855864,317,4989078.0
1712343683.4892833,318,4989066.0
1712343684.4930937,319,4989050.0
1712343685.4963243,320,4989038.5
1712343686.4999318,321,4989021.0
1712343687.5027862,322,4989011.5
1712343688.506928,323,4988992.5
1712343689.5103686,324,4988979.5
1712343690.513299,325,4988959.5
1712343691.5164828,326,4988950.0
1712343692.5191145,327,4988936.5
1712343727.5739784,362,4988445.5
1712343728.5777478,363,4988412.0
1712343729.5807424,364,4988376.5
1712343730.5834181,365,4988354.0
1712343731.5863042,366,4988340.0
1712343732.5882673,367,4988325.5
1712343733.5940688,368,4988315.0
1712343734.5964355,369,4988300.0
1712343735.5995905,370,4988287.0
1712343736.6024306,371,4988274.5
1712343737.6055205,372,4988260.5
1712343738.6104865,373,4988248.0
1712343739.6124258,374,4988228.0
1712343740.6240425,375,4988212.5
1712343741.6387098,376,4988200.0
1712343776.874988,411,4987691.0
1712343777.8789062,412,4987655.5
1712343778.8832326,413,4987635.5
1712343779.8861527,414,4987612.0
1712343780.8891242,415,4987599.0
1712343781.892213,416,4987585.0
1712343782.8958874,417,4987571.0
1712343783.9002733,418,4987551.0
1712343784.9030957,419,4987539.0
1712343785.9062004,420,4987523.0
1712343786.909267,421,4987514.0
1712343787.9129183,422,4987503.5
1712343788.9162161,423,4987490.0
1712343789.9189382,424,4987472.5
1712343790.9223168,425,4987458.0
1712343826.231082,460,4986965.0
1712343827.2355564,461,4986929.5
1712343828.2438498,462,4986888.0
1712343829.2537937,464,4986873.5
1712343830.2609167,465,4986856.5
1712343831.267353,466,4986845.5
1712343832.2748759,467,4986832.0
1712343833.2841077,468,4986819.5
1712343834.2897367,469,4986802.0
1712343835.2924397,470,4986790.5
1712343836.2980573,471,4986776.0
1712343837.3065293,472,4986765.5
1712343838.3158991,473,4986750.0
1712343839.325026,474,4986737.0
1712343840.3449826,475,4986718.0
1712343875.5592241,510,4986229.5
1712343876.5645163,511,4986199.0
1712343877.568717,512,4986177.0
1712343878.5729518,513,4986147.0
1712343879.5809958,514,4986134.5
1712343880.5879946,515,4986117.5
