Wall time,Step,Value
1712343413.0763516,0,3104.8466796875
1712343462.2674103,1,3347.787841796875
1712343511.6800258,2,3281.626708984375
1712343561.2210329,3,3499.7080078125
1712343610.4512556,4,2997.529296875
1712343659.4943144,5,3299.69873046875
1712343708.5725863,6,2908.99072265625
1712343757.6869552,7,2921.56005859375
1712343806.9808817,8,3140.258544921875
1712343856.438094,9,3035.773193359375
1712343905.743866,10,2954.41064453125
1712343954.8551497,11,3120.002685546875
1712344003.959394,12,2853.525146484375
1712344053.0117366,13,3092.36669921875
1712344102.2613668,14,3111.0732421875
1712344151.717661,15,2712.697265625
1712344200.9895346,16,3079.2265625
1712344250.1253762,17,3051.16259765625
1712344299.2043476,18,3205.55322265625
1712344348.260626,19,2772.48388671875
1712344397.5476568,20,2851.310546875
1712344446.9579935,21,3416.862548828125
1712344496.268982,22,3373.057373046875
1712344545.3132496,23,3542.738525390625
1712344594.4330866,24,3089.714599609375
1712344643.5947952,25,3293.997314453125
1712344693.0655692,26,2940.610595703125
1712344742.5092266,27,3452.739990234375
1712344791.8731537,28,3111.53857421875
1712344841.157117,29,3178.061279296875
1712344890.1319182,30,3188.4853515625
1712344939.2193685,31,3238.975830078125
1712344988.5169182,32,3395.35595703125
1712345037.8863904,33,3290.488037109375
1712345087.2451546,34,3030.654541015625
1712345136.6270795,35,2921.733154296875
1712345185.7993417,36,3190.077392578125
1712345234.9723115,37,3176.877197265625
1712345284.236748,38,3197.7119140625
1712345333.5998557,39,3199.052001953125
1712345383.018178,40,3262.27734375
1712345432.3066971,41,3069.670654296875
1712345481.4182868,42,3196.35595703125
1712345530.4420927,43,3030.486572265625
1712345579.6027634,44,3575.67333984375
1712345628.7850919,45,3237.083984375
1712345678.2363853,46,3466.125244140625
1712345727.586101,47,3055.65869140625
1712345776.7697327,48,3120.00927734375
1712345825.8394582,49,3134.161376953125
1712345874.873053,50,2804.441162109375
1712345924.2799463,51,3401.927978515625
1712345973.709151,52,3185.16650390625
1712346022.9861414,53,3386.342529296875
1712346072.261491,54,3240.65185546875
1712346121.3176813,55,3095.19873046875
1712346170.3100417,56,2958.656005859375
1712346219.553906,57,2956.601318359375
1712346268.9698968,58,3252.294677734375
1712346318.254892,59,3395.822509765625
1712346367.2935245,60,3070.36669921875
1712346416.3552573,61,3116.997314453125
1712346465.6028826,62,3117.926513671875
1712346514.965137,63,3248.24658203125
1712346564.3700361,64,2925.16650390625
1712346613.6302166,65,3041.521240234375
1712346662.7932088,66,3276.150634765625
