Wall time,Step,Value
1712224850.4672732,11,0.051803719252347946
1712224850.567967,37,0.03529442474246025
1712224850.6112123,49,0.037234336137771606
1712224850.8473268,81,0.03631266579031944
1712224850.8674326,85,0.03629916533827782
1712224850.891957,91,0.03631214424967766
1712224850.9305706,95,0.03619261458516121
1712224851.0089567,107,0.04036620631814003
1712224851.0413687,113,0.040307968854904175
1712224851.167575,131,0.03658046945929527
1712224851.2694244,143,0.03655203431844711
1712224900.0357637,147,0.0001938801578944549
1712224900.0433352,149,0.0001836526789702475
1712224900.1139581,159,0.00017724544159136713
1712224900.21369,175,5.161574881640263e-05
1712224900.2854528,189,4.664613516069949e-05
1712224900.3491573,205,8.878071821527556e-05
1712224900.3734188,211,8.631878154119477e-05
1712224900.381621,213,8.832717139739543e-05
1712224900.456918,227,6.012145240674727e-05
1712224900.5016363,237,5.882687764824368e-05
1712224900.5672033,253,0.00023422588128596544
1712224900.696198,279,5.9484656958375126e-05
1712224949.6756551,301,2.8806794944102876e-05
1712224949.817356,311,2.8363390811136924e-05
1712224949.9217434,317,7.738381827948615e-05
1712224950.0308537,335,7.589149754494429e-05
1712224950.0390012,337,0.00014660418673884124
1712224950.1655648,357,0.00014615902910009027
1712224950.2359655,367,4.7613069909857586e-05
1712224950.2528963,371,4.7901539801387116e-05
1712224950.2611916,373,4.758002978633158e-05
1712224950.316943,381,4.770888699567877e-05
1712224950.3913777,397,2.357016273890622e-05
1712224950.4718153,413,3.6649813409894705e-05
1712224950.482662,415,3.652234954643063e-05
1712224950.5255105,425,3.6540022847475484e-05
1712224999.5103781,447,1.4592792467738036e-05
1712224999.5582821,459,2.0021268937853165e-05
1712224999.5944226,469,2.0048248188686557e-05
1712224999.6157923,475,2.007684815907851e-05
1712224999.7250693,499,2.7467278414405882e-05
1712224999.8751175,511,1.350196725979913e-05
1712224999.9580607,521,1.3503010450222064e-05
1712225000.0036132,527,1.346034332527779e-05
1712225000.0661478,535,2.0806421161978506e-05
1712225000.1173973,543,2.0828900233027525e-05
1712225000.1387253,547,2.0807743567274883e-05
1712225049.4325573,585,1.0518739145481959e-05
1712225049.4695067,595,1.0511231266718823e-05
1712225049.4761982,597,1.0526068763283547e-05
1712225049.516122,607,4.525831172941253e-06
1712225049.552348,617,4.514376996667124e-06
1712225049.5672054,621,4.517090928857215e-06
1712225049.635547,637,1.0297693734173663e-05
1712225049.643621,639,1.0297137123416178e-05
1712225049.7015164,653,9.188200237986166e-06
1712225049.7101912,655,9.205666174239013e-06
1712225049.7379704,661,9.167181815428194e-06
1712225049.812958,679,7.954606189741753e-06
1712225049.9728587,695,7.938465387269389e-06
1712225099.5413399,727,7.009602086327504e-06
1712225099.5719485,735,6.9915495259920135e-06
1712225099.6271954,747,1.0056969586003106e-05
1712225099.661259,755,1.0077143997477833e-05
1712225099.6778488,759,1.0052340257971082e-05
1712225099.794031,785,5.76407501284848e-06
1712225100.0601566,817,1.0945977919618599e-05
1712225100.2357495,843,8.500432159053162e-06
1712225100.2469645,845,8.504578545398545e-06
1712225100.2813942,849,8.507214261044282e-06
1712225100.3665287,861,8.504800462105777e-06
1712225149.537734,879,2.39901623899641e-06
1712225149.5635138,883,2.417161795165157e-06
1712225149.575723,885,2.3822078674129443e-06
1712225149.599162,891,2.3879313175712014e-06
1712225149.6426544,903,2.3573006728838664e-06
1712225149.7185054,921,2.051208412012784e-06
1712225149.7426927,927,2.0536617739708163e-06
1712225149.7509553,929,2.050060857072822e-06
1712225149.836603,949,5.835800493514398e-06
1712225150.0739892,979,3.0725450415047817e-06
1712225150.104972,983,3.084233640038292e-06
1712225150.1362116,987,9.935759408108424e-06
1712225199.3652391,1015,5.589618467638502e-06
1712225199.54199,1025,5.578300260822289e-06
1712225199.5727298,1029,5.57845487492159e-06
1712225199.6010559,1035,1.908080776047427e-06
1712225199.6632695,1051,1.9174665339960484e-06
1712225199.712695,1063,4.2957617552019656e-06
1712225199.72853,1067,4.2788315113284625e-06
1712225199.7538617,1073,4.267131316737505e-06
1712225199.807542,1085,9.520226740278304e-07
1712225199.8481145,1095,9.470375061937375e-07
1712225199.935106,1115,6.745905466232216e-06
1712225200.0756917,1127,6.750608918082435e-06
1712225200.1568437,1139,2.8577626380865695e-06
1712225200.2112923,1147,2.8552899493661243e-06
1712225249.2810035,1159,1.2125319699407555e-06
1712225249.396651,1163,1.15167563308205e-06
1712225249.4056692,1165,1.2856845614805934e-06
1712225249.4203,1169,1.2713032901956467e-06
1712225249.4762068,1173,1.277006617783627e-06
1712225249.5224626,1175,1.101697876038088e-06
1712225249.6402414,1185,2.0443640096345916e-06
1712225249.6474807,1187,2.0313468667154666e-06
1712225249.7165856,1205,4.910076768283034e-06
1712225249.768347,1217,4.9131776904687285e-06
1712225249.7846014,1221,4.916109446639894e-06
1712225249.8263524,1231,1.0222532864645473e-06
1712225249.8682606,1241,1.0185430028286646e-06
1712225249.884394,1245,1.0194705737376353e-06
1712225249.9831755,1269,2.2540061763720587e-06
1712225250.117552,1283,3.1529950774711324e-06
1712225250.1342595,1285,3.149767053400865e-06
1712225250.1604147,1289,3.1639401640859433e-06
1712225250.1781538,1293,3.1499412216362543e-06
1712225250.2289963,1295,3.147123607050162e-06
1712225299.331859,1299,2.1487769572559046e-06
1712225299.6845822,1323,9.572707995175733e-07
1712225299.7078383,1329,9.338556878901727e-07
1712225299.7387846,1337,9.001695389088127e-07
1712225299.764982,1343,9.480779681325657e-07
1712225299.7900581,1349,8.885655802259862e-07
1712225299.8272347,1357,8.87643125224713e-07
1712225299.835322,1359,9.173726880362665e-07
1712225299.868517,1367,8.917941158870235e-07
1712225299.9103627,1377,1.870595497166505e-06
1712225299.9204423,1379,1.8636815184436273e-06
1712225300.0072389,1399,2.424374542897567e-06
1712225300.040682,1407,2.435986971249804e-06
1712225300.065688,1413,2.4243502139142947e-06
1712225300.2281623,1429,1.1720634347511805e-06
1712225300.2947528,1437,1.1566679631869192e-06
1712225349.1281729,1443,1.3130561455909628e-06
1712225349.1351194,1445,1.1655325806714245e-06
1712225349.2719436,1447,1.3460647778629209e-06
1712225349.6001797,1461,1.1248271221120376e-06
1712225349.7327876,1473,9.696805136627518e-07
1712225349.7482374,1477,9.695614835436572e-07
1712225349.7568803,1479,9.384389159095008e-07
1712225349.7871127,1487,9.294117830904725e-07
1712225349.8202903,1495,1.0288122211932205e-06
1712225349.847016,1501,1.0409293054181035e-06
1712225349.8551965,1503,1.0325657058274373e-06
1712225349.8637156,1505,1.0308488072041655e-06
1712225349.8992507,1513,9.657931059336988e-07
1712225349.987014,1531,9.659099760028766e-07
1712225350.0250359,1539,9.71218355516612e-07
1712225350.0331516,1541,9.665443485573633e-07
1712225350.0411065,1543,9.763130037754308e-07
1712225350.0594053,1547,9.757184216141468e-07
1712225350.0675173,1549,9.657715054345317e-07
1712225350.158536,1561,1.226848780788714e-06
1712225350.24952,1569,1.211159201375267e-06
1712225350.2601671,1571,1.2235358326506685e-06
1712225350.2779777,1575,1.2235649364811252e-06
1712225350.3278856,1579,1.210852474287094e-06
1712225399.164904,1585,9.195623533742037e-07
1712225399.1763167,1587,9.28851648041018e-07
1712225399.1842444,1589,7.486395361411269e-07
1712225399.3081954,1591,9.248159358321573e-07
1712225399.431536,1597,6.71212831093726e-07
1712225399.5633032,1605,7.215429036477872e-07
1712225399.6723025,1615,6.883413448122155e-07
1712225399.7308736,1617,7.259557150973706e-07
1712225399.756215,1619,6.609396336898499e-07
1712225399.8033283,1631,6.910130991855112e-07
1712225399.9030318,1651,2.623818602387473e-07
1712225399.9675615,1665,6.460768986471521e-07
1712225400.0010524,1673,6.483828087766597e-07
1712225400.0209112,1677,6.460475674430199e-07
1712225400.0614657,1687,5.820527348987525e-07
1712225449.6068368,1735,1.0060725799121428e-06
1712225449.6261818,1739,7.060449433993199e-07
1712225449.6685598,1741,4.4336226778796117e-07
1712225449.8090115,1749,5.946160399616929e-07
1712225449.8246481,1753,7.543828814959852e-07
1712225449.8589509,1761,5.11322525653668e-07
1712225449.8756554,1765,4.994167284166906e-07
1712225449.9370885,1781,1.4249771140839584e-07
1712225449.9893174,1793,1.163421572414336e-07
1712225450.0218635,1801,2.1846976494543924e-07
1712225450.0810688,1815,1.7230641446985828e-07
1712225450.1004887,1819,1.5798849517523195e-07
1712225450.1532707,1831,2.8388598138917587e-07
1712225450.1699564,1835,2.753267835942097e-07
1712225450.1952581,1841,2.805949463891011e-07
1712225450.2032862,1843,2.77908441148611e-07
1712225450.2795975,1847,2.7678370884132164e-07
1712225450.370613,1863,3.089558902047429e-07
1712225450.393089,1865,3.0764860525778204e-07
1712225450.469404,1871,3.0993101063359063e-07
1712225499.5872326,1885,8.008148029148288e-07
1712225499.6601222,1891,4.3641702518470993e-07
1712225499.8800917,1909,7.15133410267299e-07
1712225499.894376,1913,5.489082468557172e-07
1712225499.908772,1917,5.116548891237471e-07
1712225499.9333189,1923,2.5326923491775233e-07
1712225499.942336,1925,3.0409776741180394e-07
1712225500.0225744,1943,2.0599047445557517e-07
1712225500.0312407,1945,2.8181966627016664e-07
1712225500.0676086,1953,2.5676104087324347e-07
1712225500.077427,1955,2.628860613640427e-07
1712225500.087353,1957,2.580126761131396e-07
1712225500.0972865,1959,2.548420070525026e-07
1712225500.1348417,1967,2.601551329917129e-07
1712225500.1426804,1969,1.9390506622585235e-06
1712225500.1672177,1975,1.9655112737382296e-06
1712225500.175294,1977,1.9528445136529626e-06
1712225500.2405853,1993,2.5547187760821544e-06
1712225500.3555567,2001,2.5193603505613282e-06
1712225500.3800483,2005,2.5166796149278525e-06
1712225500.4053514,2009,2.5264255327783758e-06
1712225500.4140263,2011,2.5207204998878296e-06
1712225549.716556,2029,1.1208147725483286e-06
1712225549.7969966,2035,9.994416814151919e-07
1712225549.9461606,2051,4.509462314672419e-07
1712225549.9629152,2055,3.005744417805545e-07
1712225549.994592,2063,3.207209147149115e-07
1712225550.0025957,2065,3.791902258853952e-07
1712225550.0455108,2075,4.000499700396176e-07
1712225550.1047542,2089,4.1668218386803346e-07
1712225550.2051792,2111,3.8106071542642894e-07
1712225550.2217336,2115,1.5385533913558902e-07
1712225550.2732015,2127,1.4478042942300817e-07
1712225550.3000817,2133,1.3916240959588322e-07
1712225550.3170931,2137,8.33302692626603e-07
1712225550.44024,2145,8.490264917782042e-07
1712225550.4970212,2153,8.247955634033133e-07
1712225550.5237055,2157,8.355037834917312e-07
1712225599.5730252,2167,6.460566623900377e-07
1712225599.62905,2169,1.0288647445122479e-06
1712225599.7208009,2171,2.42491580593196e-07
1712225599.948406,2187,5.27645511283481e-07
1712225599.9928062,2199,2.4687989252925036e-07
1712225600.0230756,2207,2.654343234098633e-07
1712225600.031322,2209,4.038523400140548e-07
1712225600.0394526,2211,2.12836440027786e-07
1712225600.1271727,2229,2.1760024537798017e-07
1712225600.1737394,2239,3.0248114057940256e-07
1712225600.2912085,2267,4.951208438797039e-07
1712225600.3076463,2271,4.84660517940938e-07
1712225649.4241142,2311,7.211649517557817e-07
1712225649.432129,2313,1.2853092812292743e-06
1712225649.7923095,2321,6.304476301011164e-07
1712225649.7994716,2323,5.934595037615509e-07
1712225649.8069832,2325,9.459887451157556e-07
1712225650.0889406,2361,2.444938616008585e-07
1712225650.131228,2371,2.5200267828040523e-07
1712225650.193862,2385,1.1613127526288736e-07
