Wall time,Step,Value
1700015997.68204,0,52.48076629638672
1700016054.1654663,1,52.61273956298828
1700016110.3933349,2,54.56216049194336
1700016167.7421799,3,52.601627349853516
1700016224.1093862,4,52.43888473510742
1700016280.1416895,5,53.13040542602539
1700016337.156824,6,52.87419128417969
1700016393.8818057,7,52.57072830200195
1700016449.7588112,8,54.43804168701172
1700016506.398522,9,52.11222457885742
1700016563.4168253,10,52.981204986572266
1700016619.7510428,11,52.1995735168457
1700016676.3389552,12,53.685882568359375
1700016733.361793,13,51.4642333984375
1700016789.8415143,14,53.39618682861328
1700016845.7833393,15,53.15056610107422
1700016902.7282157,16,52.4724006652832
1700016959.531104,17,52.78946304321289
1700017015.5332007,18,53.03276824951172
1700017071.923639,19,53.50122833251953
1700017128.9861267,20,54.250091552734375
1700017184.9369845,21,53.53693389892578
1700017240.9862256,22,51.59585189819336
1700017297.9952922,23,53.071903228759766
1700017354.9046013,24,53.32115936279297
1700017410.8314178,25,54.585384368896484
1700017467.258399,26,52.86405563354492
1700017524.304388,27,53.35985565185547
1700017580.524378,28,52.386226654052734
1700017636.3728063,29,54.7437744140625
1700017693.4232986,30,53.7705192565918
1700017750.331581,31,54.10883712768555
1700017806.409431,32,53.38456344604492
1700017862.6538577,33,52.96208190917969
1700017919.6565492,34,54.69413375854492
1700017975.7951846,35,52.43094253540039
1700018031.7365077,36,53.495635986328125
1700018088.7858431,37,54.04914093017578
1700018145.7049558,38,53.57341384887695
1700018201.6257353,39,52.864253997802734
1700018258.984702,40,52.345726013183594
1700018315.9104054,41,52.86406707763672
1700018371.8728244,42,52.680076599121094
1700018428.25154,43,52.21543884277344
1700018485.2960904,44,53.96609878540039
1700018541.5270813,45,53.832801818847656
1700018597.3292305,46,54.241432189941406
1700018653.6677058,47,54.296180725097656
1700018710.6717486,48,51.315887451171875
1700018766.5885177,49,52.50722122192383
1700018822.4247966,50,51.9599494934082
1700018878.7559068,51,52.63310241699219
1700018935.7473814,52,52.87521743774414
1700018992.0028505,53,53.89202117919922
1700019047.792695,54,53.697471618652344
1700019104.1208053,55,52.40243911743164
1700019161.0805748,56,53.69710159301758
1700019216.846238,57,51.594703674316406
