Wall time,Step,Value
1700012182.033708,0,6.27815580368042
1700012246.3257267,1,6.438426971435547
1700012310.1079943,2,6.334250450134277
1700012372.6839094,3,6.423731803894043
1700012436.4485128,4,6.239662170410156
1700012498.8547182,5,6.453390121459961
1700012562.4416595,6,6.322998046875
1700012626.3945694,7,6.223215103149414
1700012688.2033217,8,6.266234874725342
1700012751.6734967,9,6.35484504699707
1700012813.9789267,10,6.610570430755615
1700012877.2896502,11,6.372528553009033
1700012940.1222887,12,6.451178550720215
1700013002.985112,13,6.4389777183532715
1700013066.8317213,14,6.544614791870117
1700013128.5009055,15,6.445722579956055
1700013192.0232272,16,6.535140037536621
1700013253.5773528,17,6.439357757568359
1700013317.1550808,18,6.356873989105225
1700013379.7016149,19,6.555235385894775
1700013443.2261062,20,6.631982326507568
1700013506.8499072,21,6.486509323120117
1700013568.4498973,22,6.5206427574157715
1700013631.9366584,23,6.597866058349609
1700013693.7535503,24,6.417816162109375
1700013757.4290276,25,6.566687107086182
1700013819.112008,26,6.439206600189209
1700013882.8750799,27,6.35795783996582
1700013944.6925232,28,6.552438259124756
1700014008.340699,29,6.481997013092041
1700014071.7392054,30,6.460860729217529
1700014133.9511414,31,6.656972408294678
1700014197.242513,32,6.548340320587158
1700014259.194002,33,6.491726398468018
1700014322.8149924,34,6.615763187408447
1700014384.436162,35,6.553544044494629
1700014448.180019,36,6.654957294464111
1700014509.8127499,37,6.457652568817139
1700014573.6248298,38,6.5065507888793945
1700014635.8102925,39,6.629915237426758
1700014699.6232734,40,6.5121049880981445
1700014762.9653249,41,6.528907299041748
1700014825.0275843,42,6.456989288330078
1700014888.6183193,43,6.481334209442139
1700014950.107917,44,6.587270259857178
1700015013.6926155,45,6.540521144866943
1700015075.3735588,46,6.645944118499756
1700015138.886963,47,6.518352031707764
1700015200.6608806,48,6.452295780181885
1700015264.2536802,49,6.397788047790527
1700015326.1685936,50,6.568120956420898
1700015389.9071355,51,6.535000801086426
