Wall time,Step,Value
1700007526.9426982,0,175.0
1700007626.1958416,1,350.0
1700007711.3671598,2,525.0
1700007798.273384,3,700.0
1700007885.9965653,4,875.0
1700007971.4482217,5,1050.0
1700008057.2279985,6,1225.0
1700008146.4549017,7,1400.0
1700008231.6362119,8,1575.0
1700008317.8503547,9,1750.0
1700008406.1489828,10,1925.0
1700008491.8064923,11,2100.0
1700008578.1116369,12,2275.0
1700008666.342251,13,2450.0
1700008752.1689427,14,2625.0
1700008837.785479,15,2800.0
1700008927.5029402,16,2975.0
1700009013.1194391,17,3150.0
1700009099.493143,18,3325.0
1700009184.074516,19,3500.0
1700009269.645027,20,3675.0
1700009353.592107,21,3850.0
1700009438.4840267,22,4025.0
1700009523.3448193,23,4200.0
1700009608.6205893,24,4375.0
1700009697.7084496,25,4550.0
1700009783.8088927,26,4725.0
1700009872.0642881,27,4900.0
1700009953.7256594,28,5075.0
1700010040.7392776,29,5250.0
1700010124.9838097,30,5425.0
1700010210.5680978,31,5600.0
1700010298.102684,32,5775.0
1700010383.49817,33,5950.0
1700010468.7989035,34,6125.0
1700010553.807633,35,6300.0
1700010639.282367,36,6475.0
1700010727.2775776,37,6650.0
