Wall time,Step,Value
1700048853.4819431,0,34.045509338378906
1700049050.876295,1,20.7092227935791
1700049247.9823515,2,20.02467918395996
1700049445.439452,3,20.495258331298828
1700049645.3058817,4,19.98428726196289
1700049842.9027193,5,19.842370986938477
1700050040.743346,6,20.46463966369629
1700050240.299293,7,19.906982421875
1700050437.5706422,8,20.500629425048828
1700050634.889551,9,20.640880584716797
1700050831.2126808,10,19.682897567749023
1700051029.644408,11,20.4066104888916
1700051227.0860624,12,20.36692237854004
1700051424.7414925,13,20.232425689697266
1700051622.657803,14,20.35824966430664
1700051821.0393782,15,20.246540069580078
1700052019.346091,16,20.320064544677734
