Wall time,Step,Value
1700048853.4913943,0,2734.481689453125
1700049050.878937,1,499.49090576171875
1700049247.984461,2,441.5531311035156
1700049445.4446764,3,460.1942138671875
1700049645.3080165,4,430.92889404296875
1700049842.9052782,5,430.70489501953125
1700050040.7521238,6,450.2340087890625
1700050240.3038483,7,432.06292724609375
1700050437.5752964,8,461.79071044921875
1700050634.890986,9,473.0523986816406
1700050831.2147505,10,427.677001953125
1700051029.645355,11,447.79583740234375
1700051227.086911,12,455.54180908203125
1700051424.74261,13,439.7525329589844
1700051622.6602652,14,459.14642333984375
1700051821.0403526,15,455.6497802734375
1700052019.349764,16,455.2232971191406
