Wall time,Step,Value
1712173036.0496743,0,4989958.5
1712173121.68647,1,4988262.5
1712173206.2793648,2,4986645.5
1712173290.8594072,3,4985019.5
1712173375.499674,4,4983389.0
1712173460.0329256,5,4981776.0
1712173544.97927,6,4980163.0
1712173629.5845954,7,4978541.0
1712173711.701409,8,4976994.5
1712173796.1283693,9,4975403.5
1712173880.2343893,10,4973817.0
1712173964.6914449,11,4972215.0
1712174046.8682141,12,4970657.5
1712174128.5066605,13,4969124.0
1712174212.312746,14,4967527.5
1712174294.4494064,15,4965979.0
1712174378.62824,16,4964389.5
1712174462.5391665,17,4962801.0
1712174547.052098,18,4961208.5
1712174629.2016113,19,4959662.5
1712174711.437302,20,4958102.0
1712174793.3167486,21,4956558.5
1712174875.7453094,22,4955000.5
1712174959.4712071,23,4953419.5
1712175043.2946925,24,4951827.5
1712175125.0274038,25,4950279.0
1712175208.823119,26,4948696.0
1712175292.913745,27,4947107.0
1712175374.9643998,28,4945565.0
1712175456.8450623,29,4944010.5
1712175538.3515599,30,4942468.5
1712175620.3803527,31,4940918.0
1712175702.093128,32,4939372.5
1712175786.1267436,33,4937781.0
1712175868.0784512,34,4936227.0
1712175949.9655485,35,4934677.5
1712176031.9977026,36,4933122.5
1712176111.5828454,37,4931616.0
1712176192.7873,38,4930093.5
1712176274.296848,39,4928553.0
