Wall time,Step,Value
1700048853.462405,0,373.31732177734375
1700049050.8697631,1,484.66033935546875
1700049247.974596,2,587.9746704101562
1700049445.4371896,3,691.8323364257812
1700049645.301385,4,795.8416748046875
1700049842.9007196,5,898.8679809570312
1700050040.7351863,6,1002.8593139648438
1700050240.2972555,7,1106.72705078125
1700050437.5641887,8,1209.887939453125
1700050634.8828437,9,1313.505615234375
1700050831.2096276,10,1415.828369140625
1700051029.6403186,11,1520.2840576171875
1700051227.0801356,12,1622.293701171875
1700051424.7371442,13,1725.599365234375
1700051622.654237,14,1828.974609375
1700051821.0345552,15,1932.9000244140625
1700052019.3397,16,2036.578369140625
