Wall time,Step,Value
1700048823.116984,22,16881.32421875
1700048824.1459615,23,16964.470703125
1700048825.1559167,24,17393.71484375
1700048826.1646829,25,17675.224609375
1700048827.1704626,26,17812.974609375
1700048828.18167,27,17929.529296875
1700048829.1886811,28,18056.525390625
1700048830.1967967,29,18140.189453125
1700048831.2025285,30,18151.265625
1700048832.2081563,31,18171.51953125
1700048833.214389,32,18231.515625
1700048834.2243373,33,18402.6953125
1700048835.2310057,34,18728.66015625
1700048836.2406876,35,19092.1640625
1700048837.2507734,36,19120.64453125
1700049020.564649,219,22801.595703125
1700049021.5745041,220,22815.5390625
1700049022.5850716,221,22856.419921875
1700049023.5964026,222,22889.64453125
1700049024.6050768,223,22901.5
1700049025.6150672,224,22911.19921875
1700049026.6245334,225,22929.544921875
1700049027.6321418,226,22941.474609375
1700049028.6406794,227,22989.224609375
1700049029.6523616,228,23034.0390625
1700049030.6588259,229,23079.8046875
1700049031.6667511,230,23215.35546875
1700049032.672614,231,23277.66015625
1700049033.6809669,232,23327.630859375
1700049034.690104,233,23341.28515625
1700049217.7119555,417,26581.365234375
1700049218.7185888,418,26593.0546875
1700049219.7254035,419,26607.76953125
1700049220.7312212,420,26617.455078125
1700049221.7410996,421,26635.044921875
1700049222.7491696,422,26653.439453125
1700049223.7586634,423,26685.384765625
1700049224.7644634,424,26697.875
1700049225.7713935,425,26726.634765625
1700049226.7782798,426,26768.744140625
1700049227.7842607,427,26817.28515625
1700049228.7933888,428,26885.689453125
1700049229.8056557,429,26936.189453125
1700049230.8146265,430,26973.205078125
1700049231.8203824,431,27002.650390625
1700049415.1306186,614,30243.650390625
1700049416.1371505,615,30259.369140625
1700049417.1477408,616,30291.98046875
1700049418.1549256,617,30308.33984375
1700049419.1599991,618,30331.720703125
1700049420.1681483,619,30351.9140625
1700049421.1746237,620,30364.73046875
1700049422.181579,621,30370.57421875
1700049423.1899467,622,30390.44921875
1700049424.1983514,623,30427.349609375
1700049425.2091532,624,30496.080078125
1700049426.217649,625,30578.904296875
1700049427.225072,626,30728.140625
1700049428.2341323,627,30755.46484375
1700049429.2442544,628,30780.869140625
1700049615.0191784,814,34039.42578125
1700049616.0275514,815,34058.98828125
1700049617.0368688,816,34074.390625
1700049618.04816,817,34112.42578125
1700049619.0544207,818,34124.87109375
1700049620.0621712,819,34142.68359375
1700049621.070322,820,34151.98828125
1700049622.0789132,821,34176.85546875
1700049623.088603,822,34210.8046875
1700049624.0973725,823,34290.6953125
1700049625.1053722,824,34335.42578125
1700049626.1171699,825,34366.4453125
1700049627.124155,826,34411.21484375
1700049628.1300683,827,34439.42578125
1700049629.1360059,828,34497.3359375
1700049812.6005254,1011,37831.01953125
1700049813.606993,1012,37854.0234375
1700049814.616934,1013,37874.31640625
1700049815.6250365,1014,37883.75
1700049816.6347394,1015,37895.7890625
1700049817.6500442,1016,37915.63671875
1700049818.658051,1017,37930.80078125
1700049819.6685805,1018,37958.125
1700049820.6772888,1019,37986.8203125
1700049821.6832073,1020,38013.96875
1700049822.691243,1021,38043.63671875
1700049823.699876,1023,38105.25390625
1700049824.7076418,1024,38175.53515625
1700049825.7156181,1025,38236.98046875
1700049826.722319,1026,38270.50390625
1700050010.442249,1209,41664.1015625
1700050011.4502132,1210,41675.109375
1700050012.45614,1211,41696.50390625
1700050013.4665606,1212,41723.765625
1700050014.4751878,1213,41735.640625
1700050015.481316,1214,41746.87890625
1700050016.489079,1215,41771.5546875
1700050017.496567,1216,41793.55859375
1700050018.5067651,1217,41856.1640625
1700050019.512865,1218,41901.2890625
1700050020.5224063,1219,41949.76171875
1700050021.5286212,1220,41980.53125
1700050022.5377367,1221,42009.8984375
1700050023.5471904,1222,42069.046875
1700050024.5538275,1223,42138.4765625
1700050210.0067754,1409,45476.38671875
1700050211.0143287,1410,45497.10546875
1700050212.0207093,1411,45510.93359375
1700050213.027954,1412,45526.26953125
1700050214.0360756,1413,45559.91015625
1700050215.0441203,1414,45577.515625
1700050216.0541677,1415,45592.359375
1700050217.061969,1416,45612.92578125
1700050218.0687861,1417,45637.28125
1700050219.075633,1418,45695.62890625
1700050220.084469,1419,45758.69140625
1700050221.091525,1420,45809.7109375
1700050222.102443,1421,45843.4609375
1700050223.1122015,1422,45867.78125
1700050224.1222143,1423,45909.328125
1700050407.2664225,1606,49257.640625
1700050408.2777638,1607,49286.375
1700050409.2891486,1608,49315.83984375
1700050410.2972658,1609,49329.3359375
1700050411.3023467,1610,49349.0
1700050412.311446,1611,49363.25
1700050413.3218563,1612,49373.43359375
1700050414.3301542,1613,49395.63671875
1700050415.339648,1614,49440.6953125
1700050416.3472261,1615,49474.19140625
1700050417.3551624,1616,49539.25
1700050418.3629787,1617,49671.1484375
1700050419.3730645,1618,49718.75390625
1700050420.3837218,1619,49755.40625
