Wall time,Step,Value
1712186392.745109,23,13622.9912109375
1712186393.7606134,24,13648.3115234375
1712186394.7684002,25,13780.578125
1712186395.7740843,26,14028.61328125
1712186396.78021,27,14167.77734375
1712186397.7864037,28,14202.9462890625
1712186398.79347,29,14331.61328125
1712186399.7991219,30,14411.9462890625
1712186400.804827,31,14438.546875
1712186401.811443,32,14499.1865234375
1712186402.815759,33,14590.7021484375
1712186403.8210146,34,14985.529296875
1712186404.828395,35,15097.3466796875
1712186405.834159,36,15116.5732421875
1712186406.840709,37,15140.29296875
1712186477.1023617,107,16823.333984375
1712186478.1079314,108,16910.0703125
1712186479.1145837,109,17017.22265625
1712186480.119437,110,17114.494140625
1712186481.1243885,111,17159.38671875
1712186482.1289647,112,17203.080078125
1712186483.1352818,113,17242.7421875
1712186484.1406882,114,17279.634765625
1712186485.1471243,115,17299.525390625
1712186486.1535075,116,17316.146484375
1712186487.1598291,117,17330.107421875
1712186488.167926,118,17355.884765625
1712186489.1742578,119,17377.365234375
1712186490.180082,120,17392.208984375
1712186491.1847327,121,17414.373046875
1712186547.6726098,178,18570.55078125
1712186548.677049,179,18634.400390625
1712186549.6824603,180,18672.916015625
1712186550.6891026,181,18719.96875
1712186551.6949196,182,18761.67578125
1712186552.699453,183,18814.396484375
1712186553.7034464,184,18834.9375
1712186554.709592,185,18858.373046875
1712186555.7156086,186,18873.181640625
1712186556.7228148,187,18894.61328125
1712186557.7276933,188,18914.68359375
1712186558.73363,189,18928.626953125
1712186559.738646,190,18945.02734375
1712186560.7449186,191,18973.560546875
1712186561.750029,192,18996.626953125
1712186617.9160795,248,20113.689453125
1712186618.9202013,249,20170.302734375
1712186619.925699,250,20216.818359375
1712186620.9302466,251,20276.728515625
1712186621.9382992,252,20315.2265625
1712186622.9434063,253,20364.6171875
1712186623.9517064,254,20386.119140625
1712186624.9587636,255,20402.93359375
1712186625.963895,256,20420.791015625
1712186626.9702275,257,20445.390625
1712186627.9747388,258,20460.763671875
1712186628.9798095,259,20475.462890625
1712186629.985597,260,20497.22265625
1712186630.9932876,261,20529.7109375
1712186632.0006886,262,20543.00390625
1712186691.7037601,322,21685.791015625
1712186692.7093506,323,21798.51953125
1712186693.7156413,324,21857.0625
1712186694.7206192,325,21910.181640625
1712186695.7248633,326,21937.439453125
1712186696.7311244,327,21970.125
1712186697.7399144,328,21999.853515625
1712186698.7464747,329,22016.787109375
1712186699.7519522,330,22037.453125
1712186700.7563715,331,22056.48046875
1712186701.7622557,332,22082.474609375
1712186702.7678337,333,22100.08984375
1712186703.7749658,334,22115.013671875
1712186704.7809415,335,22128.7421875
1712186705.7867112,336,22156.03125
1712186763.125737,393,23280.537109375
1712186764.1290307,394,23353.74609375
1712186765.1341658,395,23397.275390625
1712186766.1410787,396,23435.2578125
1712186767.1494372,397,23500.9609375
1712186768.15573,398,23538.1015625
1712186769.1612482,399,23556.173828125
1712186770.1666887,400,23572.537109375
1712186771.1726444,401,23592.751953125
1712186772.1805587,402,23618.689453125
1712186773.185459,403,23638.138671875
1712186774.1914413,404,23652.76953125
1712186775.1982026,405,23669.09375
1712186776.203634,406,23693.365234375
1712186777.2093592,407,23717.697265625
1712186836.2379506,466,24821.0703125
1712186837.2441773,467,24931.177734375
1712186838.2504747,468,25023.248046875
1712186839.2587233,469,25078.076171875
1712186840.2642097,470,25107.6171875
1712186841.2708547,471,25136.021484375
1712186842.2779949,472,25157.435546875
1712186843.2838142,473,25184.83984375
1712186844.290084,474,25201.595703125
1712186845.296338,475,25215.630859375
1712186846.3022757,476,25240.564453125
1712186847.3079998,477,25264.654296875
1712186848.3147433,478,25280.703125
1712186849.3191314,479,25301.68359375
1712186850.3245919,480,25319.90625
1712186912.0036442,542,26460.826171875
1712186913.0083687,543,26589.5546875
1712186914.0146902,544,26653.875
1712186915.0218475,545,26712.724609375
1712186916.0262983,546,26743.26171875
1712186917.0346794,547,26775.51953125
1712186918.041801,548,26801.849609375
1712186919.0493479,549,26814.505859375
1712186920.054878,550,26829.732421875
1712186921.060932,551,26851.021484375
1712186922.0665367,552,26874.591796875
1712186923.0742054,553,26890.525390625
1712186924.0793023,554,26913.421875
1712186925.0853992,555,26930.369140625
1712186926.090946,556,26952.439453125
1712186982.7174451,613,28051.1015625
1712186983.7228875,614,28130.09765625
1712186984.7296314,615,28195.640625
1712186985.7341197,616,28237.529296875
1712186986.740199,617,28279.396484375
1712186987.747046,618,28316.689453125
1712186988.7553618,619,28343.654296875
1712186989.7632189,620,28356.302734375
1712186990.7695086,621,28376.697265625
1712186991.7736182,622,28408.537109375
1712186992.7816546,623,28427.8359375
1712186993.7853987,624,28442.7734375
1712186994.7900908,625,28456.25390625
1712186995.7953613,626,28482.453125
1712186996.8004625,627,28502.94140625
1712187057.0838377,687,29648.09375
1712187058.092151,688,29745.296875
1712187059.0994852,689,29836.93359375
1712187060.1072721,690,29873.732421875
1712187061.111656,691,29913.484375
1712187062.1160576,692,29938.1015625
1712187063.1216328,693,29968.6171875
1712187064.126208,694,29989.626953125
1712187065.131594,695,30004.421875
1712187066.1361778,696,30020.181640625
1712187067.1464248,697,30047.484375
1712187068.1525605,698,30073.54296875
1712187069.159842,699,30087.462890625
1712187070.166495,700,30106.048828125
1712187071.171168,701,30128.662109375
1712187129.9435863,760,31278.23046875
1712187130.947557,761,31353.42578125
1712187131.9515462,762,31410.05859375
1712187132.9578376,763,31508.15625
1712187133.9635463,764,31534.115234375
1712187134.9682689,765,31551.181640625
1712187135.9724114,766,31567.076171875
1712187136.9765363,767,31590.173828125
1712187137.9817722,768,31619.03125
1712187138.9874544,769,31633.5546875
1712187139.9931943,770,31649.947265625
1712187140.99829,771,31669.578125
1712187142.0027916,772,31695.12890625
1712187143.0109634,773,31718.693359375
1712187144.0164008,774,31731.462890625
1712187202.7183986,833,32889.40625
1712187203.7267573,834,32976.94921875
1712187204.7310302,835,33043.34765625
1712187205.7359457,836,33089.2578125
1712187206.7404063,837,33122.01953125
1712187207.7446556,838,33166.578125
1712187208.7505612,839,33190.94921875
1712187209.7557795,840,33203.0078125
1712187210.7616577,841,33221.0859375
1712187211.765939,842,33238.44140625
1712187212.7721803,843,33269.203125
1712187213.779392,844,33286.19921875
1712187214.7846005,845,33301.4296875
1712187215.7904527,846,33322.29296875
1712187216.795473,847,33351.02734375
1712187274.4867458,905,34515.9375
1712187275.49393,906,34571.50390625
1712187276.4999907,907,34620.95703125
1712187277.5036767,908,34704.640625
1712187278.509789,909,34756.0078125
1712187279.5140343,910,34770.83984375
1712187280.5191789,911,34784.578125
1712187281.5280883,912,34809.171875
1712187282.5330186,913,34839.2578125
1712187283.5381036,914,34853.41796875
1712187284.543802,915,34868.390625
1712187285.5496252,916,34887.13671875
1712187286.5544393,917,34914.609375
1712187287.5609329,918,34941.6875
1712187288.5666406,919,34955.68359375
1712187344.528311,975,36104.08984375
1712187345.5324996,976,36154.87109375
1712187346.538172,977,36205.765625
1712187347.5435061,978,36289.796875
1712187348.5473924,979,36335.63671875
1712187349.5551298,980,36349.05859375
1712187350.562257,981,36361.87109375
1712187351.566944,982,36383.1328125
1712187352.5708416,983,36409.421875
1712187353.5777538,984,36425.375
1712187354.5820956,985,36445.61328125
1712187355.5899012,986,36461.3984375
1712187356.5954452,987,36485.734375
1712187357.6023376,988,36513.28125
1712187358.6080606,989,36529.48046875
1712187415.3351655,1045,37674.765625
1712187416.3409493,1046,37723.6015625
1712187417.3459585,1048,37809.84375
1712187418.3512986,1049,37885.69140625
1712187419.3586454,1050,37929.48828125
1712187420.363518,1051,37942.59375
1712187421.3678608,1052,37962.58984375
1712187422.3727155,1053,37985.7734375
1712187423.3797488,1054,38008.27734375
1712187424.386803,1055,38027.484375
1712187425.39379,1056,38041.38671875
1712187426.3978655,1057,38067.9296875
1712187427.4021657,1058,38092.2265625
1712187428.4070125,1059,38104.15234375
1712187429.4119685,1060,38123.0078125
1712187487.473546,1118,39259.22265625
1712187488.4801314,1119,39346.70703125
1712187489.485628,1120,39439.44140625
1712187490.4904873,1121,39478.890625
1712187491.496825,1122,39521.1015625
1712187492.5036101,1123,39543.70703125
1712187493.5080202,1124,39565.5390625
1712187494.5167923,1125,39587.22265625
1712187495.5246408,1126,39608.81640625
1712187496.5295417,1127,39624.73046875
1712187497.5339396,1128,39653.37890625
1712187498.5410655,1129,39672.3828125
1712187499.5463846,1130,39687.65625
1712187500.5528686,1131,39709.12890625
1712187501.5592434,1132,39735.328125
1712187560.6057837,1191,40893.93359375
1712187561.6121905,1192,40980.6796875
1712187562.6184037,1193,41049.41796875
1712187563.6243572,1194,41133.734375
1712187564.6312227,1195,41166.4765625
1712187565.636227,1196,41178.546875
1712187566.6405752,1197,41193.1015625
1712187567.6468768,1198,41216.25
1712187568.653455,1199,41249.70703125
1712187569.657715,1200,41266.4609375
1712187570.6631873,1201,41291.0
1712187571.6694896,1202,41314.5546875
1712187572.6748803,1203,41331.65234375
1712187573.6800227,1204,41347.48828125
1712187574.6880882,1205,41360.1328125
1712187632.5431952,1263,42486.26953125
1712187633.5482235,1264,42609.296875
1712187634.5531805,1265,42672.28515625
1712187635.5590203,1266,42730.0
1712187636.563953,1267,42760.37890625
1712187637.571198,1268,42787.8828125
1712187638.5759223,1269,42813.42578125
1712187639.5820866,1270,42830.390625
1712187640.587555,1271,42846.8125
1712187641.5950422,1272,42871.078125
1712187642.6007872,1273,42902.3125
1712187643.6061,1274,42921.16015625
1712187644.6120763,1275,42938.125
1712187645.6161199,1276,42953.63671875
1712187646.626156,1277,42974.6328125
1712187706.220826,1336,44160.578125
1712187707.2270346,1337,44242.29296875
1712187708.234046,1338,44323.8671875
1712187709.2386146,1339,44402.33203125
1712187710.244928,1340,44422.234375
1712187711.252083,1341,44443.5234375
1712187712.2595055,1342,44457.21484375
1712187713.2641435,1343,44484.20703125
1712187714.2707574,1344,44511.09375
1712187715.277104,1345,44528.9765625
1712187716.2812676,1346,44548.29296875
1712187717.2874556,1347,44570.1640625
1712187718.292047,1348,44585.8125
1712187719.2962282,1349,44601.734375
1712187720.3032622,1350,44623.1328125
1712187777.8204384,1408,45720.0234375
1712187778.826824,1409,45823.10546875
1712187779.8340352,1410,45920.90625
1712187780.8392444,1411,45941.3671875
1712187781.84572,1412,45984.484375
1712187782.8574164,1413,46020.09765625
1712187783.8631473,1414,46048.65625
1712187784.8709023,1415,46068.28125
1712187785.875242,1416,46087.625
1712187786.8800128,1417,46103.63671875
1712187787.8842852,1418,46127.81640625
1712187788.8904154,1419,46156.03125
1712187789.8954036,1420,46173.42578125
1712187790.902762,1421,46194.546875
1712187791.9082363,1422,46218.1953125
1712187850.2339783,1480,47388.3828125
1712187851.239965,1481,47439.20703125
1712187852.2458646,1482,47513.64453125
1712187853.252773,1483,47582.06640625
1712187854.2576616,1484,47631.6015625
1712187855.2652526,1485,47653.53515625
1712187856.2727659,1486,47667.734375
1712187857.2767663,1487,47690.69140625
1712187858.2824748,1488,47711.12109375
1712187859.288625,1489,47724.890625
1712187860.2952986,1490,47741.71875
1712187861.3018699,1491,47760.87890625
1712187862.3061373,1492,47797.01171875
1712187863.3106563,1493,47816.38671875
1712187864.3148658,1494,47830.83203125
1712187919.892266,1550,48965.12890625
1712187920.8975375,1551,49004.72265625
1712187921.9031324,1552,49077.92578125
1712187922.9091017,1553,49123.41015625
1712187923.914032,1554,49196.29296875
1712187924.9183927,1555,49212.22265625
1712187925.9247844,1556,49228.38671875
1712187926.9301221,1557,49244.8828125
1712187927.9346414,1558,49274.8203125
1712187928.9393442,1559,49301.68359375
1712187929.946953,1560,49315.859375
1712187930.9522905,1561,49336.02734375
1712187931.9587018,1562,49363.00390625
1712187932.9636805,1563,49379.1171875
1712187933.9693754,1564,49396.15234375
1712187992.769543,1623,50532.21484375
1712187993.774852,1624,50655.16796875
1712187994.7808688,1625,50715.890625
1712187995.7867725,1626,50773.98046875
1712187996.7911088,1627,50799.6796875
1712187997.796386,1628,50822.6484375
1712187998.802814,1629,50853.29296875
1712187999.8107598,1630,50880.0234375
1712188000.8165298,1631,50896.6796875
1712188001.8222606,1632,50916.6796875
1712188002.8291447,1633,50937.06640625
1712188003.8346908,1634,50954.171875
1712188004.8419821,1635,50975.6484375
1712188005.8476753,1636,50991.8046875
1712188006.8524888,1637,51019.25
1712188068.6699424,1699,52224.00390625
1712188069.676504,1700,52331.66796875
1712188070.6818902,1701,52380.8203125
1712188071.687148,1702,52430.5703125
1712188072.693956,1703,52476.02734375
1712188073.69862,1704,52512.9921875
1712188074.7047074,1705,52532.546875
1712188075.7108154,1706,52554.00390625
1712188076.7147443,1707,52566.5234375
1712188077.7235546,1708,52588.125
1712188078.7287564,1709,52608.6875
1712188079.7345676,1710,52623.69140625
1712188080.74019,1711,52644.19140625
1712188081.744157,1712,52666.98046875
1712188082.7516384,1713,52698.5703125
1712188141.943566,1772,53869.44921875
1712188142.95108,1773,53936.05859375
1712188143.9583814,1774,54055.83203125
1712188144.9653327,1775,54101.06640625
1712188145.9699018,1776,54138.1640625
1712188146.9762106,1777,54154.16015625
1712188147.9805014,1778,54181.07421875
1712188148.9857621,1779,54201.27734375
1712188149.9939144,1780,54214.48046875
1712188151.0015688,1781,54233.96875
1712188152.0079265,1782,54252.8125
1712188153.0150201,1783,54284.65234375
1712188154.0205235,1784,54308.10546875
1712188155.0272555,1785,54326.03125
1712188156.0316978,1786,54346.30078125
1712188215.907376,1846,55543.34765625
1712188216.9150481,1847,55589.1953125
1712188217.9218605,1848,55662.33203125
1712188218.9277508,1849,55734.38671875
1712188219.9324443,1850,55789.63671875
1712188220.9376945,1851,55804.33203125
1712188221.943133,1852,55825.6015625
1712188222.9500272,1853,55846.15234375
1712188223.9542735,1854,55863.734375
1712188224.960243,1855,55882.44140625
1712188225.966276,1856,55896.84375
1712188226.9719684,1857,55925.68359375
1712188227.9765072,1858,55947.99609375
1712188228.9828112,1859,55957.1015625
1712188229.9885945,1860,55976.75390625
1712188286.3738492,1917,57109.9609375
1712188287.3781936,1918,57161.06640625
1712188288.3842053,1919,57259.10546875
1712188289.390417,1920,57329.50390625
1712188290.3955197,1921,57353.87109375
1712188291.402874,1922,57372.3515625
1712188292.408763,1923,57396.8671875
1712188293.4135995,1924,57425.69921875
1712188294.4168801,1925,57439.7421875
1712188295.4226012,1926,57457.2578125
1712188296.4275274,1927,57471.734375
1712188297.4318702,1928,57496.86328125
1712188298.437931,1929,57521.44140625
1712188299.4458234,1930,57533.73046875
1712188300.4529622,1931,57560.3125
1712188359.0498545,1989,58702.97265625
1712188360.0541134,1990,58810.703125
1712188361.0581107,1991,58858.0625
1712188362.0649123,1992,58906.42578125
1712188363.0692265,1993,58963.44140625
1712188364.0751534,1994,58999.8203125
1712188365.0821607,1995,59021.734375
1712188366.0877733,1996,59039.1484375
1712188367.0933108,1997,59052.80078125
1712188368.0990264,1998,59081.6796875
1712188369.1051123,1999,59112.87109375
1712188370.11091,2000,59129.98046875
1712188371.1195982,2001,59148.734375
1712188372.1252816,2002,59165.484375
1712188373.1310966,2003,59189.96875
1712188432.1447208,2062,60358.375
1712188433.1538808,2063,60423.18359375
1712188434.1586368,2064,60536.609375
1712188435.1627376,2065,60588.1484375
1712188436.1686525,2066,60625.1875
1712188437.1744683,2067,60640.2265625
1712188438.1785142,2068,60665.36328125
1712188439.1856794,2069,60685.94140625
1712188440.1888964,2070,60696.51953125
1712188441.19533,2071,60717.734375
1712188442.199893,2072,60737.8515625
1712188443.2067919,2073,60767.9140625
1712188444.21391,2074,60789.5234375
1712188445.2195137,2075,60807.15625
1712188446.2237566,2076,60825.20703125
1712188508.5136383,2139,62002.44921875
1712188509.5192003,2140,62109.03515625
1712188510.525022,2141,62204.20703125
1712188511.5291176,2142,62236.12890625
1712188512.535871,2143,62279.86328125
1712188513.5398898,2144,62316.55859375
1712188514.5458915,2145,62342.58203125
1712188515.5512934,2146,62362.72265625
1712188516.5558155,2147,62376.23046875
1712188517.5625033,2148,62391.98046875
1712188518.5686493,2149,62422.78515625
1712188519.5745406,2150,62441.1875
1712188520.5792632,2151,62452.97265625
1712188521.584145,2152,62473.78515625
1712188522.5915015,2153,62505.10546875
1712188581.4997883,2212,63668.75390625
1712188582.5052707,2213,63740.0
1712188583.5131915,2214,63793.55078125
1712188584.5197694,2215,63900.12109375
1712188585.5259469,2216,63932.8046875
1712188586.5322723,2217,63952.55078125
1712188587.5365546,2218,63968.51171875
1712188588.543061,2219,63993.4375
1712188589.5480824,2220,64018.28515625
1712188590.5541253,2221,64028.55859375
1712188591.5610244,2222,64050.078125
1712188592.5672812,2223,64070.25390625
1712188593.5725458,2224,64094.625
1712188594.5805202,2225,64116.6875
