Wall time,Step,Value
1712255558.9957252,17,4994350.0
1712255560.0011032,18,4994319.0
1712255561.0042465,19,4994275.5
1712255562.0099106,20,4994258.0
1712255563.015093,21,4994239.5
1712255564.018409,22,4994228.5
1712255565.0211625,23,4994218.0
1712255566.0239341,24,4994208.0
1712255567.0308402,25,4994192.0
1712255568.038759,26,4994178.5
1712255569.043479,27,4994164.0
1712255570.0502043,28,4994153.0
1712255571.0601768,29,4994142.0
1712255572.065134,30,4994130.5
1712255573.0719142,31,4994111.5
1712255606.4728703,65,4993675.0
1712255607.475331,66,4993650.5
1712255608.477169,67,4993622.5
1712255609.4801555,68,4993586.0
1712255610.4830494,69,4993572.0
1712255611.485282,70,4993563.0
1712255612.4880328,71,4993550.0
1712255613.4911938,72,4993531.5
1712255614.4930906,73,4993521.5
1712255615.4978406,74,4993506.0
1712255616.5009313,75,4993497.5
1712255617.5038114,76,4993478.0
1712255618.5065863,77,4993467.0
1712255619.5096588,78,4993450.0
1712255620.5124595,79,4993443.5
1712255654.050254,112,4992989.5
1712255655.053376,113,4992955.0
1712255656.060205,114,4992933.5
1712255657.0692601,115,4992910.5
1712255658.0789778,116,4992896.0
1712255659.0887697,117,4992883.5
1712255660.0980046,118,4992873.0
1712255661.1036332,119,4992862.5
1712255662.1064606,120,4992850.0
1712255663.1096525,121,4992833.0
1712255664.114357,122,4992821.0
1712255666.1238608,125,4992796.0
1712255667.126854,126,4992778.5
1712255668.12913,127,4992765.5
1712255701.4811451,160,4992337.0
1712255702.4829378,161,4992309.0
1712255703.489229,162,4992264.0
1712255704.494772,163,4992247.0
1712255705.4973257,164,4992233.5
1712255706.5000944,165,4992224.0
1712255707.5040107,166,4992206.5
1712255708.508228,167,4992191.5
1712255709.5132987,168,4992177.0
1712255710.5171218,169,4992166.5
1712255711.5242987,170,4992155.5
1712255712.530775,171,4992142.5
1712255713.534829,172,4992123.0
1712255714.53919,173,4992110.5
1712255715.5415516,174,4992099.0
1712255748.997197,207,4991655.0
1712255750.0000105,208,4991627.5
1712255751.0036082,209,4991588.0
1712255752.0113404,210,4991570.5
1712255753.0219097,211,4991552.0
1712255754.0281982,212,4991539.5
1712255755.0317338,213,4991528.0
1712255756.038933,214,4991517.5
1712255757.0495188,215,4991498.0
1712255758.059478,216,4991484.5
1712255759.069229,217,4991471.5
1712255760.0750678,218,4991461.5
1712255761.0771549,219,4991449.5
1712255762.079965,220,4991437.5
1712255763.0868442,221,4991422.0
1712255796.4863234,255,4990985.0
1712255797.4894285,256,4990955.0
1712255798.4951913,257,4990930.0
1712255799.4992812,258,4990899.5
1712255800.5012949,259,4990889.5
1712255801.504059,260,4990878.5
1712255802.506827,261,4990865.5
1712255803.513614,262,4990849.5
1712255804.5190995,263,4990835.5
1712255805.521189,264,4990819.5
1712255806.5240362,265,4990808.5
1712255807.5268846,266,4990792.5
1712255808.5294123,267,4990779.5
1712255809.5323787,268,4990765.5
1712255810.5350783,269,4990757.0
1712255843.9599447,302,4990298.5
1712255844.962647,303,4990257.0
1712255845.9653301,304,4990239.5
1712255846.968156,305,4990219.0
1712255847.9720485,306,4990208.0
1712255848.9756942,307,4990196.5
1712255849.9785109,308,4990184.5
1712255850.9810703,309,4990170.5
1712255851.9838989,310,4990158.0
1712255852.987115,311,4990141.5
1712255853.9892206,312,4990129.5
