Wall time,Step,Value
1712255589.1516619,0,1500.0
1712255636.5769947,1,1500.0
1712255684.2101343,2,1500.0
1712255731.6150174,3,1500.0
1712255779.1903265,4,1500.0
1712255826.5966258,5,1500.0
1712255874.081439,6,1500.0
1712255921.5634873,7,1500.0
1712255969.0445414,8,1500.0
1712256016.5182264,9,1500.0
1712256063.9812264,10,1500.0
1712256111.419235,11,1500.0
1712256158.9606586,12,1500.0
1712256206.3237758,13,1500.0
1712256253.865662,14,1500.0
1712256301.2524366,15,1500.0
1712256348.9176357,16,1500.0
1712256396.2945101,17,1500.0
1712256443.8216114,18,1500.0
1712256491.2660418,19,1500.0
1712256538.6996436,20,1500.0
1712256586.1159983,21,1500.0
1712256633.587192,22,1500.0
1712256681.0684013,23,1500.0
1712256728.568549,24,1500.0
1712256775.9500198,25,1500.0
1712256823.5896769,26,1500.0
1712256871.0008967,27,1500.0
1712256918.5258543,28,1500.0
1712256965.9299138,29,1500.0
1712257013.5254648,30,1500.0
1712257060.9458337,31,1500.0
1712257108.349892,32,1500.0
1712257155.8391085,33,1500.0
1712257203.234572,34,1500.0
1712257250.6026752,35,1500.0
1712257298.0648863,36,1500.0
1712257345.512912,37,1500.0
1712257392.9139023,38,1500.0
1712257440.384511,39,1500.0
1712257487.8346443,40,1500.0
1712257535.367878,41,1500.0
1712257582.7562044,42,1500.0
1712257630.2364135,43,1500.0
1712257677.6102684,44,1500.0
1712257725.0579998,45,1500.0
1712257772.5525055,46,1500.0
1712257819.9837403,47,1500.0
1712257867.460039,48,1500.0
1712257914.949277,49,1500.0
1712257962.420649,50,1500.0
1712258009.983906,51,1500.0
1712258057.4804513,52,1500.0
1712258105.0612981,53,1500.0
1712258152.5815678,54,1500.0
1712258200.1479034,55,1500.0
1712258247.6299758,56,1500.0
1712258295.1938806,57,1500.0
1712258342.7770658,58,1500.0
1712258390.3195713,59,1500.0
1712258437.8251579,60,1500.0
1712258485.3999214,61,1500.0
1712258532.868295,62,1500.0
1712258580.4179246,63,1500.0
1712258627.8692236,64,1500.0
1712258675.4666014,65,1500.0
1712258722.9195473,66,1500.0
1712258770.4904017,67,1500.0
1712258817.9036155,68,1500.0
