Wall time,Step,Value
1712255589.151017,0,2874.666748046875
1712255636.5768204,1,2893.800048828125
1712255684.2099478,2,2912.533447265625
1712255731.6148493,3,2931.666748046875
1712255779.1893423,4,2950.666748046875
1712255826.5963607,5,2969.333251953125
1712255874.0811558,6,2988.533447265625
1712255921.5625653,7,3007.466552734375
1712255969.0443773,8,3026.666748046875
1712256016.51806,9,3045.333251953125
1712256063.981066,10,3064.466552734375
1712256111.4188035,11,3083.466552734375
1712256158.9604511,12,3102.199951171875
1712256206.3235395,13,3121.333251953125
1712256253.8653932,14,3140.199951171875
1712256301.2522721,15,3159.466552734375
1712256348.9170299,16,3178.199951171875
1712256396.2943447,17,3197.333251953125
1712256443.8214486,18,3216.199951171875
1712256491.2658901,19,3235.066650390625
1712256538.6994305,20,3254.199951171875
1712256586.1158214,21,3272.933349609375
1712256633.587033,22,3292.199951171875
1712256681.0674715,23,3311.066650390625
1712256728.5682025,24,3329.800048828125
1712256775.949791,25,3348.933349609375
1712256823.5894513,26,3367.800048828125
1712256871.0005307,27,3387.066650390625
1712256918.5249586,28,3405.800048828125
1712256965.929748,29,3424.933349609375
1712257013.5253084,30,3443.800048828125
1712257060.9456701,31,3462.800048828125
1712257108.349732,32,3481.800048828125
1712257155.8381734,33,3500.533447265625
1712257203.2344115,34,3519.800048828125
1712257250.6018279,35,3538.666748046875
1712257298.0647175,36,3557.333251953125
1712257345.5118916,37,3576.533447265625
1712257392.9135165,38,3595.466552734375
1712257440.3843114,39,3614.666748046875
1712257487.8344698,40,3633.333251953125
1712257535.3677154,41,3652.199951171875
1712257582.7560422,42,3671.466552734375
1712257630.2362502,43,3690.199951171875
1712257677.6101108,44,3709.2666015625
1712257725.057652,45,3728.199951171875
1712257772.551544,46,3747.066650390625
1712257819.9835584,47,3766.199951171875
1712257867.4591758,48,3784.933349609375
1712257914.9488041,49,3804.199951171875
1712257962.4204447,50,3823.066650390625
1712258009.9830523,51,3842.13330078125
1712258057.478953,52,3860.933349609375
1712258105.0603456,53,3880.0
1712258152.5806901,54,3899.066650390625
1712258200.1477432,55,3918.0
1712258247.6289382,56,3936.933349609375
1712258295.193661,57,3955.800048828125
1712258342.7761629,58,3975.066650390625
1712258390.3193889,59,3994.066650390625
1712258437.8245122,60,4012.933349609375
1712258485.399709,61,4031.933349609375
1712258532.868114,62,4051.066650390625
1712258580.4177275,63,4069.800048828125
1712258627.8688886,64,4088.933349609375
1712258675.465632,65,4107.7998046875
1712258722.9186218,66,4127.06689453125
1712258770.4897656,67,4145.7998046875
1712258817.90338,68,4165.2001953125
