Wall time,Step,Value
1708190387.045916,0,403.1600036621094
1708190407.3056612,1,434.94000244140625
1708190428.0688167,2,466.67333984375
1708190448.6885376,3,498.40667724609375
1708190470.3651447,4,532.5333251953125
1708190490.7015328,5,564.7000122070312
1708190510.938685,6,597.066650390625
1708190531.062554,7,628.9666748046875
1708190551.2514155,8,660.760009765625
1708190571.4133406,9,692.3666381835938
1708190591.6304984,10,724.0733032226562
1708190611.8910866,11,755.9266967773438
1708190632.1343603,12,787.82666015625
1708190652.912989,13,820.219970703125
1708190673.6144836,14,852.3533325195312
1708190694.211715,15,883.7733154296875
1708190715.84868,16,917.933349609375
1708190735.9621208,17,949.4533081054688
1708190756.119252,18,981.2000122070312
1708190776.3666017,19,1013.719970703125
1708190796.5295477,20,1046.17333984375
1708190816.7064855,21,1078.2467041015625
1708190836.868712,22,1110.0999755859375
1708190857.0255883,23,1141.6533203125
1708190877.2487965,24,1173.1800537109375
1708190897.502821,25,1204.86669921875
1708190918.074389,26,1236.5933837890625
1708190938.7257245,27,1268.433349609375
1708190959.3922596,28,1300.1866455078125
1708190981.054576,29,1335.1400146484375
1708191001.1861458,30,1366.973388671875
1708191021.279541,31,1398.36669921875
1708191041.506717,32,1430.393310546875
1708191061.648649,33,1461.9932861328125
1708191082.1191905,34,1494.3133544921875
1708191102.3943646,35,1525.6666259765625
1708191122.6270869,36,1557.28662109375
1708191143.2585394,37,1589.7733154296875
1708191163.9304078,38,1621.526611328125
1708191184.6202059,39,1653.5
1708191206.1191928,40,1687.0400390625
1708191226.3012908,41,1718.893310546875
1708191246.5171523,42,1750.5
1708191266.667161,43,1781.953369140625
1708191286.9622478,44,1814.5067138671875
1708191307.1944351,45,1846.893310546875
1708191327.4245942,46,1878.800048828125
1708191347.6841831,47,1910.32666015625
1708191368.0026045,48,1942.300048828125
1708191388.6223898,49,1973.806640625
1708191409.3548656,50,2006.280029296875
1708191430.3697932,51,2038.306640625
1708191451.462166,52,2072.659912109375
1708191471.63652,53,2104.56005859375
1708191491.7484128,54,2136.340087890625
1708191511.9740436,55,2168.11328125
1708191532.1704924,56,2199.5732421875
1708191552.2844257,57,2231.239990234375
1708191572.4578016,58,2263.046630859375
1708191592.5101945,59,2294.88671875
1708191612.648204,60,2326.080078125
1708191632.7937474,61,2357.55322265625
1708191652.9490325,62,2389.166748046875
1708191673.3740466,63,2421.126708984375
1708191694.0598116,64,2453.1201171875
1708191714.8620503,65,2484.873291015625
1708191736.2272296,66,2518.2666015625
1708191756.6440275,67,2550.106689453125
1708191776.822684,68,2582.193359375
1708191796.9373019,69,2613.67333984375
1708191817.045136,70,2645.11328125
1708191837.2416556,71,2676.5732421875
1708191857.5784721,72,2708.953369140625
1708191877.8305118,73,2740.966552734375
1708191898.0737956,74,2773.5400390625
1708191918.2895505,75,2805.199951171875
1708191938.7465503,76,2837.13330078125
1708191959.566175,77,2869.11328125
1708191980.388532,78,2900.953369140625
1708192001.876544,79,2934.7265625
1708192022.199276,80,2967.913330078125
1708192042.4384387,81,2999.820068359375
1708192062.6391497,82,3031.800048828125
1708192082.7165267,83,3063.280029296875
1708192102.838354,84,3095.1201171875
1708192122.9297438,85,3126.413330078125
1708192143.0126636,86,3157.973388671875
1708192163.1523333,87,3189.526611328125
1708192183.3107102,88,3220.7734375
1708192203.8247838,89,3253.09326171875
1708192224.5192084,90,3285.1201171875
1708192245.1150355,91,3316.75341796875
1708192265.9158983,92,3348.606689453125
1708192287.0389664,93,3381.5732421875
1708192307.341814,94,3413.63330078125
1708192327.468703,95,3445.393310546875
1708192347.5665064,96,3476.666748046875
1708192367.7583797,97,3508.280029296875
1708192388.1456761,98,3540.639892578125
1708192408.4239922,99,3572.78662109375
1708192428.7050998,100,3605.126708984375
1708192449.078414,101,3636.78662109375
1708192469.7945988,102,3668.28662109375
1708192490.3984604,103,3699.893310546875
1708192511.3201785,104,3732.4599609375
