Wall time,Step,Value
1708182406.3195894,0,0.0
1708182433.3608234,1,200.0
1708182457.5010188,2,400.0
1708182482.6815653,3,600.0
1708182507.932277,4,800.0
1708182532.6709323,5,1036.0
1708182557.6666296,6,1200.0
1708182582.510865,7,1400.0
1708182607.677606,8,1725.0
1708182632.9967499,9,1800.0
1708182657.9724147,10,2000.0
1708182682.933005,11,2200.0
1708182707.74265,12,2428.0
1708182732.9338536,13,2600.0
1708182757.6827147,14,2800.0
1708182782.7531946,15,3134.0
1708182808.013611,16,3246.0
1708182832.3493433,17,3600.0
1708182856.9032955,18,3800.0
1708182880.2671993,19,4000.0
1708182903.313169,20,4200.0
1708182927.3911777,21,4400.0
1708182952.136333,22,4600.0
1708182976.3086293,23,4800.0
1708182999.7152007,24,4954.0
1708183022.9423745,25,5168.0
1708183047.2713513,26,5400.0
1708183071.2149856,27,5600.0
1708183094.1625106,28,5800.0
1708183118.1153944,29,6000.0
1708183142.4140108,30,6200.0
1708183166.7118814,31,6400.0
1708183189.9955747,32,6520.0
1708183213.326553,33,6800.0
1708183237.503816,34,7000.0
1708183261.6143785,35,7200.0
1708183284.9842865,36,7400.0
1708183307.9450657,37,7600.0
1708183332.3832173,38,7800.0
1708183356.0106552,39,8000.0
1708183379.0046985,40,8176.0
1708183402.9230535,41,8376.0
1708183427.1485386,42,8572.0
1708183450.659306,43,8800.0
1708183473.7362196,44,9000.0
1708183498.1266336,45,9200.0
1708183522.708153,46,9400.0
1708183546.144404,47,9600.0
1708183569.2131984,48,9800.0
1708183593.2089844,49,10000.0
1708183617.5476983,50,10200.0
1708183641.1917791,51,10400.0
1708183664.1667254,52,10580.0
1708183688.1070197,53,10779.0
1708183712.101745,54,11000.0
1708183735.4856656,55,11200.0
1708183758.739508,56,11400.0
1708183783.102446,57,11600.0
1708183806.9165342,58,11800.0
1708183830.3788962,59,12000.0
1708183853.6365542,60,12200.0
1708183877.966287,61,12400.0
1708183901.4654667,62,12600.0
1708183924.6062036,63,12736.0
1708183948.4498951,64,13000.0
1708183972.657592,65,13200.0
1708183995.8843448,66,13400.0
1708184018.985163,67,13600.0
1708184043.081257,68,13800.0
1708184066.7346954,69,14000.0
1708184089.710576,70,14200.0
1708184113.7746663,71,14400.0
1708184137.4997685,72,14600.0
1708184160.8510416,73,14800.0
1708184184.2954192,74,15000.0
1708184208.5978575,75,15200.0
1708184232.585643,76,15329.0
1708184255.6874125,77,15557.0
1708184279.22025,78,15800.0
1708184303.7350137,79,16000.0
1708184327.4368136,80,16200.0
1708184350.5738304,81,16400.0
1708184374.0521965,82,16600.0
1708184397.941726,83,16800.0
1708184421.307519,84,17000.0
1708184444.5685325,85,17200.0
1708184468.701112,86,17400.0
1708184492.3721585,87,17600.0
1708184515.5634809,88,17800.0
1708184539.2416015,89,18000.0
1708184563.5861433,90,18200.0
1708184587.3826885,91,18400.0
1708184610.6100886,92,18600.0
1708184634.1343994,93,18800.0
1708184658.0518668,94,19000.0
1708184681.575679,95,19200.0
1708184704.9190512,96,19369.0
1708184728.888069,97,19571.0
1708184752.4954069,98,19800.0
1708184775.8423998,99,20000.0
1708184799.6818347,100,20200.0
1708184823.5045795,101,20400.0
1708184847.1389735,102,20600.0
1708184870.267405,103,20800.0
1708184893.991218,104,21000.0
1708184917.3225985,105,21200.0
1708184940.5977783,106,21400.0
1708184964.4131877,107,21600.0
1708184988.1351478,108,21800.0
1708185011.3436155,109,22000.0
1708185034.9681213,110,22200.0
1708185059.0218885,111,22400.0
1708185082.556015,112,22600.0
1708185105.7914128,113,22800.0
1708185130.3306396,114,23000.0
1708185154.5021296,115,23200.0
1708185178.5734615,116,23400.0
1708185201.7546353,117,23600.0
1708185225.197723,118,23752.0
1708185249.1024032,119,24000.0
1708185272.5019333,120,24186.0
1708185295.7300181,121,24400.0
1708185319.603317,122,24600.0
1708185343.2168024,123,24800.0
1708185366.562182,124,25000.0
1708185390.0135705,125,25200.0
1708185413.9985137,126,25400.0
1708185437.242901,127,25600.0
1708185460.6698792,128,25800.0
1708185484.7915995,129,26000.0
1708185508.7350247,130,26200.0
1708185532.1876929,131,26400.0
1708185555.7972283,132,26600.0
1708185580.1348555,133,26800.0
1708185604.0074432,134,27000.0
1708185627.3842816,135,27200.0
1708185650.6765494,136,27400.0
1708185675.3234773,137,27600.0
