Wall time,Step,Value
1708212851.7783105,0,4995082.5
1708212868.0092547,1,4994778.5
1708212884.4050863,2,4994469.0
1708212900.7574096,3,4994172.5
1708212917.1148431,4,4993860.5
1708212933.4836287,5,4993553.0
1708212949.7882407,6,4993264.0
1708212966.1446834,7,4992954.5
1708212982.4732628,8,4992652.5
1708212998.758754,9,4992357.0
1708213015.0466008,10,4992046.0
1708213031.387643,11,4991760.5
1708213047.7499144,12,4991437.0
1708213064.094281,13,4991139.0
1708213080.4594321,14,4990829.5
1708213096.7780678,15,4990528.5
1708213113.0598636,16,4990236.0
1708213129.4348636,17,4989947.0
1708213145.8697517,18,4989621.0
1708213162.1686451,19,4989335.0
1708213178.5081913,20,4989028.0
1708213194.8560412,21,4988721.0
1708213211.1994934,22,4988420.5
1708213227.5199065,23,4988116.5
1708213243.841447,24,4987807.5
1708213260.1619406,25,4987517.0
1708213276.5101993,26,4987202.5
1708213292.8291457,27,4986898.5
1708213309.109523,28,4986602.5
1708213325.3998091,29,4986283.5
1708213341.7371778,30,4986004.0
1708213358.0791137,31,4985687.5
1708213374.3862133,32,4985390.5
1708213390.7174013,33,4985066.0
1708213407.053903,34,4984770.5
1708213423.3835187,35,4984482.0
1708213439.7327714,36,4984192.5
1708213456.2244103,37,4983861.0
1708213472.5213618,38,4983573.5
1708213488.8003247,39,4983264.0
1708213505.165779,40,4982958.0
1708213521.509262,41,4982655.5
1708213537.8555887,42,4982357.0
1708213554.201744,43,4982047.0
1708213570.5293033,44,4981743.0
1708213586.8849292,45,4981443.0
1708213603.2493997,46,4981141.0
1708213619.5584774,47,4980849.5
1708213635.8861685,48,4980532.0
1708213652.2157922,49,4980238.5
1708213668.5203044,50,4979931.0
1708213684.7854881,51,4979637.0
1708213701.1078107,52,4979311.5
1708213717.4112587,53,4979019.0
1708213733.7257853,54,4978727.0
1708213750.0638247,55,4978433.0
1708213766.5249798,56,4978102.5
1708213782.7811637,57,4977819.5
1708213799.0441015,58,4977513.5
1708213815.433478,59,4977203.0
1708213831.8012445,60,4976901.5
1708213848.0795126,61,4976592.5
1708213864.3970184,62,4976286.0
1708213880.6877306,63,4975994.0
1708213897.0520053,64,4975677.5
1708213913.3508055,65,4975399.5
1708213929.6569908,66,4975085.0
1708213945.941828,67,4974772.0
1708213962.2575805,68,4974484.0
1708213978.5428498,69,4974162.5
1708213994.8319926,70,4973870.5
1708214011.1229804,71,4973539.0
1708214027.4435225,72,4973255.5
1708214043.712928,73,4972953.0
1708214059.9558203,74,4972664.0
1708214076.3118248,75,4972340.5
1708214092.624544,76,4972052.0
1708214108.920554,77,4971744.5
1708214125.283276,78,4971452.5
1708214141.5843863,79,4971128.0
1708214157.9235256,80,4970833.5
1708214174.2267025,81,4970543.0
1708214190.5698478,82,4970250.5
1708214206.977121,83,4969916.5
1708214223.273887,84,4969630.5
1708214239.6239023,85,4969330.0
1708214255.984153,86,4969018.0
1708214272.3198874,87,4968715.0
1708214288.6150753,88,4968409.5
1708214304.9610288,89,4968102.0
1708214321.2686622,90,4967791.0
1708214337.5734673,91,4967486.5
1708214353.9097886,92,4967207.0
1708214370.1993258,93,4966891.0
1708214386.5578897,94,4966565.5
1708214402.8875656,95,4966291.5
1708214419.228553,96,4965976.0
1708214435.56069,97,4965683.0
1708214451.8583317,98,4965355.5
1708214468.1817186,99,4965066.0
1708214484.491929,100,4964774.5
1708214500.8533647,101,4964472.0
1708214517.2927716,102,4964142.0
1708214533.5857954,103,4963861.0
1708214549.8692482,104,4963560.0
1708214566.1893466,105,4963266.5
1708214582.573573,106,4962946.0
1708214598.8896549,107,4962637.5
1708214615.1968067,108,4962329.5
1708214631.4670508,109,4962042.0
1708214647.825761,110,4961715.5
1708214664.1145582,111,4961441.0
1708214680.4066143,112,4961133.5
1708214696.7344522,113,4960819.5
1708214713.0272732,114,4960526.0
1708214729.3318923,115,4960210.5
1708214745.6226113,116,4959910.0
1708214761.9124258,117,4959599.5
1708214778.2629578,118,4959297.5
1708214794.58557,119,4958993.0
1708214810.872889,120,4958702.5
1708214827.195017,121,4958376.0
1708214843.5236237,122,4958086.5
1708214859.8184361,123,4957788.0
1708214876.1422195,124,4957495.0
1708214892.4925773,125,4957169.0
1708214908.84095,126,4956873.0
1708214925.17278,127,4956578.0
1708214941.538204,128,4956273.0
1708214957.8558748,129,4955954.5
1708214974.1517675,130,4955674.0
1708214990.5001106,131,4955368.5
1708215006.8780599,132,4955057.5
1708215023.2200437,133,4954756.0
1708215039.5830925,134,4954450.0
1708215055.9276989,135,4954143.5
1708215072.2260168,136,4953837.5
1708215088.5419612,137,4953534.0
1708215104.831092,138,4953253.0
1708215121.1078312,139,4952943.5
1708215137.4640677,140,4952618.5
1708215153.7977755,141,4952329.5
1708215170.109149,142,4952027.0
1708215186.3644757,143,4951731.5
1708215202.622207,144,4951406.0
1708215218.9245677,145,4951122.5
1708215235.23111,146,4950820.0
1708215251.5656903,147,4950530.5
1708215268.001311,148,4950194.0
1708215284.2982438,149,4949918.5
1708215300.5930774,150,4949613.0
1708215316.9076488,151,4949315.5
1708215333.295948,152,4948994.0
1708215349.6291633,153,4948695.0
1708215365.9314222,154,4948399.5
1708215382.2497666,155,4948089.0
1708215398.6258385,156,4947777.5
1708215414.9257607,157,4947487.0
1708215431.231648,158,4947188.0
1708215447.584584,159,4946878.0
1708215463.9514573,160,4946573.0
1708215480.264207,161,4946261.5
1708215496.595113,162,4945963.5
1708215512.8927236,163,4945661.5
1708215529.223044,164,4945355.0
1708215545.5546744,165,4945057.0
1708215561.914949,166,4944762.0
1708215578.3741493,167,4944434.0
1708215594.6882393,168,4944152.0
1708215610.9698067,169,4943845.5
1708215627.2811718,170,4943550.0
1708215643.6666284,171,4943233.0
1708215660.0566256,172,4942936.0
1708215676.4328673,173,4942629.5
1708215692.815933,174,4942326.0
1708215709.1971853,175,4942019.5
