Wall time,Step,Value
1708203605.8949604,4,990374159974400.0
1708203605.8979096,5,3902187436507136.0
1708203605.9633026,11,1790022109888512.0
1708203623.6483355,15,195385964363776.0
1708203623.6512673,16,261188101341184.0
1708203623.670548,19,23436548112384.0
1708203623.673699,20,2032561160192.0
1708203623.6760662,21,46383478341632.0
1708203623.680256,23,128660644298752.0
1708203623.6978505,24,99219859832832.0
1708203641.761388,27,25618014011392.0
1708203641.7748353,28,34732339363840.0
1708203641.828062,34,16083783254016.0
1708203659.5338628,37,54951384.0
1708203659.5362973,38,1842917801984.0
1708203659.5381982,39,5112437669888.0
1708203659.5444386,41,5027041116160.0
1708203659.5960119,48,1264095985664.0
1708203677.4278045,49,105136864.0
1708203677.4312236,50,564866056192.0
1708203677.4371727,52,1825243529216.0
1708203677.4515224,55,2009027712.0
1708203677.4668326,58,1002001596416.0
1708203695.244426,61,72854360.0
1708203695.2768748,62,194610544640.0
1708203695.3200495,63,513811873792.0
1708203695.331223,64,572011249664.0
1708203695.337424,66,54711857152.0
1708203695.3405535,67,18936133632.0
1708203695.3526542,68,197918457856.0
1708203695.3660173,69,335661924352.0
1708203695.3711247,71,95488434176.0
1708203695.3892286,72,466407584.0
1708203713.0323575,78,8679463936.0
1708203713.0491147,80,68287442944.0
1708203713.0523138,81,95781863424.0
1708203713.0591083,83,13783876608.0
1708203730.7880235,86,12257848320.0
1708203730.803259,90,1223653760.0
1708203730.806303,91,4283542784.0
1708203748.5457444,100,5582492160.0
1708203748.5483708,101,2361805824.0
1708203748.5665634,104,3122119936.0
1708203748.5767677,107,68269896.0
1708203748.5958586,108,537028992.0
1708203766.4140813,110,198341968.0
1708203766.6459718,117,401866336.0
1708203784.4497304,122,40007824.0
1708203784.4634056,126,3045380.75
1708203784.465478,127,39864332.0
1708203784.4695437,129,57501044.0
1708203784.4731789,131,3865085.5
1708203784.4906745,132,37278336.0
1708203802.3955796,133,6598966.5
1708203802.4131823,137,7853612.5
1708203802.4163725,138,2527930.0
1708203820.0193844,145,7138836.0
1708203820.023661,147,775479.75
1708203820.0254092,148,4507933.5
1708203820.122004,151,716795.1875
