Wall time,Step,Value
1708026249.6457527,0,4990471.5
1708026271.627102,1,4989742.0
1708026297.350868,2,4988859.5
1708026319.3363209,3,4988119.5
1708026341.822058,4,4987374.0
1708026365.0109975,5,4986595.0
1708026389.5825918,6,4985761.0
1708026416.0258229,7,4984821.5
1708026443.4591255,8,4983866.0
1708026470.0205772,9,4982907.0
1708026496.377593,10,4981969.0
1708026523.7827427,11,4981004.0
1708026550.6468928,12,4980032.5
1708026577.5019066,13,4979080.5
1708026604.1881738,14,4978137.0
1708026630.6152973,15,4977194.0
1708026657.4552078,16,4976246.0
1708026683.863651,17,4975308.5
1708026709.9678338,18,4974375.0
1708026736.3348832,19,4973448.5
1708026763.1225219,20,4972506.5
1708026788.7630656,21,4971615.0
1708026815.2987354,22,4970663.0
1708026840.9844415,23,4969761.5
1708026867.8098524,24,4968818.5
1708026893.4971607,25,4967911.0
1708026919.0251791,26,4967009.0
1708026944.427702,27,4966115.0
1708026969.870708,28,4965205.0
1708026995.3927064,29,4964315.5
1708027021.1498284,30,4963414.5
1708027047.7492,31,4962475.0
1708027073.8524065,32,4961548.5
1708027099.3387337,33,4960647.5
1708027124.515704,34,4959757.5
1708027149.0878327,35,4958910.0
1708027174.6508336,36,4957998.5
1708027200.3538442,37,4957085.0
1708027225.741392,38,4956186.5
1708027251.046715,39,4955306.0
1708027276.1906283,40,4954421.5
1708027302.5569758,41,4953495.5
1708027329.1827722,42,4952550.5
1708027355.0230937,43,4951629.5
1708027381.0399425,44,4950709.5
1708027407.041202,45,4949792.0
1708027433.7868538,46,4948847.0
1708027459.592025,47,4947929.5
1708027485.7646418,48,4946994.0
1708027511.5823085,49,4946083.0
1708027537.4245517,50,4945170.5
1708027563.5408754,51,4944242.5
1708027589.01313,52,4943335.0
1708027614.2527246,53,4942428.0
1708027639.7827284,54,4941538.0
1708027665.3347886,55,4940620.5
1708027691.5188103,56,4939691.5
1708027716.8972127,57,4938800.0
1708027743.5142033,58,4937868.5
1708027768.8781855,59,4936974.0
1708027792.5191538,60,4936158.0
1708027818.011802,61,4935277.0
1708027844.078537,62,4934351.0
1708027869.7445564,63,4933439.5
1708027894.998642,64,4932544.5
1708027917.8621294,65,4931783.0
1708027941.9590416,66,4930959.5
1708027965.8363163,67,4930143.5
1708027989.7997355,68,4929321.5
1708028012.9382548,69,4928535.0
1708028038.8470902,70,4927629.5
1708028063.3845534,71,4926768.5
1708028089.0731146,72,4925863.0
1708028114.033888,73,4924992.5
1708028139.2903497,74,4924096.0
1708028161.8653016,75,4923328.5
1708028186.457546,76,4922473.5
1708028210.0404959,77,4921665.5
1708028233.7527277,78,4920850.5
1708028258.6972604,79,4919975.5
1708028284.0046127,80,4919088.5
1708028309.3590028,81,4918183.0
1708028334.6676419,82,4917284.0
1708028360.187516,83,4916371.5
1708028385.9282954,84,4915447.0
1708028410.922786,85,4914569.5
1708028435.981498,86,4913685.5
1708028461.0903168,87,4912802.0
1708028485.6899035,88,4911932.5
1708028511.4384623,89,4911020.5
1708028537.2242148,90,4910102.0
1708028563.0143557,91,4909191.0
1708028589.3664813,92,4908260.5
1708028614.3865957,93,4907378.5
1708028639.1685696,94,4906505.0
1708028664.1678174,95,4905626.5
1708028689.3423386,96,4904743.0
1708028714.1558802,97,4903863.5
1708028738.7092617,98,4903006.5
1708028764.574315,99,4902100.0
1708028788.417879,100,4901268.0
1708028811.0924683,101,4900516.0
1708028835.4602754,102,4899667.0
1708028859.1714525,103,4898843.0
1708028883.8262136,104,4897981.0
1708028909.9371333,105,4897048.5
1708028935.7186565,106,4896127.5
1708028961.0912125,107,4895221.0
1708028983.7332106,108,4894463.5
1708029006.8906631,109,4893681.0
1708029030.7751226,110,4892862.0
1708029053.3473608,111,4892109.5
1708029076.7115028,112,4891310.0
1708029100.6375518,113,4890495.0
1708029122.791942,114,4889751.5
1708029145.7543633,115,4888985.0
1708029167.8264022,116,4888233.0
1708029192.9586575,117,4887351.5
1708029218.4370842,118,4886448.0
1708029243.96971,119,4885552.0
1708029269.5362842,120,4884660.5
1708029294.850969,121,4883774.0
1708029318.2469382,122,4882965.0
1708029341.3678,123,4882194.0
1708029364.7882257,124,4881396.0
1708029388.4292774,125,4880591.5
1708029412.0511968,126,4879789.5
1708029434.996682,127,4879017.0
1708029458.0530498,128,4878228.5
1708029481.4795153,129,4877437.0
1708029505.7634845,130,4876611.0
