Wall time,Step,Value
1708124586.3097267,0,7461.0
1708124616.433207,1,8099.0
1708124640.5760634,2,8740.0
1708124667.0466156,3,9367.0
1708124695.556849,4,10078.0
1708124722.7837162,5,10583.0
1708124747.1911507,6,11273.0
1708124777.117684,7,11999.0
1708124807.2468605,8,12749.0
1708124837.053066,9,13425.0
1708124866.7154107,10,14066.0
1708124895.8138447,11,14763.0
1708124924.7374291,12,15448.0
1708124953.0281549,13,16197.0
1708124982.545378,14,16805.0
1708125012.122167,15,17699.0
1708125041.478639,16,18278.0
1708125070.0891445,17,19003.0
1708125098.0015094,18,19662.0
1708125127.0585759,19,20457.0
1708125155.6753614,20,21038.0
1708125183.8536146,21,21731.0
1708125212.4589744,22,22477.0
1708125241.2259426,23,23257.0
1708125268.871648,24,24043.0
1708125296.6363118,25,24596.0
1708125324.7360823,26,25327.0
1708125352.8154135,27,26151.0
1708125381.8643863,28,26947.0
1708125410.1892872,29,27694.0
1708125438.0453715,30,28264.0
1708125467.2040582,31,29080.0
1708125495.6794598,32,29895.0
1708125523.606667,33,30796.0
1708125552.5109277,34,31326.0
1708125580.591154,35,32100.0
1708125608.4654071,36,32797.0
1708125637.332845,37,33667.0
1708125665.1620831,38,34456.0
1708125692.7442098,39,35032.0
1708125720.7831645,40,35752.0
1708125748.3195376,41,36578.0
1708125776.7258677,42,37419.0
1708125805.2007258,43,38246.0
1708125833.4099357,44,38845.0
1708125862.9095974,45,39675.0
1708125891.90064,46,40493.0
1708125920.2163732,47,41302.0
1708125948.4307563,48,42182.0
1708125978.569225,49,43028.0
1708126008.8446722,50,43953.0
1708126038.7858622,51,44568.0
1708126068.0932407,52,45397.0
1708126096.397134,53,46275.0
1708126123.8139758,54,47076.0
1708126152.0476465,55,47928.0
1708126179.3560884,56,48575.0
1708126207.3597493,57,49424.0
1708126234.3437521,58,50176.0
1708126262.1728811,59,51107.0
1708126289.3481226,60,51950.0
1708126317.3863528,61,52571.0
1708126344.5728433,62,53311.0
1708126372.5353065,63,54183.0
1708126399.8672364,64,55081.0
1708126427.9934874,65,55750.0
1708126456.758088,66,56615.0
1708126485.36318,67,57359.0
1708126513.33972,68,58307.0
1708126540.1106238,69,59233.0
1708126568.4127815,70,59819.0
1708126597.1694925,71,60632.0
1708126625.899851,72,61444.0
1708126653.8402653,73,62378.0
1708126682.0181262,74,63270.0
1708126710.8548627,75,64165.0
1708126740.1085043,76,64785.0
1708126768.940123,77,65708.0
1708126798.4823136,78,66590.0
1708126827.7912571,79,67471.0
1708126855.5275319,80,68380.0
1708126884.4838085,81,69292.0
1708126913.4512346,82,70201.0
1708126942.5434337,83,71095.0
1708126971.733333,84,71758.0
1708127000.75855,85,72670.0
1708127029.247368,86,73602.0
1708127057.5651674,87,74605.0
1708127085.9717195,88,75516.0
1708127113.503858,89,76118.0
1708127139.427929,90,76916.0
1708127164.5501685,91,77803.0
1708127190.0911326,92,78762.0
1708127214.6781242,93,79337.0
1708127240.1099863,94,80157.0
1708127265.2848485,95,80955.0
1708127290.5320995,96,81874.0
1708127316.6915522,97,82457.0
1708127342.2311616,98,83278.0
1708127367.640244,99,84190.0
1708127393.8050067,100,85030.0
1708127419.140509,101,85643.0
1708127448.1928005,102,86557.0
1708127477.681944,103,87435.0
1708127506.839317,104,88519.0
1708127536.0793836,105,89437.0
1708127565.6083312,106,90404.0
1708127593.5055223,107,90985.0
1708127620.4772868,108,91924.0
1708127646.6030948,109,92770.0
1708127675.6826293,110,93901.0
1708127704.9565961,111,94794.0
1708127733.764363,112,95633.0
1708127761.5351562,113,96267.0
1708127789.4653542,114,97179.0
1708127816.0623195,115,98115.0
1708127841.156891,116,99097.0
