Wall time,Step,Value
1708014212.520352,0,334.02667236328125
1708014243.7138329,1,375.5466613769531
1708014276.0352051,2,416.7288818359375
1708014309.4777517,3,459.8622131347656
1708014341.3858476,4,530.7555541992188
1708014374.582942,5,583.7066650390625
1708014404.6639245,6,628.6400146484375
1708014436.7800238,7,671.5288696289062
1708014470.3380275,8,718.848876953125
1708014502.135751,9,771.9866943359375
1708014535.1238213,10,816.8577880859375
1708014566.9410977,11,859.8133544921875
1708014600.309316,12,904.7555541992188
1708014631.9081113,13,964.9644165039062
1708014664.955749,14,1005.7999877929688
1708014696.6671512,15,1049.7110595703125
1708014729.3979785,16,1094.7689208984375
1708014761.4726157,17,1139.1689453125
1708014793.5499072,18,1194.7733154296875
1708014826.114735,19,1238.631103515625
1708014857.8166778,20,1285.8978271484375
1708014890.328524,21,1331.408935546875
1708014921.3822098,22,1382.951171875
1708014953.1564798,23,1425.5244140625
1708014985.6916516,24,1472.2044677734375
1708015017.191248,25,1516.7510986328125
1708015049.7720559,26,1561.5955810546875
1708015080.9495938,27,1603.2755126953125
1708015111.9915748,28,1659.4000244140625
1708015143.5658813,29,1704.7022705078125
1708015175.8552496,30,1746.6666259765625
1708015206.8480866,31,1797.0133056640625
1708015238.057797,32,1832.1644287109375
1708015269.9164417,33,1879.586669921875
1708015300.905497,34,1940.2266845703125
1708015331.1532815,35,2005.9066162109375
1708015361.190588,36,2043.12890625
1708015391.3136816,37,2084.0400390625
1708015421.1264238,38,2129.69775390625
1708015451.2850835,39,2182.6044921875
1708015481.2043295,40,2230.7021484375
1708015510.932121,41,2266.90673828125
1708015540.5173101,42,2308.977783203125
1708015570.6276162,43,2354.7822265625
1708015600.992609,44,2409.893310546875
1708015631.0047464,45,2457.43115234375
1708015660.3716466,46,2488.2265625
1708015689.762822,47,2534.497802734375
1708015720.3693707,48,2580.337890625
1708015749.9356737,49,2628.151123046875
1708015780.202189,50,2687.715576171875
1708015810.240534,51,2716.4755859375
1708015840.2374663,52,2759.30224609375
1708015870.0334756,53,2805.551025390625
1708015899.9010856,54,2855.1376953125
1708015931.019238,55,2913.7421875
1708015960.7504015,56,2943.635498046875
1708015990.5909553,57,2984.662109375
1708016020.6361115,58,3030.942138671875
1708016049.9280546,59,3084.04443359375
1708016080.0509775,60,3137.493408203125
1708016109.6744285,61,3184.075439453125
1708016140.1469831,62,3207.17333984375
1708016169.6532102,63,3257.12451171875
1708016200.3565636,64,3309.2666015625
1708016231.045542,65,3364.43115234375
1708016261.839056,66,3408.764404296875
1708016290.8029392,67,3444.795654296875
1708016319.6176925,68,3483.09765625
1708016349.4566195,69,3528.8310546875
1708016380.2184935,70,3581.25341796875
1708016410.2026832,71,3637.3955078125
1708016440.2099726,72,3667.186767578125
1708016470.3324554,73,3708.275634765625
1708016500.2591398,74,3754.9111328125
1708016530.410482,75,3801.977783203125
1708016560.447985,76,3849.719970703125
1708016590.7418034,77,3908.662109375
1708016619.1305182,78,3930.56884765625
1708016648.2672539,79,3975.284423828125
1708016677.3585439,80,4028.662109375
1708016706.6964166,81,4075.208984375
1708016736.4442117,82,4122.76904296875
1708016766.9431696,83,4161.82666015625
1708016796.510253,84,4202.43994140625
1708016826.9828153,85,4244.74658203125
1708016856.7267504,86,4290.44873046875
1708016885.7108524,87,4341.2001953125
1708016915.1863542,88,4394.6044921875
1708016944.141764,89,4439.56884765625
1708016972.6907487,90,4477.7822265625
1708017001.36223,91,4507.80908203125
1708017029.9095101,92,4550.80908203125
1708017060.450465,93,4600.1953125
1708017089.5848415,94,4648.8134765625
1708017118.2364774,95,4702.93798828125
1708017145.0780745,96,4729.8798828125
1708017174.6500366,97,4762.68017578125
1708017204.4968035,98,4816.5068359375
1708017234.3356824,99,4864.92431640625
1708017263.573975,100,4918.41357421875
1708017290.8183267,101,4950.5244140625
1708017318.9165561,102,4985.83544921875
1708017347.2893786,103,5023.65771484375
1708017374.8156672,104,5075.19091796875
1708017403.5805469,105,5125.93310546875
1708017432.0142305,106,5158.951171875
1708017460.9246688,107,5201.7333984375
1708017490.091883,108,5238.4931640625
