Wall time,Step,Value
1708053882.5597873,0,98.0
1708053899.576053,1,149.0
1708053916.6754053,2,202.0
1708053933.8311522,3,255.0
1708053950.8686197,4,306.0
1708053968.523324,5,381.0
1708053985.9882529,6,444.0
1708054004.130754,7,538.0
1708054021.1294513,8,589.0
1708054038.8178823,9,665.0
1708054055.8755312,10,717.0
1708054072.919455,11,768.0
1708054090.789188,12,840.0
1708054107.8234568,13,891.0
1708054125.5579367,14,964.0
1708054143.1847646,15,1037.0
1708054160.9243069,16,1107.0
1708054177.9681888,17,1158.0
1708054195.208101,18,1210.0
1708054212.269464,19,1262.0
1708054229.3780718,20,1314.0
1708054246.4033473,21,1367.0
1708054263.4421055,22,1420.0
1708054280.6917186,23,1473.0
1708054297.743754,24,1528.0
1708054314.939507,25,1582.0
1708054332.083995,26,1637.0
1708054349.354242,27,1692.0
1708054366.4787784,28,1746.0
1708054383.555406,29,1801.0
1708054400.8267775,30,1856.0
1708054417.932812,31,1911.0
1708054435.151311,32,1965.0
1708054452.2596574,33,2019.0
1708054469.4771357,34,2073.0
1708054486.5684037,35,2127.0
1708054503.6654546,36,2181.0
1708054520.9873645,37,2237.0
1708054538.0917506,38,2292.0
1708054555.3321981,39,2348.0
1708054572.529704,40,2404.0
1708054589.8002958,41,2460.0
1708054606.9180827,42,2516.0
1708054624.082831,43,2572.0
1708054641.3947554,44,2628.0
1708054659.6148677,45,2723.0
1708054677.746254,46,2816.0
1708054695.9767275,47,2909.0
1708054714.1381288,48,3005.0
1708054732.5545566,49,3104.0
1708054750.9258645,50,3202.0
1708054769.133834,51,3300.0
1708054787.4976544,52,3398.0
1708054805.7897325,53,3494.0
1708054823.8680649,54,3585.0
1708054841.6032658,55,3653.0
1708054858.9265306,56,3715.0
1708054876.5157075,57,3778.0
1708054893.8956327,58,3841.0
1708054911.4589527,59,3903.0
1708054929.6858215,60,4000.0
1708054947.9358172,61,4097.0
1708054965.9477496,62,4181.0
1708054983.8061118,63,4265.0
1708055001.9865723,64,4349.0
1708055019.9207754,65,4434.0
1708055037.870442,66,4519.0
1708055056.18496,67,4618.0
1708055074.494165,68,4717.0
1708055092.9338112,69,4816.0
1708055111.2747629,70,4915.0
1708055129.5497613,71,5014.0
1708055147.9451222,72,5113.0
1708055166.2634754,73,5212.0
1708055184.5177257,74,5310.0
1708055202.9360669,75,5408.0
1708055220.5266984,76,5476.0
1708055237.94599,77,5545.0
1708055255.5085886,78,5614.0
1708055272.9108026,79,5683.0
1708055290.4937708,80,5752.0
1708055308.6012096,81,5840.0
1708055326.7900872,82,5937.0
1708055345.0503056,83,6033.0
1708055363.2760878,84,6128.0
1708055381.5617666,85,6223.0
1708055399.5846667,86,6313.0
1708055417.7515438,87,6404.0
1708055435.7060559,88,6491.0
1708055453.5269976,89,6570.0
1708055471.3713953,90,6647.0
1708055489.0302665,91,6722.0
1708055507.0557196,92,6809.0
1708055525.2544982,93,6906.0
1708055543.3909745,94,6998.0
1708055561.616901,95,7090.0
1708055579.7182045,96,7181.0
1708055598.0100434,97,7272.0
1708055616.1715004,98,7368.0
1708055634.353704,99,7464.0
1708055652.6713676,100,7560.0
1708055670.9426923,101,7656.0
1708055689.1399415,102,7752.0
1708055707.474971,103,7848.0
1708055725.683748,104,7944.0
1708055743.9375994,105,8040.0
1708055762.0989127,106,8136.0
1708055780.259605,107,8232.0
1708055798.5376263,108,8327.0
1708055816.7499354,109,8422.0
1708055835.0364523,110,8517.0
1708055853.3257763,111,8606.0
1708055871.4787157,112,8695.0
1708055889.451104,113,8783.0
1708055907.4901752,114,8871.0
1708055925.5266027,115,8961.0
1708055943.6777735,116,9051.0
1708055961.8401651,117,9141.0
1708055980.0593073,118,9238.0
1708055998.5228486,119,9335.0
1708056016.6964343,120,9432.0
1708056034.9339638,121,9529.0
1708056053.4114232,122,9626.0
1708056071.5956311,123,9723.0
1708056089.8187363,124,9820.0
1708056108.0612373,125,9917.0
1708056126.3285725,126,10014.0
1708056144.4797845,127,10111.0
1708056162.6715033,128,10208.0
1708056180.7988005,129,10305.0
1708056198.9715042,130,10399.0
1708056217.183151,131,10493.0
1708056235.3261049,132,10587.0
1708056253.7595236,133,10682.0
1708056272.0500607,134,10779.0
1708056290.279951,135,10876.0
1708056308.7050982,136,10973.0
1708056326.8922138,137,11070.0
1708056345.0867252,138,11167.0
1708056363.3635545,139,11263.0
1708056381.603728,140,11359.0
1708056399.793906,141,11455.0
1708056417.964907,142,11552.0
1708056436.18573,143,11649.0
1708056454.3782148,144,11746.0
1708056472.6994631,145,11843.0
1708056490.8001428,146,11940.0
1708056509.124214,147,12037.0
1708056527.5202155,148,12134.0
1708056545.7322493,149,12232.0
1708056564.304676,150,12329.0
