Wall time,Step,Value
1708041826.098356,0,0.0
1708041844.2978568,1,0.0
1708041863.5228822,2,0.0
1708041881.5976985,3,0.0
1708041899.4155576,4,0.0
1708041917.6036305,5,0.0
1708041935.9295957,6,0.0
1708041955.3922393,7,0.0
1708041973.974057,8,0.0
1708041993.4176877,9,0.0
1708042011.955625,10,0.0
1708042030.4367135,11,0.0
1708042049.0440083,12,0.0
1708042067.3939302,13,0.0
1708042087.125911,14,0.0
1708042106.6265376,15,0.0
1708042126.094764,16,0.0
1708042144.737843,17,0.0
1708042163.813761,18,0.0
1708042182.586098,19,0.0
1708042200.6755397,20,0.0
1708042218.7789586,21,0.0
1708042236.8180876,22,0.0
1708042254.553791,23,0.0
1708042272.36163,24,0.0
1708042290.120599,25,0.0
1708042309.1582804,26,0.0
1708042328.8994503,27,0.0
1708042348.831194,28,0.0
1708042368.5823333,29,0.0
1708042388.276986,30,0.0
1708042407.9668388,31,0.0
1708042427.4576547,32,0.0
1708042447.0660338,33,0.0
1708042466.6423218,34,0.0
1708042486.2059672,35,0.0
1708042505.829862,36,0.0
1708042525.697553,37,0.0
1708042545.6156254,38,0.0
1708042565.6523538,39,0.0
1708042585.5299559,40,0.0
1708042605.4912412,41,0.0
1708042625.5913305,42,0.0
1708042645.6598713,43,0.0
1708042665.7554,44,0.0
1708042685.7414691,45,0.0
1708042705.712444,46,0.0
1708042725.7487798,47,0.0
1708042745.7624354,48,0.0
1708042765.8503408,49,0.0
1708042785.9735565,50,0.0
1708042805.968072,51,0.0
1708042825.8716671,52,0.0
1708042845.8821428,53,0.0
1708042865.858351,54,0.0
1708042885.8843887,55,0.0
1708042905.9246354,56,0.0
1708042925.9534974,57,0.0
1708042945.9284883,58,0.0
1708042966.0066757,59,0.0
1708042985.9866219,60,0.0
1708043005.9778125,61,0.0
1708043025.9829266,62,0.0
1708043046.0584433,63,0.0
1708043066.0312476,64,0.0
1708043086.084391,65,0.0
1708043106.1721313,66,0.0
1708043126.2698617,67,0.0
1708043146.2064996,68,0.0
1708043166.1893358,69,0.0
1708043186.0841455,70,0.0
1708043206.085852,71,0.0
1708043226.0633109,72,0.0
1708043246.0150607,73,0.0
1708043266.1737127,74,0.0
1708043286.1052766,75,0.0
1708043305.9698784,76,0.0
1708043325.8365726,77,0.0
1708043345.3215044,78,0.0
1708043364.9396482,79,0.0
1708043384.4858363,80,0.0
1708043403.8575552,81,0.0
1708043423.159564,82,0.0
1708043442.5630324,83,0.0
1708043461.87762,84,0.0
1708043481.422279,85,0.0
1708043501.1867552,86,0.0
1708043520.961823,87,0.0
1708043540.351148,88,0.0
1708043559.8000133,89,0.0
1708043579.1348531,90,0.0
1708043598.4496717,91,0.0
1708043617.871551,92,0.0
1708043637.1709998,93,0.0
1708043656.6629758,94,0.0
1708043676.47815,95,0.0
1708043696.2144349,96,0.0
1708043715.8166223,97,0.0
1708043735.2262678,98,0.0
1708043754.6677523,99,0.0
1708043774.1041045,100,0.0
1708043793.476754,101,0.0
1708043812.9815578,102,0.0
1708043832.351313,103,0.0
1708043851.8692586,104,0.0
1708043871.6794791,105,0.0
1708043891.42999,106,0.0
1708043910.9338584,107,0.0
1708043930.3443494,108,0.0
1708043949.7955763,109,0.0
1708043969.2100198,110,0.0
1708043988.5027273,111,0.0
1708044007.8264153,112,0.0
1708044027.2196436,113,0.0
1708044046.9150057,114,0.0
1708044066.7342086,115,0.0
1708044086.558364,116,0.0
1708044106.0338216,117,0.0
1708044125.5534148,118,0.0
1708044145.0475576,119,0.0
1708044164.4947507,120,0.0
1708044183.8707786,121,0.0
1708044203.4118938,122,0.0
1708044222.7462146,123,0.0
1708044242.2963233,124,0.0
1708044262.0082893,125,0.0
1708044281.7617817,126,0.0
1708044301.1312208,127,0.0
1708044320.470414,128,0.0
1708044339.6999922,129,0.0
1708044359.0445485,130,0.0
1708044378.3873625,131,0.0
1708044397.7409937,132,0.0
1708044417.3933737,133,0.0
1708044437.2108133,134,0.0
1708044456.9172873,135,0.0
1708044476.417616,136,0.0
1708044495.8994052,137,0.0
1708044515.3109958,138,0.0
1708044534.7271795,139,0.0
1708044554.0166135,140,0.0
1708044573.3422606,141,0.0
1708044592.6553767,142,0.0
1708044612.4527056,143,0.0
1708044632.2388601,144,0.0
1708044652.0024085,145,0.0
1708044671.5431347,146,0.0
1708044691.0408237,147,0.0
1708044710.482071,148,0.0
1708044729.8462434,149,0.0
1708044749.2588303,150,0.0
1708044768.8235633,151,0.0
1708044788.205759,152,0.0
1708044807.8537083,153,0.0
1708044827.6028283,154,0.0
1708044847.369624,155,0.0
1708044866.7306154,156,0.0
1708044886.2267587,157,0.0
1708044905.714393,158,0.0
1708044925.1015134,159,0.0
1708044944.463072,160,0.0
1708044963.7707663,161,0.0
1708044983.0590444,162,0.0
1708045002.7538025,163,0.0
1708045022.4539554,164,0.0
1708045041.8520966,165,0.0
1708045061.3274858,166,0.0
1708045080.5936422,167,0.0
1708045099.8594577,168,0.0
