Wall time,Step,Value
1708041826.5415487,1,18890799185920.0
1708041826.5495663,4,990538576691200.0
1708041826.551401,5,3900808483569664.0
1708041826.5745413,11,1790594951151616.0
1708041826.5963132,12,1739318007693312.0
1708041845.0150087,15,195440943300608.0
1708041845.0182173,16,261289435725824.0
1708041845.0582156,19,23352597020672.0
1708041845.0662112,20,2087498678272.0
1708041845.069144,21,46632171208704.0
1708041845.0746531,23,128667061583872.0
1708041845.0923235,24,99013273583616.0
1708041864.3836942,27,25774063091712.0
1708041864.3866756,28,34794482171904.0
1708041864.421111,34,16230683508736.0
1708041882.3072176,37,55116384.0
1708041882.3099012,38,1858101706752.0
1708041882.3276198,39,5199227256832.0
1708041882.3311055,40,6770053349376.0
1708041882.3341768,41,5141477982208.0
1708041882.3744574,48,1258518347776.0
1708041900.15161,49,108149800.0
1708041900.1918817,50,569533267968.0
1708041900.2485597,52,1854594351104.0
1708041900.2520823,53,1250532130816.0
1708041900.2583172,55,2181327872.0
1708041900.275385,58,1019665055744.0
1708041918.3231485,61,76993704.0
1708041918.3355262,62,196578918400.0
1708041918.3402426,63,514035449856.0
1708041918.343024,64,569828638720.0
1708041918.34797,66,55894999040.0
1708041918.3547075,67,17952786432.0
1708041918.3596642,68,193726824448.0
1708041918.3651054,69,339453247488.0
1708041918.3707888,71,94577139712.0
1708041918.3883367,72,546115456.0
1708041936.6456895,78,8673214464.0
1708041936.653764,80,68794261504.0
1708041936.6577237,81,97183932416.0
1708041936.6630092,83,13222490112.0
1708041936.6804657,84,2234923264.0
1708041956.2849736,86,12755312640.0
1708041956.301457,90,1163721728.0
1708041956.3200872,91,4816653824.0
1708041956.3553333,96,2382329856.0
1708041974.8420267,100,5163719168.0
1708041974.8536308,101,2088456704.0
1708041974.8702972,104,2770017280.0
1708041974.8839903,107,64272344.0
1708041974.9034047,108,482140832.0
1708041994.1597846,110,211771392.0
1708041994.1919975,115,158115920.0
1708041994.212633,117,390574240.0
1708042012.7099366,122,21735898.0
1708042012.7418444,126,1534521.25
1708042012.7442122,127,31156608.0
1708042012.7487717,129,73004992.0
1708042012.7526267,131,4374468.5
1708042012.7714353,132,30425822.0
1708042031.3536017,133,6530082.5
1708042031.3846133,137,6982419.0
1708042031.3931944,138,1741027.875
1708042031.4232519,144,736040.6875
1708042049.8814423,145,6341272.0
1708042049.8865407,147,995310.125
1708042049.8920994,148,5959831.0
1708042049.9030128,151,134855.046875
1708042068.1712844,158,175554.171875
1708042068.1786988,160,4366567.5
1708042068.1849997,161,4343010.5
1708042068.2076085,163,163657.15625
1708042068.2491734,165,4602054.0
1708042087.8014195,171,162906.0
1708042087.8035264,172,9351857.0
1708042087.8097394,173,12052588.0
1708042087.829702,176,3798282.25
1708042087.8348165,177,4272526.0
1708042087.838022,178,3640597.75
1708042087.8415687,179,480267.09375
1708042107.3348756,181,5683004.0
1708042107.3380835,182,72418.640625
1708042107.3484383,185,2625934.25
1708042107.3891907,186,1612015.625
1708042107.3963332,187,75656.6953125
1708042107.4180765,190,1248386.25
1708042107.4220831,191,66667.6953125
1708042107.4496481,192,1455664.375
1708042126.797746,193,5941256.0
1708042126.8081686,196,3927361.5
1708042126.8439798,200,252150.0
1708042126.8467643,201,2359815.75
1708042126.8523076,203,2108639.75
1708042126.8719273,204,229873.265625
1708042145.5326917,205,5507457.0
1708042145.5802205,206,48940.14453125
1708042145.895936,208,8343248.5
1708042145.9120915,210,118963.2265625
1708042145.943626,212,4414769.5
1708042145.9658945,214,405597.65625
1708042146.0086684,216,2448230.0
1708042164.699414,217,5334793.5
1708042164.7312567,219,103153.359375
1708042164.7481449,220,1378529.625
1708042164.7520857,221,4228588.5
1708042164.755783,222,1459125.75
1708042164.7598574,223,137251.859375
1708042164.7656233,225,1239182.5
1708042164.7679036,226,1294867.0
1708042183.2163212,230,93627.78125
1708042183.247846,236,4366870.0
1708042183.273783,238,621011.8125
1708042183.275947,239,2056612.5
1708042183.296707,240,2057901.25
1708042201.6551318,242,4136961.75
1708042201.6585665,243,645975.25
1708042201.6799095,245,5516331.5
1708042201.683699,246,3827626.0
1708042201.68781,247,444597.9375
1708042201.6914363,248,2966712.0
1708042219.5251458,253,4725851.0
1708042219.5645897,254,2816131.75
1708042219.5964823,255,100096.015625
1708042219.664963,258,1774727.75
1708042219.667308,259,149230.546875
1708042219.6770914,260,1043885.25
1708042219.680368,261,2044549.375
1708042219.6866765,263,218581.296875
1708042237.539795,271,1452784.5
1708042237.5421965,272,1452784.5
1708042237.5505307,275,1207255.0
1708042255.1965852,277,5318246.0
1708042255.243616,279,1762277.875
1708042255.2603633,281,869544.25
1708042255.2845256,283,3944306.5
1708042255.2904,284,490739.0625
1708042255.3161433,286,2084403.625
1708042255.3534565,288,2181292.75
1708042273.0391212,289,4563134.5
1708042273.0457332,291,10961309.0
1708042273.0742192,296,2889239.0
1708042273.076689,297,708707.0
1708042273.0790765,298,358928.46875
1708042273.081651,299,1314012.625
1708042291.3209972,307,1249879.875
1708042291.3276038,309,5770455.0
1708042291.3305182,310,2580196.0
1708042309.9899879,313,5094404.5
1708042309.9935045,314,1962988.875
1708042310.0021145,317,472532.125
1708042310.017865,319,6940696.0
1708042310.0243433,320,454100.28125
1708042310.0351207,323,1070475.75
1708042329.7638276,325,5036121.0
1708042329.8644419,330,535880.3125
1708042329.8700888,331,1894618.5
1708042329.8922935,332,496238.3125
1708042329.9064357,333,419701.78125
1708042349.5859535,338,1286253.5
1708042349.5895865,339,937837.875
1708042349.5968316,341,2125410.0
1708042349.6714797,344,2910242.75
