Wall time,Step,Value
1699675200.1155806,0,9.751300811767578
1699675224.3508244,1,7.594179153442383
1699675248.289241,2,8.946818351745605
1699675272.1077456,3,10.004743576049805
1699675295.6622612,4,8.560587882995605
1699675319.448516,5,8.229218482971191
1699675343.575385,6,8.978666305541992
1699675367.3754294,7,8.255126953125
1699675391.2442071,8,7.883297443389893
1699675414.4567246,9,7.755784034729004
1699675438.5252004,10,8.869856834411621
1699675462.4756405,11,9.009699821472168
1699675486.129618,12,8.121700286865234
1699675509.7109888,13,8.538028717041016
1699675533.3710897,14,8.55833911895752
1699675557.1746116,15,7.233381748199463
1699675580.8904343,16,7.193222999572754
1699675604.6812103,17,8.7041015625
1699675628.7936945,18,8.242500305175781
1699675652.6036472,19,8.29561996459961
1699675676.197322,20,7.9591474533081055
1699675699.3169804,21,8.525229454040527
1699675723.736249,22,7.552263259887695
1699675747.6680832,23,7.387152194976807
1699675771.2534657,24,7.149231910705566
1699675795.7070193,25,7.0261735916137695
1699675820.1971972,26,7.170665740966797
1699675843.9262726,27,7.735779762268066
1699675867.5672548,28,7.164422988891602
1699675891.2123637,29,7.139456748962402
1699675914.7074437,30,7.125067234039307
1699675938.5633466,31,7.099625587463379
1699675962.2228873,32,7.490664482116699
1699675984.8796523,33,6.90987491607666
1699676009.6857214,34,7.724255561828613
1699676033.0358546,35,7.302186012268066
1699676056.0850954,36,6.931948661804199
1699676079.0872223,37,7.55193567276001
1699676102.3674974,38,8.43417739868164
1699676124.1792686,39,6.448575973510742
1699676147.522859,40,7.748112201690674
1699676169.3200011,41,6.7706618309021
1699676192.6710145,42,7.236745834350586
1699676214.7023077,43,6.908413887023926
1699676238.0274665,44,7.010012626647949
1699676261.1844254,45,6.887145519256592
1699676283.8773847,46,6.880732536315918
1699676307.2158694,47,6.617222785949707
1699676329.2987845,48,6.749541282653809
1699676352.531275,49,6.452102184295654
1699676374.1788108,50,6.593057632446289
1699676397.7001433,51,6.583630084991455
1699676419.4551044,52,6.7457075119018555
1699676442.921503,53,7.024428367614746
1699676465.4541175,54,6.309863567352295
1699676489.4913356,55,6.511626243591309
1699676512.7584388,56,6.694025993347168
1699676534.5912795,57,6.957221031188965
1699676557.870288,58,6.405223369598389
1699676579.955725,59,6.417701721191406
1699676603.2870114,60,7.5135393142700195
1699676626.459082,61,6.735461235046387
1699676649.683353,62,6.090823173522949
1699676673.009121,63,6.575295925140381
1699676694.8162522,64,6.715786933898926
1699676718.0998347,65,6.486027240753174
1699676739.830782,66,6.3988189697265625
1699676763.1478312,67,6.679306983947754
1699676784.995665,68,6.9962639808654785
1699676808.2929163,69,7.454657077789307
1699676830.2057855,70,6.474014759063721
1699676853.5305219,71,6.7888898849487305
1699676876.9634264,72,6.240426063537598
1699676900.0736418,73,6.783450126647949
1699676923.3197567,74,6.8039350509643555
1699676945.036981,75,6.670511245727539
1699676968.6171193,76,6.765699863433838
1699676991.7789965,77,7.075304985046387
1699677014.5922582,78,7.426828384399414
1699677037.9073367,79,6.653694152832031
1699677060.484693,80,6.560423374176025
1699677083.788315,81,7.430014610290527
1699677107.0794282,82,6.575469017028809
1699677130.1513376,83,6.342026233673096
1699677153.3777466,84,6.4865007400512695
1699677175.3333738,85,6.611135005950928
1699677198.6271107,86,6.745697021484375
1699677220.2982776,87,6.648415565490723
1699677243.5724015,88,6.280414581298828
1699677265.2999153,89,6.701869964599609
1699677288.3827624,90,6.661383152008057
1699677310.2973173,91,6.842182636260986
1699677333.5362244,92,6.702184200286865
1699677355.4544501,93,6.836422443389893
1699677378.674633,94,6.449065208435059
1699677400.394066,95,7.429227352142334
1699677423.5088987,96,6.205536842346191
1699677445.303391,97,6.533393859863281
1699677468.8993661,98,6.655142784118652
1699677491.202364,99,7.479940891265869
1699677515.229788,100,6.940745830535889
1699677538.737417,101,6.551136493682861
1699677560.775483,102,6.463932037353516
1699677584.3833764,103,6.405383586883545
1699677607.7706223,104,6.841861248016357
1699677631.6117613,105,6.642326831817627
1699677655.3371592,106,6.866516590118408
1699677679.1555452,107,7.1623430252075195
1699677701.864058,108,6.615949630737305
1699677725.7690148,109,6.750649929046631
1699677749.3357584,110,7.343618392944336
1699677772.779644,111,6.964261054992676
1699677796.6681767,112,6.503945350646973
1699677820.868366,113,7.967782974243164
1699677844.029882,114,6.041698932647705
1699677866.0546277,115,6.470180511474609
1699677889.130094,116,6.236744403839111
1699677910.8472462,117,7.43931245803833
1699677934.5977912,118,6.446012496948242
1699677958.1956384,119,6.7631378173828125
1699677981.089928,120,6.529850482940674
1699678004.337323,121,6.490338325500488
1699678026.4593906,122,6.324267387390137
1699678049.7713223,123,6.2394609451293945
1699678072.9615064,124,6.823136329650879
1699678097.573766,125,6.738341331481934
1699678122.0645642,126,6.2964324951171875
1699678146.1352925,127,7.122664451599121
1699678169.4555607,128,6.378818511962891
1699678191.3012447,129,7.706188678741455
1699678214.915221,130,7.052112579345703
1699678238.3713498,131,6.977230072021484
1699678262.1990037,132,7.656103134155273
1699678286.0489519,133,6.769383430480957
1699678309.937637,134,7.775783538818359
1699678333.4662046,135,6.860260486602783
1699678356.619244,136,7.565379619598389
1699678380.7154205,137,6.7237749099731445
1699678404.659982,138,6.702672958374023
1699678428.626231,139,6.196900367736816
1699678452.8755832,140,7.482024192810059
1699678476.8351877,141,6.795628547668457
