Wall time,Step,Value
1699675200.1166074,0,4992255.0
1699675224.3512297,1,4991541.5
1699675248.289541,2,4990832.0
1699675272.1080735,3,4990153.0
1699675295.6627843,4,4989460.5
1699675319.4488091,5,4988763.0
1699675343.5757003,6,4988048.0
1699675367.375831,7,4987348.0
1699675391.2446668,8,4986655.0
1699675414.4570262,9,4985971.5
1699675438.5254889,10,4985257.5
1699675462.475931,11,4984572.0
1699675486.1300495,12,4983877.5
1699675509.7113228,13,4983183.0
1699675533.371385,14,4982503.0
1699675557.1751237,15,4981781.5
1699675580.890736,16,4981107.5
1699675604.6814973,17,4980403.0
1699675628.7939973,18,4979687.5
1699675652.6039586,19,4979001.5
1699675676.1978865,20,4978307.0
1699675699.3174329,21,4977623.5
1699675723.7365434,22,4976910.0
1699675747.6684017,23,4976199.5
1699675771.2539601,24,4975518.0
1699675795.7073128,25,4974806.0
1699675820.19751,26,4974083.0
1699675843.926559,27,4973384.5
1699675867.5675502,28,4972689.0
1699675891.2128582,29,4972014.0
1699675914.7077436,30,4971315.5
1699675938.5639741,31,4970611.5
1699675962.2233112,32,4969931.0
1699675984.8799841,33,4969258.5
1699676009.686006,34,4968534.5
1699676033.036271,35,4967854.0
1699676056.0854445,36,4967180.0
1699676079.0875163,37,4966493.5
1699676102.3677912,38,4965818.5
1699676124.1795864,39,4965167.5
1699676147.5231352,40,4964464.0
1699676169.3202887,41,4963830.5
1699676192.673076,42,4963146.0
1699676214.702607,43,4962491.0
1699676238.0277538,44,4961799.5
1699676261.1847339,45,4961140.0
1699676283.878977,46,4960470.0
1699676307.2162516,47,4959779.0
1699676329.3003857,48,4959121.5
1699676352.5316093,49,4958448.0
1699676374.1791015,50,4957815.5
1699676397.7004652,51,4957108.0
1699676419.4553888,52,4956470.0
1699676442.9217932,53,4955787.0
1699676465.4544258,54,4955123.5
1699676489.4916322,55,4954411.5
1699676512.758768,56,4953733.5
1699676534.5915906,57,4953085.0
1699676557.8707876,58,4952399.5
1699676579.956105,59,4951746.5
1699676603.287301,60,4951069.0
1699676626.4593875,61,4950389.5
1699676649.6836524,62,4949694.5
1699676673.0094206,63,4949016.0
1699676694.8165417,64,4948371.5
1699676718.100141,65,4947668.0
1699676739.8314028,66,4947037.0
1699676763.148124,67,4946359.0
1699676784.995974,68,4945718.5
1699676808.29341,69,4945015.5
1699676830.2063472,70,4944379.5
1699676853.530825,71,4943707.5
1699676876.9638093,72,4943026.5
1699676900.0739622,73,4942332.5
1699676923.3201044,74,4941646.0
1699676945.0372756,75,4941017.0
1699676968.6187074,76,4940314.5
1699676991.7792914,77,4939656.0
1699677014.5934114,78,4938985.0
1699677037.907636,79,4938294.5
1699677060.4851224,80,4937620.0
1699677083.789941,81,4936950.5
1699677107.0797188,82,4936270.0
1699677130.151627,83,4935579.0
1699677153.3781478,84,4934902.5
1699677175.3338645,85,4934251.5
1699677198.6273935,86,4933544.5
1699677220.2985733,87,4932916.0
1699677243.5727117,88,4932241.0
1699677265.3002274,89,4931594.0
1699677288.3830535,90,4930911.5
1699677310.2985547,91,4930261.5
1699677333.5365891,92,4929596.0
1699677355.4547372,93,4928937.5
1699677378.6749568,94,4928256.5
1699677400.3943672,95,4927617.0
1699677423.5092347,96,4926948.0
1699677445.3036988,97,4926311.5
1699677468.8996654,98,4925600.0
1699677491.2027707,99,4924953.5
1699677515.2309077,100,4924260.5
1699677538.7378137,101,4923555.5
1699677560.7758687,102,4922906.5
1699677584.3837645,103,4922224.5
1699677607.7709236,104,4921550.0
1699677631.6120577,105,4920842.5
1699677655.3387697,106,4920156.0
1699677679.1558342,107,4919432.5
1699677701.8644876,108,4918783.5
1699677725.7692983,109,4918086.0
1699677749.336432,110,4917371.5
1699677772.7799554,111,4916708.0
1699677796.6685712,112,4916001.0
1699677820.8686657,113,4915287.0
1699677844.0302167,114,4914618.5
1699677866.0549178,115,4913963.5
1699677889.1303906,116,4913281.5
1699677910.8475819,117,4912640.0
1699677934.5983357,118,4911950.0
1699677958.196086,119,4911260.5
1699677981.0903757,120,4910576.0
1699678004.3376656,121,4909899.5
1699678026.4596913,122,4909255.5
1699678049.771596,123,4908552.0
1699678072.9618266,124,4907898.5
1699678097.5740588,125,4907174.5
1699678122.065003,126,4906466.5
1699678146.135604,127,4905762.5
1699678169.4560144,128,4905066.0
1699678191.3015342,129,4904426.5
1699678214.9155104,130,4903744.5
1699678238.3716583,131,4903062.0
1699678262.199354,132,4902360.5
1699678286.0492723,133,4901664.5
1699678309.938726,134,4900938.0
1699678333.466749,135,4900273.5
1699678356.6195345,136,4899583.5
1699678380.7157204,137,4898865.0
1699678404.660367,138,4898176.0
1699678428.6266665,139,4897483.5
1699678452.8760717,140,4896767.5
1699678476.8354974,141,4896065.5
