Wall time,Step,Value
1699675200.1195393,0,125.0
1699675224.3524225,1,250.0
1699675248.2904525,2,375.0
1699675272.1089628,3,500.0
1699675295.6639564,4,625.0
1699675319.4496737,5,750.0
1699675343.5765958,6,875.0
1699675367.377041,7,1000.0
1699675391.248492,8,1125.0
1699675414.4579546,9,1250.0
1699675438.5263846,10,1375.0
1699675462.4767935,11,1500.0
1699675486.131333,12,1625.0
1699675509.7123284,13,1750.0
1699675533.3722658,14,1875.0
1699675557.176468,15,2000.0
1699675580.8918118,16,2125.0
1699675604.6823452,17,2250.0
1699675628.794887,18,2375.0
1699675652.6048794,19,2500.0
1699675676.19917,20,2625.0
1699675699.3187745,21,2750.0
1699675723.737413,22,2875.0
1699675747.6692812,23,3000.0
1699675771.2551193,24,3125.0
1699675795.7082088,25,3250.0
1699675820.1985517,26,3375.0
1699675843.927477,27,3500.0
1699675867.5684395,28,3625.0
1699675891.214138,29,3750.0
1699675914.708878,30,3875.0
1699675938.565975,31,4000.0
1699675962.2246492,32,4125.0
1699675984.880921,33,4250.0
1699676009.686878,34,4375.0
1699676033.0374765,35,4500.0
1699676056.086356,36,4625.0
1699676079.088387,37,4750.0
1699676102.3687942,38,4875.0
1699676124.1805494,39,5000.0
1699676147.5240803,40,5125.0
1699676169.3211653,41,5250.0
1699676192.6792161,42,5375.0
1699676214.703494,43,5500.0
1699676238.0286245,44,5625.0
1699676261.1857255,45,5750.0
1699676283.8838062,46,5875.0
1699676307.217482,47,6000.0
1699676329.3068564,48,6125.0
1699676352.5328746,49,6250.0
1699676374.1799793,50,6375.0
1699676397.7013981,51,6500.0
1699676419.4563024,52,6625.0
1699676442.9226635,53,6750.0
1699676465.455318,54,6875.0
1699676489.4928093,55,7000.0
1699676512.7598877,56,7125.0
1699676534.5926137,57,7250.0
1699676557.8720505,58,7375.0
1699676579.9572196,59,7500.0
1699676603.288332,60,7625.0
1699676626.4603138,61,7750.0
1699676649.684551,62,7875.0
1699676673.0102983,63,8000.0
1699676694.817406,64,8125.0
1699676718.1009963,65,8250.0
1699676739.8333964,66,8375.0
1699676763.148988,67,8500.0
1699676784.9969296,68,8625.0
1699676808.2952354,69,8750.0
1699676830.2080333,70,8875.0
1699676853.5317905,71,9000.0
1699676876.964965,72,9125.0
1699676900.0748982,73,9250.0
1699676923.3210855,74,9375.0
1699676945.0381777,75,9500.0
1699676968.6253092,76,9625.0
1699676991.7801726,77,9750.0
1699677014.6002858,78,9875.0
1699677037.9088216,79,10000.0
1699677060.4864016,80,10125.0
1699677083.7962065,81,10250.0
1699677107.0807025,82,10375.0
1699677130.1525033,83,10500.0
1699677153.3793843,84,10625.0
1699677175.3352656,85,10750.0
1699677198.6283147,86,10875.0
1699677220.2994483,87,11000.0
1699677243.5736208,88,11125.0
1699677265.301102,89,11250.0
1699677288.3839157,90,11375.0
1699677310.300418,91,11500.0
1699677333.5376897,92,11625.0
1699677355.45558,93,11750.0
1699677378.6759574,94,11875.0
1699677400.3952446,95,12000.0
1699677423.5102863,96,12125.0
1699677445.3046646,97,12250.0
1699677468.9005506,98,12375.0
1699677491.2041783,99,12500.0
1699677515.2339368,100,12625.0
1699677538.7389846,101,12750.0
1699677560.7770045,102,12875.0
1699677584.3848646,103,13000.0
1699677607.772099,104,13125.0
1699677631.6129465,105,13250.0
1699677655.344577,106,13375.0
1699677679.1567068,107,13500.0
1699677701.8653445,108,13625.0
1699677725.7701406,109,13750.0
1699677749.3384473,110,13875.0
1699677772.780938,111,14000.0
1699677796.6699169,112,14125.0
1699677820.8695462,113,14250.0
1699677844.0311267,114,14375.0
1699677866.055784,115,14500.0
1699677889.1313462,116,14625.0
1699677910.84855,117,14750.0
1699677934.600154,118,14875.0
1699677958.1971064,119,15000.0
1699677981.0914779,120,15125.0
1699678004.3385942,121,15250.0
1699678026.4606335,122,15375.0
1699678049.7724595,123,15500.0
1699678072.9627774,124,15625.0
1699678097.5749347,125,15750.0
1699678122.0661654,126,15875.0
1699678146.1365492,127,16000.0
1699678169.4602296,128,16125.0
1699678191.3023968,129,16250.0
1699678214.9164522,130,16375.0
1699678238.372651,131,16500.0
1699678262.2006729,132,16625.0
1699678286.050143,133,16750.0
1699678309.9416265,134,16875.0
1699678333.4681482,135,17000.0
1699678356.6203914,136,17125.0
1699678380.7166288,137,17250.0
1699678404.661334,138,17375.0
1699678428.6281455,139,17500.0
1699678452.8772871,140,17625.0
1699678476.8364542,141,17750.0
