Wall time,Step,Value
1699650510.3921032,0,0.0
1699650567.7900822,1,0.0
1699650624.446937,2,0.0
1699650683.4826512,3,0.0
1699650739.3758492,4,0.0
1699650796.7040458,5,0.0
1699650852.5756104,6,0.0
1699650909.337582,7,0.0
1699650967.7879655,8,0.0
1699651023.3806787,9,0.0
1699651077.5171692,10,0.0
1699651132.4728885,11,0.0
1699651188.0141912,12,0.0
1699651242.8300772,13,0.0
1699651298.8875399,14,0.0
1699651353.6917195,15,0.0
1699651408.8579917,16,0.0
1699651463.8952394,17,0.0
1699651518.9901872,18,0.0
1699651573.5267103,19,0.0
1699651628.9806082,20,0.0
1699651683.528606,21,0.0
1699651739.101815,22,0.0
1699651793.0585535,23,0.0
1699651847.8041177,24,0.0
1699651902.6795597,25,0.0
1699651957.9170063,26,0.0
1699652012.170387,27,0.0
1699652067.161405,28,0.0
1699652124.1832016,29,0.0
1699652178.3333943,30,0.0
1699652235.2968907,31,0.0
1699652290.7563958,32,0.0
1699652345.1665542,33,0.0
1699652398.6596222,34,0.0
1699652452.7382965,35,0.0
1699652505.527989,36,0.0
1699652560.5478892,37,0.0
1699652618.1483903,38,0.0
1699652676.2128808,39,0.0
1699652734.6642992,40,0.0
1699652790.8664691,41,0.0
1699652845.8397021,42,0.0
1699652900.6519668,43,0.0
1699652958.8081775,44,0.0
1699653016.4067628,45,0.0
1699653072.9698784,46,0.0
1699653131.9325426,47,0.0
1699653190.7684906,48,0.0
1699653247.3273938,49,0.0
1699653306.4533954,50,0.0
1699653363.7894602,51,0.0
1699653424.0266051,52,0.0
1699653484.5848796,53,0.0
1699653544.6643047,54,0.0
1699653602.5337114,55,0.0
1699653660.626393,56,0.0
1699653720.55335,57,0.0
1699653779.8959546,58,0.0
