Wall time,Step,Value
1699632741.4418418,0,6526.0
1699632798.0640705,1,7166.0
1699632851.0864084,2,8579.0
1699632903.8819983,3,9475.0
1699632956.1899621,4,10955.0
1699633007.3000686,5,11916.0
1699633056.7914312,6,13328.0
1699633108.8890905,7,14425.0
1699633160.3403623,8,16213.0
1699633211.9316282,9,17060.0
1699633262.2661345,10,18739.0
1699633313.1434667,11,19644.0
1699633361.37491,12,20629.0
1699633411.9231806,13,22176.0
1699633461.0582738,14,23316.0
1699633511.6709704,15,24930.0
1699633560.758749,16,25962.0
1699633613.1082256,17,26994.0
1699633662.061183,18,28204.0
1699633712.3497608,19,29125.0
1699633759.8304548,20,30900.0
1699633810.9755924,21,32930.0
1699633861.885753,22,33502.0
1699633912.6916025,23,34604.0
1699633961.3471344,24,35914.0
1699634011.8994703,25,37726.0
1699634060.2214432,26,38684.0
1699634109.803603,27,39882.0
1699634158.67376,28,41150.0
1699634206.1219652,29,42925.0
1699634255.5032837,30,44000.0
1699634303.552327,31,45013.0
1699634352.1105974,32,46330.0
1699634402.2749684,33,48176.0
1699634452.3262649,34,49164.0
1699634501.5306168,35,50402.0
1699634550.311227,36,51761.0
1699634597.4435499,37,53487.0
1699634646.3468878,38,53682.0
1699634695.7351573,39,55672.0
1699634743.3115175,40,56997.0
1699634791.5965369,41,58268.0
1699634840.0350645,42,59583.0
1699634885.9847274,43,60668.0
1699634934.5528631,44,62707.0
1699634983.5075502,45,63672.0
1699635032.1429746,46,64843.0
1699635078.9949462,47,66087.0
1699635126.9388733,48,67328.0
1699635177.4628584,49,68668.0
1699635225.8299148,50,69979.0
1699635272.5366752,51,71347.0
1699635320.1832693,52,72430.0
1699635367.0773768,53,73380.0
1699635415.8814518,54,75439.0
1699635463.0777552,55,75671.0
1699635511.8091962,56,77918.0
1699635560.0716395,57,79231.0
1699635606.6077268,58,80587.0
1699635656.0692883,59,81939.0
1699635702.3238761,60,82172.0
1699635749.9615579,61,84652.0
1699635797.5389583,62,85895.0
1699635843.9716966,63,87224.0
1699635891.6539814,64,88580.0
1699635939.0999207,65,89964.0
1699635986.8382952,66,91105.0
