Wall time,Step,Value
1699707693.1533055,0,1500.0
1699707712.1627758,1,1500.0
1699707731.3151577,2,1500.0
1699707750.6707177,3,1500.0
1699707769.4227989,4,1500.0
1699707788.0321255,5,1500.0
1699707806.9635308,6,1500.0
1699707826.1964972,7,1500.0
1699707845.1438034,8,1500.0
1699707863.6529386,9,1500.0
1699707882.3503418,10,1500.0
1699707901.497624,11,1500.0
1699707920.8837044,12,1500.0
1699707939.6491895,13,1500.0
1699707958.2799363,14,1500.0
1699707977.156468,15,1500.0
1699707996.35609,16,1500.0
1699708015.3158164,17,1500.0
1699708033.8249445,18,1500.0
1699708052.541314,19,1500.0
1699708071.6719654,20,1500.0
1699708091.032325,21,1500.0
1699708109.8497586,22,1500.0
1699708128.4617014,23,1500.0
1699708147.4039054,24,1500.0
1699708166.5472648,25,1500.0
1699708185.4807992,26,1500.0
1699708204.0095205,27,1500.0
1699708222.6905456,28,1500.0
1699708241.8901463,29,1500.0
1699708261.2607365,30,1500.0
1699708280.0717545,31,1500.0
1699708298.7196023,32,1500.0
1699708317.5992959,33,1500.0
1699708336.7045538,34,1500.0
1699708355.6586816,35,1500.0
1699708374.1898835,36,1500.0
1699708392.8753364,37,1500.0
1699708412.0713696,38,1500.0
1699708431.4249997,39,1500.0
1699708450.2347322,40,1500.0
1699708468.8957362,41,1500.0
1699708487.7958992,42,1500.0
1699708506.8599722,43,1500.0
1699708525.8449264,44,1500.0
1699708544.3685167,45,1500.0
1699708563.0267074,46,1500.0
1699708582.1481633,47,1500.0
1699708601.607706,48,1500.0
1699708620.3829622,49,1500.0
1699708638.9882865,50,1500.0
1699708657.9248877,51,1500.0
1699708677.068779,52,1500.0
1699708696.041757,53,1500.0
1699708714.5611522,54,1500.0
1699708733.2088165,55,1500.0
1699708752.3738613,56,1500.0
1699708771.8037071,57,1500.0
1699708790.6170363,58,1500.0
1699708809.2515268,59,1500.0
1699708828.1283066,60,1500.0
1699708847.2044852,61,1500.0
1699708866.1975667,62,1500.0
1699708884.7055273,63,1500.0
1699708903.4352653,64,1500.0
1699708922.6756115,65,1500.0
1699708942.1840785,66,1500.0
1699708960.8894305,67,1500.0
1699708979.547022,68,1500.0
1699708998.3600981,69,1500.0
1699709017.5776186,70,1500.0
1699709036.993317,71,1500.0
1699709055.7661223,72,1500.0
1699709074.430294,73,1500.0
1699709093.4383647,74,1500.0
1699709112.6735103,75,1500.0
1699709132.2432787,76,1500.0
1699709151.0637317,77,1500.0
1699709169.7330616,78,1500.0
1699709188.6361454,79,1500.0
1699709207.8231528,80,1500.0
1699709227.1728032,81,1500.0
1699709246.0063272,82,1500.0
1699709264.690266,83,1500.0
1699709283.6769054,84,1500.0
1699709302.9021225,85,1500.0
1699709322.4457386,86,1500.0
1699709341.2032182,87,1500.0
1699709359.927174,88,1500.0
1699709378.7600927,89,1500.0
1699709397.898419,90,1500.0
1699709417.1640759,91,1500.0
1699709436.024057,92,1500.0
1699709454.665853,93,1500.0
1699709473.8490832,94,1500.0
1699709493.088462,95,1500.0
1699709512.5366132,96,1500.0
1699709531.3680668,97,1500.0
1699709550.05507,98,1500.0
1699709568.9394681,99,1500.0
1699709588.0904262,100,1500.0
1699709607.4018102,101,1500.0
1699709626.2329779,102,1500.0
1699709644.851137,103,1500.0
1699709664.1278186,104,1500.0
1699709683.349579,105,1500.0
1699709702.9241977,106,1500.0
1699709722.136416,107,1500.0
1699709741.0637426,108,1500.0
1699709759.6242085,109,1500.0
1699709779.0867019,110,1500.0
1699709798.3405843,111,1500.0
1699709817.9708378,112,1500.0
1699709836.709448,113,1500.0
1699709855.3418028,114,1500.0
1699709874.1710818,115,1500.0
1699709893.3713212,116,1500.0
1699709912.5572488,117,1500.0
1699709931.3937287,118,1500.0
1699709949.9040382,119,1500.0
1699709969.087426,120,1500.0
1699709988.467554,121,1500.0
1699710007.7915537,122,1500.0
1699710026.5623448,123,1500.0
1699710045.174162,124,1500.0
1699710064.422187,125,1500.0
1699710083.5721793,126,1500.0
1699710102.802306,127,1500.0
1699710121.6723282,128,1500.0
1699710140.2855327,129,1500.0
1699710159.2725828,130,1500.0
1699710178.6279333,131,1500.0
1699710197.8482516,132,1500.0
1699710216.6882212,133,1500.0
1699710235.301066,134,1500.0
1699710254.5847208,135,1500.0
1699710273.8178964,136,1500.0
1699710293.3777847,137,1500.0
1699710312.176885,138,1500.0
1699710330.7726665,139,1500.0
1699710349.6809115,140,1500.0
1699710369.068524,141,1500.0
1699710388.382339,142,1500.0
1699710407.118243,143,1500.0
1699710425.6942449,144,1500.0
1699710444.6879013,145,1500.0
1699710463.9927957,146,1500.0
1699710483.8001652,147,1500.0
1699710502.4857721,148,1500.0
1699710521.1105096,149,1500.0
1699710540.0274217,150,1500.0
1699710559.1688213,151,1500.0
1699710578.613,152,1500.0
1699710597.4361045,153,1500.0
1699710616.158386,154,1500.0
1699710635.1521552,155,1500.0
1699710654.4455283,156,1500.0
1699710674.0096157,157,1500.0
1699710693.1583147,158,1500.0
1699710712.0481765,159,1500.0
1699710730.644184,160,1500.0
1699710749.9321663,161,1500.0
1699710769.26844,162,1500.0
1699710788.3673725,163,1500.0
1699710807.2268631,164,1500.0
1699710825.7033718,165,1500.0
1699710844.8432379,166,1500.0
1699710864.219501,167,1500.0
1699710882.9196677,168,1500.0
1699710901.4264746,169,1500.0
1699710920.3278003,170,1500.0
1699710939.4498684,171,1500.0
1699710958.6446166,172,1500.0
